:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
SOL_001,A system of logic,Curriculum,,1.0.0,An exploration of John Stuart Mills A system of logic: Ratiocinative And Inductive (Vol. 1 of 2),,2025-12-23,2025-12-23,15,,
JSMSOL_001,The Dual Nature of Logic as Science and Art,Concept,"Explain why logic must be understood as both a science (analyzing mental processes of reasoning) and an art (providing rules for correct reasoning), not merely as an art;Describe the mental process of reasoning that forms the scientific basis of logic, identifying at least three distinct stages or components;Identify the relationship between the analysis of mental processes (science) and the rules for conducting reasoning correctly (art), explaining how the former grounds the latter;Given a rule of reasoning (e.g., 'avoid affirming the consequent'), identify the underlying scientific claim about mental processes it presupposes;Articulate why understanding the conditions and steps of the reasoning process is foundational to establishing rules for correct reasoning, using at least one concrete example",1.0.0,"Understanding the dual nature of logic as science and art: Explain why logic must be understood as both a science (analyzing mental processes of reasoning) and an art (providing rules for correct reasoning), not merely as an art",,2025-12-23,2025-12-23,,Foundational,
JSMSOL_002,The Analysis of Language as Foundation for Logic,Concept,"Explain why Mill argues that logic must commence with an analysis of language, specifying at least three reasons related to ambiguity, meaning, and the nature of knowledge;Describe how confused apprehension of the import of different classes of words and assertions can obscure the nature of knowledge, providing two concrete examples;Identify the relationship between understanding names and propositions and understanding the processes by which knowledge is obtained;Diagnose ambiguity or equivocation in a short argument by analyzing key terms (names) and proposition forms, showing how the confusion affects the reasoning;Explain why elementary discussions of words and assertions are relevant to later topics in induction and reasoning, connecting linguistic analysis to at least two subsequent logical operations",1.0.0,"Understanding the analysis of language as foundation for logic: Explain why Mill argues that logic must commence with an analysis of language, specifying at least three reasons related to ambiguity, meaning, and the nature of knowledge",,2025-12-23,2025-12-23,,Foundational,
JSMSOL_003,"Names, Denotation, and Connotation",Concept,"Distinguish between different types of things denoted by names: feelings or states of consciousness, substances, attributes (qualities and relations), and quantity, providing one example of each;Explain the distinction between denotation (what a name refers to) and connotation (the attributes implied by a name), using at least two contrasting examples;Describe how general names denote classes of objects while connoting shared attributes, and explain why this dual function is significant for logical analysis;Identify the difference between singular names and general names in terms of their denotative and connotative functions, classifying ten given terms correctly;Given ten terms, label each as connotative/non-connotative and general/singular, and state the denotation and connotation (where applicable) for each;Describe how the classification of things denoted by names relates to the nature of propositions and the kinds of knowledge claims we can make",1.0.0,"Understanding names, denotation, and connotation: Distinguish between different types of things denoted by names: feelings or states of consciousness, substances, attributes (qualities and relations), and quantity, providing one example of each",,2025-12-23,2025-12-23,,Foundational,
JSMSOL_004,The Import of Propositions and Verbal vs. Real Propositions,Concept,"Distinguish between merely verbal propositions (those that assert only relations between names) and real propositions (those that convey knowledge about things), defining each clearly;Explain what it means for a proposition to have import beyond its verbal formulation, connecting this to the distinction between meaning and truth;Identify examples of verbal propositions such as definitions and identical propositions, providing at least three distinct cases;Classify eight given propositions as verbal or real and justify each classification in 1-2 sentences, referencing the connotation and denotation of terms;Test whether a proposition is verbal vs. real by substitution or analysis of meaning, demonstrating the procedure on at least two examples;Describe how real propositions assert matters of fact or relations between phenomena, distinguishing this from analytic or definitional moves;Explain how confusion about the import of propositions can lead to errors in logical reasoning, providing at least two concrete examples of such errors",1.0.0,"Understanding the import of propositions and verbal vs. real propositions: Distinguish between merely verbal propositions (those that assert only relations between names) and real propositions (those that convey knowledge about things), defining each clearly",,2025-12-23,2025-12-23,,Foundational,
JSMSOL_005,"The Syllogism: Structure, Validity, and Utility",Concept,"Explain Mill's view that the syllogistic art should not be dismissed despite modern philosophical contempt for it, identifying at least two reasons for its continued value;Describe the structure of a syllogism including major premise, minor premise, and conclusion, and construct two valid syllogisms on different topics;Distinguish between the formal validity of syllogisms and their role in advancing knowledge, explaining why a syllogism can be valid yet uninformative;Differentiate validity from soundness, providing one example of a valid syllogism with false premises and explaining why it remains valid;Identify Mill's critique of the traditional scientific theory defending the syllogism while still defending its utility as a form of exposition;Describe the relationship between syllogistic reasoning and trains of reasoning in deductive sciences, showing how complex proofs build on syllogistic steps",1.0.0,"Understanding the syllogism: structure, validity, and utility: Explain Mill's view that the syllogistic art should not be dismissed despite modern philosophical contempt for it, identifying at least two reasons for its continued value",,2025-12-23,2025-12-23,,Intermediate,
JSMSOL_006,Mill's Theory of Inference: From Particulars to Particulars,Concept,"Explain Mill's controversial view that all inference is from particulars to particulars, with the general proposition serving as a register of past inferences rather than the ground of new ones;Describe what Mill means by a general proposition being a 'register' or 'memorandum' of inferences already made, using at least one concrete example;Identify the implications of this theory for understanding the relationship between inductive and deductive reasoning;Contrast Mill's view with the traditional theory that treats general propositions as the premises from which particular conclusions are derived;Explain how, on Mill's account, the real inference occurs when we move from observed particulars to unobserved particulars, with the general proposition playing an intermediate role;Apply Mill's theory to analyze a concrete case of reasoning, identifying the particulars involved and the role of any general proposition",1.0.0,"Understanding mill's theory of inference: from particulars to particulars: Explain Mill's controversial view that all inference is from particulars to particulars, with the general proposition serving as a register of past inferences rather than the ground of new ones",,2025-12-23,2025-12-23,,Intermediate,
JSMSOL_007,"The Nature, Ground, and Uniformity Principle of Induction",Concept,"Explain what Mill means by induction as the process of inferring general laws from particular instances, distinguishing it from mere enumeration;Describe the principle of the uniformity of nature as the ultimate ground of induction, stating it precisely and explaining its epistemic role;State the uniformity principle and identify what would count as a challenge to it conceptually, considering both philosophical objections and empirical anomalies;Explain how the uniformity of nature justifies the inference that what has been observed in some cases will hold in all similar cases, addressing the problem of what counts as 'similar';Distinguish between inductions properly so called (genuine generalizations from experience) and inductions improperly so called (apparent inductions that are really verbal transformations or reclassifications);Distinguish the epistemic principle (uniformity of nature as justification for induction) from metaphysical claims (universal causation as a feature of reality)",1.0.0,"Understanding the nature, ground, and uniformity principle of induction: Explain what Mill means by induction as the process of inferring general laws from particular instances, distinguishing it from mere enumeration",,2025-12-23,2025-12-23,,Intermediate,
JSMSOL_008,The Law of Universal Causation and Composition of Causes,Concept,"Explain what Mill means by the law of universal causation and its role as a fundamental axiom of inductive reasoning, stating the law precisely;Identify what constitutes a cause according to Mill: the invariable and unconditional antecedent of a phenomenon, explaining each component of this definition;Describe the relationship between causation and the uniformity of nature, showing how the former is a specification of the latter;Explain the concept of composition of causes and how multiple causes can combine to produce effects, providing at least two examples;Distinguish between the mechanical composition of causes (where effects are additive or follow vector addition) and chemical composition (where effects are heterogeneous to their causes);Given a scenario with multiple contributing factors, represent it as a composition of causes and predict what changes if one factor is removed or altered;Work through at least one example where plurality of causes (multiple sufficient conditions for the same effect) breaks naive inductive inference",1.0.0,"Understanding the law of universal causation and composition of causes: Explain what Mill means by the law of universal causation and its role as a fundamental axiom of inductive reasoning, stating the law precisely",,2025-12-23,2025-12-23,,Intermediate,
JSMSOL_009,The Four Methods of Experimental Inquiry,Concept,"Identify and describe the Method of Agreement: if two or more instances of a phenomenon have only one circumstance in common, that circumstance is the cause or effect, providing the logical structure;Identify and describe the Method of Difference: if an instance where the phenomenon occurs and an instance where it does not occur differ in only one circumstance, that circumstance is causally connected, providing the logical structure;Identify and describe the Method of Residues: subtract from a phenomenon what is known to be the effect of certain antecedents, and the residue is the effect of the remaining antecedents;Identify and describe the Method of Concomitant Variations: when a phenomenon varies in a particular manner whenever another phenomenon varies, there is a causal connection;Apply each of the four methods to concrete examples to identify causes and effects, working through at least one complete application per method;For each method, provide one successful application and one misleading application (confounded by plurality of causes or intermixture of effects), explaining what goes wrong;Describe the limitations of each method and how plurality of causes and intermixture of effects complicate their application, with specific examples of each complication",1.0.0,"Understanding the four methods of experimental inquiry: Identify and describe the Method of Agreement: if two or more instances of a phenomenon have only one circumstance in common, that circumstance is the cause or effect, providing the logical structure",,2025-12-23,2025-12-23,,Intermediate,
