:START_ID,:END_ID,:TYPE,description:string
SOL_001,JSMSOL_001,CONTAINS,"A system of logic contains The Dual Nature of Logic as Science and Art"
SOL_001,JSMSOL_002,CONTAINS,"A system of logic contains The Analysis of Language as Foundation for Logic"
SOL_001,JSMSOL_003,CONTAINS,"A system of logic contains Names, Denotation, and Connotation"
SOL_001,JSMSOL_004,CONTAINS,"A system of logic contains The Import of Propositions and Verbal vs. Real Propositions"
SOL_001,JSMSOL_005,CONTAINS,"A system of logic contains The Syllogism: Structure, Validity, and Utility"
SOL_001,JSMSOL_006,CONTAINS,"A system of logic contains Mill's Theory of Inference: From Particulars to Particulars"
SOL_001,JSMSOL_007,CONTAINS,"A system of logic contains The Nature, Ground, and Uniformity Principle of Induction"
SOL_001,JSMSOL_008,CONTAINS,"A system of logic contains The Law of Universal Causation and Composition of Causes"
SOL_001,JSMSOL_009,CONTAINS,"A system of logic contains The Four Methods of Experimental Inquiry"
SOL_001,JSMSOL_010,CONTAINS,"A system of logic contains The Deductive Method and Explanation of Laws of Nature"
SOL_001,JSMSOL_011,CONTAINS,"A system of logic contains Classification, Natural Kinds, and the Five Predicables"
SOL_001,JSMSOL_012,CONTAINS,"A system of logic contains Definition: Nature, Types, and Logical Function"
SOL_001,JSMSOL_013,CONTAINS,"A system of logic contains Immediate Inference and Logical Equivalences"
SOL_001,JSMSOL_014,CONTAINS,"A system of logic contains Fallacies: Sources of Error in Reasoning"
SOL_001,JSMSOL_015,CONTAINS,"A system of logic contains Probability, Evidence, and Degrees of Inductive Support"
JSMSOL_001,JSMSOL_002,PREREQUISITE,"Understanding logic as science and art is prerequisite for analyzing language as foundation for logic"
JSMSOL_002,JSMSOL_003,PREREQUISITE,"Analysis of language foundations is prerequisite for understanding names, denotation, and connotation"
JSMSOL_003,JSMSOL_004,PREREQUISITE,"Understanding names and their functions is prerequisite for grasping the import of propositions"
JSMSOL_004,JSMSOL_005,PREREQUISITE,"Understanding proposition types is prerequisite for analyzing syllogistic structure and validity"
JSMSOL_003,JSMSOL_012,PREREQUISITE,"Understanding names, denotation, and connotation is prerequisite for grasping definition theory"
JSMSOL_004,JSMSOL_013,PREREQUISITE,"Understanding propositions is prerequisite for performing immediate inferences on them"
JSMSOL_005,JSMSOL_006,PREREQUISITE,"Understanding syllogistic reasoning is prerequisite for Mill's critique of inference theory"
JSMSOL_006,JSMSOL_007,PREREQUISITE,"Mill's theory of inference from particulars is prerequisite for understanding induction proper"
JSMSOL_007,JSMSOL_008,PREREQUISITE,"Understanding induction and uniformity of nature is prerequisite for grasping universal causation"
JSMSOL_008,JSMSOL_009,PREREQUISITE,"Understanding causation and composition of causes is prerequisite for applying experimental methods"
JSMSOL_009,JSMSOL_010,PREREQUISITE,"Mastering experimental inquiry methods is prerequisite for understanding the deductive method"
JSMSOL_003,JSMSOL_011,PREREQUISITE,"Understanding names and their connotations is prerequisite for classification theory"
JSMSOL_011,JSMSOL_012,PREREQUISITE,"Understanding classification and predicables is prerequisite for constructing proper definitions"
JSMSOL_001,JSMSOL_014,PREREQUISITE,"Understanding logic as both science and art is prerequisite for identifying systematic fallacies"
JSMSOL_007,JSMSOL_015,PREREQUISITE,"Understanding induction and its grounds is prerequisite for analyzing probability and degrees of support"
JSMSOL_001,JSMSOL_005,DIFFICULTY_PROGRESSION,"Foundational understanding of logic progresses to intermediate syllogistic analysis"
JSMSOL_002,JSMSOL_004,DIFFICULTY_PROGRESSION,"Basic language analysis progresses to more complex proposition analysis"
JSMSOL_005,JSMSOL_010,DIFFICULTY_PROGRESSION,"Intermediate syllogistic reasoning progresses to advanced deductive method"
JSMSOL_007,JSMSOL_009,DIFFICULTY_PROGRESSION,"Foundational induction theory progresses to intermediate experimental methods"
JSMSOL_009,JSMSOL_015,DIFFICULTY_PROGRESSION,"Intermediate experimental methods progress to advanced probability and evidence analysis"
JSMSOL_002,JSMSOL_003,ALLOWS_UNDERSTANDING_OF,"Analyzing language foundations allows understanding of how names function logically"
JSMSOL_003,JSMSOL_011,ALLOWS_UNDERSTANDING_OF,"Understanding denotation and connotation allows understanding of natural classification"
JSMSOL_004,JSMSOL_006,ALLOWS_UNDERSTANDING_OF,"Understanding proposition import allows understanding of Mill's inference theory"
JSMSOL_008,JSMSOL_010,ALLOWS_UNDERSTANDING_OF,"Understanding causation and composition allows understanding of deductive explanation"
JSMSOL_005,JSMSOL_014,ALLOWS_UNDERSTANDING_OF,"Understanding valid syllogistic form allows understanding of fallacies in reasoning"
JSMSOL_009,JSMSOL_015,ALLOWS_UNDERSTANDING_OF,"Understanding experimental methods allows understanding of evidential probability"
JSMSOL_010,JSMSOL_001,SYNTHESIZES,"The deductive method synthesizes logic as both science and art"
JSMSOL_010,JSMSOL_007,SYNTHESIZES,"The deductive method synthesizes inductive foundations with deductive reasoning"
JSMSOL_014,JSMSOL_004,SYNTHESIZES,"Fallacy analysis synthesizes understanding of verbal versus real propositions"
JSMSOL_014,JSMSOL_005,SYNTHESIZES,"Fallacy analysis synthesizes understanding of syllogistic validity"
JSMSOL_015,JSMSOL_008,SYNTHESIZES,"Probability theory synthesizes understanding of causation and multiple causes"
JSMSOL_015,JSMSOL_009,SYNTHESIZES,"Probability theory synthesizes experimental inquiry methods under uncertainty"
JSMSOL_003,JSMSOL_004,CROSS_REFERENCES,"Names and their functions cross-reference with proposition structure and import"
JSMSOL_004,JSMSOL_003,CROSS_REFERENCES,"Proposition import cross-references with names and their connotations"
JSMSOL_005,JSMSOL_006,CROSS_REFERENCES,"Syllogistic reasoning cross-references with Mill's alternative inference theory"
JSMSOL_006,JSMSOL_005,CROSS_REFERENCES,"Mill's inference theory cross-references with traditional syllogistic form"
JSMSOL_007,JSMSOL_010,CROSS_REFERENCES,"Inductive method cross-references with deductive method in scientific reasoning"
JSMSOL_010,JSMSOL_007,CROSS_REFERENCES,"Deductive method cross-references with inductive foundations"
JSMSOL_011,JSMSOL_012,CROSS_REFERENCES,"Classification theory cross-references with definition construction"
JSMSOL_012,JSMSOL_011,CROSS_REFERENCES,"Definition theory cross-references with classification and predicables"
JSMSOL_008,JSMSOL_009,CROSS_REFERENCES,"Causation theory cross-references with experimental methods for discovering causes"
JSMSOL_009,JSMSOL_008,CROSS_REFERENCES,"Experimental methods cross-reference with causation and composition of causes"
JSMSOL_013,JSMSOL_005,CROSS_REFERENCES,"Immediate inference cross-references with syllogistic reasoning structures"
JSMSOL_005,JSMSOL_013,CROSS_REFERENCES,"Syllogistic reasoning cross-references with immediate inference operations"
JSMSOL_002,JSMSOL_003,CONCEPTUAL_CLUSTER,"Language analysis and names form a conceptual cluster on linguistic foundations"
JSMSOL_003,JSMSOL_002,CONCEPTUAL_CLUSTER,"Names and language analysis form a conceptual cluster on linguistic foundations"
JSMSOL_003,JSMSOL_004,CONCEPTUAL_CLUSTER,"Names and propositions form a conceptual cluster on logical language elements"
JSMSOL_004,JSMSOL_003,CONCEPTUAL_CLUSTER,"Propositions and names form a conceptual cluster on logical language elements"
JSMSOL_005,JSMSOL_006,CONCEPTUAL_CLUSTER,"Syllogism and inference theory form a conceptual cluster on deductive reasoning"
JSMSOL_006,JSMSOL_005,CONCEPTUAL_CLUSTER,"Inference theory and syllogism form a conceptual cluster on deductive reasoning"
JSMSOL_007,JSMSOL_008,CONCEPTUAL_CLUSTER,"Induction and causation form a conceptual cluster on inductive foundations"
JSMSOL_008,JSMSOL_007,CONCEPTUAL_CLUSTER,"Causation and induction form a conceptual cluster on inductive foundations"
JSMSOL_008,JSMSOL_009,CONCEPTUAL_CLUSTER,"Causation and experimental methods form a conceptual cluster on causal investigation"
JSMSOL_009,JSMSOL_008,CONCEPTUAL_CLUSTER,"Experimental methods and causation form a conceptual cluster on causal investigation"
JSMSOL_011,JSMSOL_012,CONCEPTUAL_CLUSTER,"Classification and definition form a conceptual cluster on organizing knowledge"
JSMSOL_012,JSMSOL_011,CONCEPTUAL_CLUSTER,"Definition and classification form a conceptual cluster on organizing knowledge"
JSMSOL_013,JSMSOL_004,SPECIALIZES,"Immediate inference specializes the general theory of proposition transformation"
JSMSOL_012,JSMSOL_003,SPECIALIZES,"Definition theory specializes the general understanding of name connotation"
JSMSOL_009,JSMSOL_008,SPECIALIZES,"Experimental methods specialize the general theory of causation discovery"
JSMSOL_015,JSMSOL_007,SPECIALIZES,"Probability theory specializes induction under conditions of uncertainty"
