:START_ID,:END_ID,:TYPE,description:string
ckd_001,CKD01_001,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Definition, Diagnostic Criteria and Initial Work-up for CKD"
ckd_001,CKD01_002,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Risk Factors and Screening for CKD in Australian Primary Care"
ckd_001,CKD01_003,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains The Kidney Health Check and Confirmation of Abnormalities"
ckd_001,CKD01_004,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains CKD Staging System Using eGFR and Albuminuria Categories"
ckd_001,CKD01_005,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Blood Pressure Management and Measurement in CKD"
ckd_001,CKD01_006,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains RAAS Blockade as First-Line Therapy in CKD with Albuminuria"
ckd_001,CKD01_007,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains SGLT2 Inhibitors and GLP-1 Receptor Agonists in CKD Management"
ckd_001,CKD01_008,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Glycaemic Management in CKD with Diabetes"
ckd_001,CKD01_009,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Lipid Management and Cardiovascular Risk Reduction in CKD"
ckd_001,CKD01_010,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Lifestyle Modifications Including Diet, Exercise, Smoking and Alcohol"
ckd_001,CKD01_011,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Monitoring Frequency and Parameters by CKD Stage"
ckd_001,CKD01_012,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Medication Safety, Dose Adjustment and Nephrotoxin Avoidance"
ckd_001,CKD01_013,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Sick Day Management and Acute Kidney Injury Prevention"
ckd_001,CKD01_014,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Management of Common CKD Complications: Anaemia, Mineral Bone Disorder, Acidosis and Hyperkalaemia"
ckd_001,CKD01_015,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Indications for Nephrology Referral"
ckd_001,CKD01_016,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Renal Replacement Therapy Options and Shared Decision Making"
ckd_001,CKD01_017,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Patient Education, Self-Management and Culturally Safe Care"
ckd_001,CKD01_018,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Pregnancy Considerations and Teratogenic Medications in CKD"
ckd_001,CKD01_019,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Vaccination and Infection Prevention in CKD"
ckd_001,CKD01_020,CONTAINS,"Chronic Kidney Disease Management in Primary Care contains Red Flags Requiring Urgent Assessment or Same-Day Referral"
CKD01_001,CKD01_002,PREREQUISITE,"Understanding CKD definition and diagnostic criteria is prerequisite for identifying risk factors requiring screening"
CKD01_001,CKD01_003,PREREQUISITE,"Understanding diagnostic criteria is prerequisite for performing and interpreting Kidney Health Checks"
CKD01_001,CKD01_004,PREREQUISITE,"Understanding eGFR and albuminuria in diagnosis is prerequisite for applying the CKD staging system"
CKD01_003,CKD01_004,PREREQUISITE,"Knowing how to perform and confirm Kidney Health Check abnormalities is prerequisite for staging CKD"
CKD01_004,CKD01_005,PREREQUISITE,"Understanding CKD staging is prerequisite for applying stage-appropriate blood pressure targets"
CKD01_004,CKD01_011,PREREQUISITE,"Understanding CKD staging is prerequisite for determining appropriate monitoring frequency by stage"
CKD01_005,CKD01_006,PREREQUISITE,"Understanding blood pressure management principles is prerequisite for implementing RAAS blockade therapy"
CKD01_004,CKD01_006,PREREQUISITE,"Understanding albuminuria categories is prerequisite for identifying patients requiring RAAS blockade"
CKD01_004,CKD01_007,PREREQUISITE,"Understanding CKD staging and albuminuria is prerequisite for determining SGLT2 inhibitor indications"
CKD01_004,CKD01_008,PREREQUISITE,"Understanding CKD staging is prerequisite for adjusting glycaemic targets and medications by eGFR"
CKD01_004,CKD01_009,PREREQUISITE,"Understanding CKD staging is prerequisite for implementing cardiovascular risk reduction strategies"
CKD01_001,CKD01_010,PREREQUISITE,"Understanding CKD fundamentals is prerequisite for providing appropriate lifestyle modification advice"
CKD01_004,CKD01_014,PREREQUISITE,"Understanding CKD staging is prerequisite for recognizing and managing stage-specific complications"
CKD01_011,CKD01_015,PREREQUISITE,"Understanding monitoring parameters is prerequisite for recognizing indications for nephrology referral"
CKD01_004,CKD01_015,PREREQUISITE,"Understanding CKD staging is prerequisite for determining stage-based referral requirements"
CKD01_015,CKD01_016,PREREQUISITE,"Understanding nephrology referral indications is prerequisite for discussing renal replacement therapy options"
CKD01_001,CKD01_017,PREREQUISITE,"Understanding CKD definition and diagnosis is prerequisite for educating patients about their condition"
CKD01_006,CKD01_018,PREREQUISITE,"Understanding RAAS blockade is prerequisite for recognizing teratogenic medications requiring cessation"
CKD01_004,CKD01_019,PREREQUISITE,"Understanding CKD staging is prerequisite for implementing stage-appropriate vaccination strategies"
CKD01_001,CKD01_020,PREREQUISITE,"Understanding normal CKD parameters is prerequisite for recognizing red flags requiring urgent assessment"
