:START_ID,:END_ID,:TYPE,description:string
PHIL_IK_COPR_001,IKCOPR_001,CONTAINS,"The Critique of Pure Reason contains the Critical Method and Kant's Copernican Revolution"
PHIL_IK_COPR_001,IKCOPR_002,CONTAINS,"The Critique of Pure Reason contains A Priori vs. A Posteriori Knowledge and the Problem of Synthetic A Priori Judgments"
PHIL_IK_COPR_001,IKCOPR_003,CONTAINS,"The Critique of Pure Reason contains The Three Faculties of Mind: Sensibility, Understanding, and Reason"
PHIL_IK_COPR_001,IKCOPR_004,CONTAINS,"The Critique of Pure Reason contains Transcendental Aesthetic: Space and Time as Pure Forms of Intuition"
PHIL_IK_COPR_001,IKCOPR_005,CONTAINS,"The Critique of Pure Reason contains Categories and the Table of Judgments"
PHIL_IK_COPR_001,IKCOPR_006,CONTAINS,"The Critique of Pure Reason contains Transcendental Deduction: Justifying the Application of Categories"
PHIL_IK_COPR_001,IKCOPR_007,CONTAINS,"The Critique of Pure Reason contains Schematism and Principles of Pure Understanding"
PHIL_IK_COPR_001,IKCOPR_008,CONTAINS,"The Critique of Pure Reason contains Transcendental Idealism: Phenomena, Noumena, and the Limits of Knowledge"
PHIL_IK_COPR_001,IKCOPR_009,CONTAINS,"The Critique of Pure Reason contains Transcendental Dialectic: The Illusions of Pure Reason"
PHIL_IK_COPR_001,IKCOPR_010,CONTAINS,"The Critique of Pure Reason contains The Achievement and Significance of the Critique"
IKCOPR_001,IKCOPR_002,PREREQUISITE,"Understanding the Critical Method is prerequisite for grasping the problem of synthetic a priori judgments"
IKCOPR_001,IKCOPR_003,PREREQUISITE,"The Critical Method's examination of reason's faculties is prerequisite for understanding the three faculties of mind"
IKCOPR_002,IKCOPR_004,PREREQUISITE,"Understanding synthetic a priori judgments is prerequisite for examining space and time as pure forms enabling such judgments"
IKCOPR_003,IKCOPR_004,PREREQUISITE,"Knowledge of sensibility as a faculty is prerequisite for studying its a priori forms of space and time"
IKCOPR_003,IKCOPR_005,PREREQUISITE,"Understanding the faculty of understanding is prerequisite for studying its pure concepts, the categories"
IKCOPR_004,IKCOPR_006,PREREQUISITE,"Knowledge of pure forms of intuition is prerequisite for understanding how categories apply to sensible intuitions"
IKCOPR_005,IKCOPR_006,PREREQUISITE,"Understanding what categories are is prerequisite for justifying their legitimate application to experience"
IKCOPR_006,IKCOPR_007,PREREQUISITE,"The transcendental deduction justifying categories is prerequisite for understanding how they apply through schematism"
IKCOPR_007,IKCOPR_008,PREREQUISITE,"Understanding how categories structure experience is prerequisite for grasping the limits of knowledge to phenomena"
IKCOPR_008,IKCOPR_009,PREREQUISITE,"Understanding the distinction between phenomena and noumena is prerequisite for recognizing reason's illusions when it transgresses these limits"
IKCOPR_001,IKCOPR_010,PREREQUISITE,"The Critical Method's aims are prerequisite for understanding the Critique's overall achievement"
IKCOPR_009,IKCOPR_010,PREREQUISITE,"Understanding the critique of reason's illusions is prerequisite for grasping the full significance of the Critique"
IKCOPR_001,IKCOPR_008,ALLOWS_UNDERSTANDING_OF,"The Critical Method's establishment of knowledge limits allows understanding of transcendental idealism"
IKCOPR_002,IKCOPR_007,ALLOWS_UNDERSTANDING_OF,"Understanding synthetic a priori judgments allows understanding of the principles that ground them"
IKCOPR_003,IKCOPR_009,ALLOWS_UNDERSTANDING_OF,"Understanding reason as a faculty seeking systematic unity allows understanding of its transcendental illusions"
IKCOPR_004,IKCOPR_008,ALLOWS_UNDERSTANDING_OF,"Understanding space and time as subjective forms allows understanding of the phenomena-noumena distinction"
IKCOPR_005,IKCOPR_008,ALLOWS_UNDERSTANDING_OF,"Understanding categories as conditions of experience allows understanding why knowledge is limited to phenomena"
IKCOPR_001,IKCOPR_002,DIFFICULTY_PROGRESSION,"The foundational Critical Method progresses to the intermediate problem of synthetic a priori judgments"
IKCOPR_002,IKCOPR_003,DIFFICULTY_PROGRESSION,"The problem of synthetic a priori judgments progresses to the more complex architecture of mental faculties"
IKCOPR_004,IKCOPR_005,DIFFICULTY_PROGRESSION,"The foundational forms of intuition progress to the more complex pure concepts of understanding"
IKCOPR_005,IKCOPR_006,DIFFICULTY_PROGRESSION,"Understanding categories progresses to the advanced transcendental deduction justifying them"
IKCOPR_006,IKCOPR_007,DIFFICULTY_PROGRESSION,"The transcendental deduction progresses to the specialized topic of schematism"
IKCOPR_007,IKCOPR_008,DIFFICULTY_PROGRESSION,"The principles of understanding progress to the advanced doctrine of transcendental idealism"
IKCOPR_008,IKCOPR_009,DIFFICULTY_PROGRESSION,"Transcendental idealism progresses to the advanced critique of reason's dialectical illusions"
IKCOPR_009,IKCOPR_010,DIFFICULTY_PROGRESSION,"The transcendental dialectic progresses to synthesizing the Critique's overall achievement"
IKCOPR_002,IKCOPR_004,CROSS_REFERENCES,"Synthetic a priori judgments cross-reference space and time as their conditions in mathematics"
IKCOPR_004,IKCOPR_002,CROSS_REFERENCES,"Space and time as pure forms cross-reference the problem of synthetic a priori judgments they enable"
IKCOPR_005,IKCOPR_007,CROSS_REFERENCES,"Categories cross-reference their application through schematism and principles"
IKCOPR_007,IKCOPR_005,CROSS_REFERENCES,"Schematism and principles cross-reference the categories they apply"
IKCOPR_006,IKCOPR_008,CROSS_REFERENCES,"The transcendental deduction cross-references transcendental idealism's limits on category application"
IKCOPR_008,IKCOPR_006,CROSS_REFERENCES,"Transcendental idealism cross-references the deduction that justifies categories for phenomena only"
IKCOPR_003,IKCOPR_008,CROSS_REFERENCES,"The three faculties cross-reference transcendental idealism's account of their proper and improper use"
IKCOPR_008,IKCOPR_003,CROSS_REFERENCES,"Transcendental idealism cross-references the faculties whose limits it establishes"
IKCOPR_001,IKCOPR_009,CROSS_REFERENCES,"The Critical Method cross-references the dialectic's critique of reason overstepping its bounds"
IKCOPR_009,IKCOPR_001,CROSS_REFERENCES,"The transcendental dialectic cross-references the Critical Method's project of limiting reason"
IKCOPR_004,IKCOPR_005,CONCEPTUAL_CLUSTER,"Space and time as forms of sensibility cluster with categories as forms of understanding"
IKCOPR_005,IKCOPR_004,CONCEPTUAL_CLUSTER,"Categories as forms of understanding cluster with space and time as forms of sensibility"
IKCOPR_006,IKCOPR_007,CONCEPTUAL_CLUSTER,"The transcendental deduction clusters with schematism as parts of the analytic of principles"
IKCOPR_007,IKCOPR_006,CONCEPTUAL_CLUSTER,"Schematism clusters with the transcendental deduction as parts of the analytic of principles"
IKCOPR_010,IKCOPR_001,SYNTHESIZES,"The Critique's achievement synthesizes the aims of the Critical Method"
IKCOPR_010,IKCOPR_002,SYNTHESIZES,"The Critique's achievement synthesizes the solution to synthetic a priori judgments"
IKCOPR_010,IKCOPR_008,SYNTHESIZES,"The Critique's achievement synthesizes transcendental idealism's doctrine of knowledge limits"
IKCOPR_010,IKCOPR_009,SYNTHESIZES,"The Critique's achievement synthesizes the dialectic's critique of metaphysical illusions"
IKCOPR_008,IKCOPR_001,SYNTHESIZES,"Transcendental idealism synthesizes the Critical Method's project of determining knowledge limits"
IKCOPR_009,IKCOPR_003,SYNTHESIZES,"The transcendental dialectic synthesizes the account of reason as the third faculty"
IKCOPR_007,IKCOPR_004,SYNTHESIZES,"Schematism synthesizes space and time as mediating between categories and intuitions"
IKCOPR_007,IKCOPR_005,SYNTHESIZES,"Schematism synthesizes categories by showing their concrete application"
IKCOPR_004,IKCOPR_003,SPECIALIZES,"Space and time as pure forms specialize the general faculty of sensibility"
IKCOPR_005,IKCOPR_003,SPECIALIZES,"Categories as pure concepts specialize the general faculty of understanding"
IKCOPR_009,IKCOPR_003,SPECIALIZES,"Transcendental ideas specialize the general faculty of reason"
IKCOPR_007,IKCOPR_002,SPECIALIZES,"The principles of pure understanding specialize synthetic a priori judgments in natural science"
IKCOPR_006,IKCOPR_001,SPECIALIZES,"The transcendental deduction specializes the Critical Method's justification strategy"
