:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
mhr_v1,"My Health Record - Security, Privacy and Access",Curriculum,,1.0.0,"Understand the security, privacy and access rules when using My Health Record in general practice",,2026-01-08,2026-01-08,20,,
MHRSPA_001,My Health Record System Definition and Core Functions,Concept,"Define My Health Record as a secure online summary of an individuals key health information stored in Australia;List the types of information accessible through My Health Record including shared health summaries, discharge summaries, prescription and dispense records, pathology and diagnostic imaging reports, and immunisation history;Explain that My Health Record enables information sharing between healthcare providers to support continuity of care and clinical decision-making;Describe the difference between viewing existing information and uploading new documents to a patients record;Identify that use of My Health Record is not mandatory for every patient encounter and requires clinical judgement",1.0.0,Understanding my health record system definition and core functions: Define My Health Record as a secure online summary of an individuals key health information stored in Australia,,2026-01-08,2026-01-08,,Foundational,
MHRSPA_002,Healthcare Identifiers and Correct Patient Matching,Concept,Define Individual Healthcare Identifier (IHI) as the unique number that links a person to their My Health Record;Explain the purpose of Healthcare Provider Identifier - Individual (HPI-I) and Healthcare Provider Identifier - Organisation (HPI-O) in secure system access;Describe how incorrect patient identification can lead to privacy breaches and clinical safety risks;Identify the Healthcare Identifiers Service as the system that manages and verifies healthcare identifiers;Explain the importance of verifying patient identity and IHI before accessing or uploading information to My Health Record,1.0.0,Understanding healthcare identifiers and correct patient matching: Define Individual Healthcare Identifier (IHI) as the unique number that links a person to their My Health Record,,2026-01-08,2026-01-08,,Foundational,
MHRSPA_003,Permitted Access Purposes and Prohibited Behaviours,Concept,"Define providing healthcare as the only lawful purpose for accessing a patients My Health Record;Identify prohibited access scenarios including curiosity access, checking records of family or friends, pre-employment screening, and insurance or medico-legal purposes without proper authority;Explain that administrative tasks directly supporting patient care such as appointment preparation or care coordination constitute providing healthcare;Describe the requirement to document the clinical reason for each access to My Health Record;Given five scenarios, correctly determine whether accessing My Health Record is permitted and justify the decision using the providing healthcare test",1.0.0,Understanding permitted access purposes and prohibited behaviours: Define providing healthcare as the only lawful purpose for accessing a patients My Health Record,,2026-01-08,2026-01-08,,Foundational,
MHRSPA_004,Consumer Privacy Controls and Restricted Access Workflows,Concept,Explain the difference between record access codes that restrict the entire record and document access codes that restrict specific documents;Describe the workflow for requesting and using an access code from a patient including how to document the interaction;Identify what information is visible to healthcare providers when a record or document is restricted;Explain the limitations of restricted access controls in genuine emergency situations and organisational policies for such scenarios;Describe how to respond when a patient requests information be hidden or removed from their record including the distinction between provider actions and consumer actions,1.0.0,Understanding consumer privacy controls and restricted access workflows: Explain the difference between record access codes that restrict the entire record and document access codes that restrict specific documents,,2026-01-08,2026-01-08,,Foundational,
MHRSPA_005,Legislative Framework Governing My Health Record,Concept,"Identify the My Health Records Act 2012 as the primary legislation governing collection, use and disclosure of information in My Health Record;Explain that the Privacy Act 1988 including the Australian Privacy Principles applies to all private health service providers using My Health Record;Describe the Healthcare Identifiers Act 2010 as governing the use of IHI, HPI-I and HPI-O for system access;Recognise that the My Health Records Rule 2016 and associated regulations provide detailed operational requirements;Apply the correct legislative instrument to determine obligations in a given scenario involving access, disclosure or security",1.0.0,"Understanding legislative framework governing my health record: Identify the My Health Records Act 2012 as the primary legislation governing collection, use and disclosure of information in My Health Record",,2026-01-08,2026-01-08,,Foundational,
MHRSPA_006,Australian Privacy Principles Application to My Health Record,Concept,"Explain that APP 11 requires healthcare providers to take reasonable steps to protect personal information from misuse, interference, loss, unauthorised access, modification or disclosure;Describe how the APPs govern the entire information lifecycle from collection through to secure disposal;Identify that reasonable steps for security must be determined based on the sensitivity of information, possible consequences of breach, and current security standards;Explain transparency requirements under the APPs including informing patients about My Health Record access and uploads;Recognise that APP compliance is assessed by the Office of the Australian Information Commissioner and may result in enforcement action",1.0.0,"Understanding australian privacy principles application to my health record: Explain that APP 11 requires healthcare providers to take reasonable steps to protect personal information from misuse, interference, loss, unauthorised access, modification or disclosure",,2026-01-08,2026-01-08,,Intermediate,
MHRSPA_007,State and Territory Privacy Legislation Interaction,Concept,"Identify that NSW, Victoria and ACT private sector health providers must comply with both Commonwealth and state or territory privacy laws;Explain that the Privacy Act 1988 does not apply to state and territory public hospitals but does apply to all private providers regardless of location;Recognise that some jurisdictions have specific requirements for notifiable diseases and sensitive health information that may affect My Health Record uploads;Describe where to direct privacy inquiries for public sector agencies in NSW, Queensland, Northern Territory, Tasmania and Victoria",1.0.0,"Understanding state and territory privacy legislation interaction: Identify that NSW, Victoria and ACT private sector health providers must comply with both Commonwealth and state or territory privacy laws",,2026-01-08,2026-01-08,,Intermediate,
MHRSPA_008,Organisational Security and Access Policy Requirements,Concept,"Identify that a written My Health Record Security and Access Policy is legally required before registering with the system and applies to all organisations including sole practitioners;List the mandatory policy components including authorisation processes, access deactivation procedures, training requirements, identity verification, physical and information security measures, and risk mitigation strategies;Explain that the policy must be reviewed at least annually and whenever new or changed risks are identified;Describe how the policy must address circumstances requiring immediate access suspension including staff departure, role changes, and suspected account compromise;Recognise that the policy must align with Rule 42 of the My Health Records Rule 2016",1.0.0,Understanding organisational security and access policy requirements: Identify that a written My Health Record Security and Access Policy is legally required before registering with the system and applies to all organisations including sole practitioners,,2026-01-08,2026-01-08,,Intermediate,
MHRSPA_009,Practical Information Security Controls for Healthcare Organisations,Concept,"Identify essential security controls including unique strong usernames and passphrases for each staff member, automatic software updates, anti-virus protection, and multi-factor authentication where available;Explain workstation security requirements including automatic screen locks, session timeouts, and controls for shared terminals;Describe secure remote access requirements for telehealth and off-site work including VPN use and endpoint security;Identify backup requirements including frequency, off-site secure storage, and protection from ransomware through network isolation;Explain the principle of least privilege access and role-based access controls for My Health Record;Describe secure handling of My Health Record information when printing, emailing or storing in local clinical systems",1.0.0,"Understanding practical information security controls for healthcare organisations: Identify essential security controls including unique strong usernames and passphrases for each staff member, automatic software updates, anti-virus protection, and multi-factor authentication where available",,2026-01-08,2026-01-08,,Intermediate,
