:START_ID,:END_ID,:TYPE,description:string
mhr_v1,MHRSPA_001,CONTAINS,"My Health Record - Security, Privacy and Access contains My Health Record System Definition and Core Functions"
mhr_v1,MHRSPA_002,CONTAINS,"My Health Record - Security, Privacy and Access contains Healthcare Identifiers and Correct Patient Matching"
mhr_v1,MHRSPA_003,CONTAINS,"My Health Record - Security, Privacy and Access contains Permitted Access Purposes and Prohibited Behaviours"
mhr_v1,MHRSPA_004,CONTAINS,"My Health Record - Security, Privacy and Access contains Consumer Privacy Controls and Restricted Access Workflows"
mhr_v1,MHRSPA_005,CONTAINS,"My Health Record - Security, Privacy and Access contains Legislative Framework Governing My Health Record"
mhr_v1,MHRSPA_006,CONTAINS,"My Health Record - Security, Privacy and Access contains Australian Privacy Principles Application to My Health Record"
mhr_v1,MHRSPA_007,CONTAINS,"My Health Record - Security, Privacy and Access contains State and Territory Privacy Legislation Interaction"
mhr_v1,MHRSPA_008,CONTAINS,"My Health Record - Security, Privacy and Access contains Organisational Security and Access Policy Requirements"
mhr_v1,MHRSPA_009,CONTAINS,"My Health Record - Security, Privacy and Access contains Practical Information Security Controls for Healthcare Organisations"
mhr_v1,MHRSPA_010,CONTAINS,"My Health Record - Security, Privacy and Access contains Responsible Officer and Organisation Maintenance Officer Roles"
mhr_v1,MHRSPA_011,CONTAINS,"My Health Record - Security, Privacy and Access contains Staff Training and Competency Requirements"
mhr_v1,MHRSPA_012,CONTAINS,"My Health Record - Security, Privacy and Access contains Access Methods and Operational Workflows"
mhr_v1,MHRSPA_013,CONTAINS,"My Health Record - Security, Privacy and Access contains Uploading Information and Document Quality Obligations"
mhr_v1,MHRSPA_014,CONTAINS,"My Health Record - Security, Privacy and Access contains System Operator Security Assurance and Protective Measures"
mhr_v1,MHRSPA_015,CONTAINS,"My Health Record - Security, Privacy and Access contains Detecting and Responding to Unauthorised Access"
mhr_v1,MHRSPA_016,CONTAINS,"My Health Record - Security, Privacy and Access contains Notifiable Data Breaches Scheme and Mandatory Reporting"
mhr_v1,MHRSPA_017,CONTAINS,"My Health Record - Security, Privacy and Access contains Breach Response Procedures and Incident Management"
mhr_v1,MHRSPA_018,CONTAINS,"My Health Record - Security, Privacy and Access contains Enforcement Bodies and Consequences of Non-Compliance"
mhr_v1,MHRSPA_019,CONTAINS,"My Health Record - Security, Privacy and Access contains Clinical Governance Compliance Monitoring and Audit Programs"
mhr_v1,MHRSPA_020,CONTAINS,"My Health Record - Security, Privacy and Access contains Resources and Support for Compliance"
MHRSPA_001,MHRSPA_002,PREREQUISITE,"Understanding the system definition and core functions is prerequisite for understanding healthcare identifiers and patient matching"
MHRSPA_001,MHRSPA_003,PREREQUISITE,"Understanding system definition and core functions is prerequisite for understanding permitted access purposes"
MHRSPA_002,MHRSPA_004,PREREQUISITE,"Understanding healthcare identifiers and patient matching is prerequisite for understanding consumer privacy controls"
MHRSPA_001,MHRSPA_005,PREREQUISITE,"Understanding the system definition is prerequisite for understanding the legislative framework"
MHRSPA_005,MHRSPA_006,PREREQUISITE,"Understanding the legislative framework is prerequisite for understanding Australian Privacy Principles application"
MHRSPA_006,MHRSPA_007,PREREQUISITE,"Understanding Australian Privacy Principles is prerequisite for understanding state and territory privacy legislation interaction"
MHRSPA_005,MHRSPA_008,PREREQUISITE,"Understanding the legislative framework is prerequisite for understanding organisational security and access policy requirements"
MHRSPA_008,MHRSPA_009,PREREQUISITE,"Understanding organisational policy requirements is prerequisite for implementing practical information security controls"
MHRSPA_008,MHRSPA_010,PREREQUISITE,"Understanding organisational policy requirements is prerequisite for understanding Responsible Officer and OMO roles"
MHRSPA_008,MHRSPA_011,PREREQUISITE,"Understanding organisational policy requirements is prerequisite for understanding staff training and competency requirements"
MHRSPA_002,MHRSPA_012,PREREQUISITE,"Understanding healthcare identifiers is prerequisite for understanding access methods and operational workflows"
MHRSPA_003,MHRSPA_012,PREREQUISITE,"Understanding permitted access purposes is prerequisite for understanding access methods and operational workflows"
MHRSPA_001,MHRSPA_013,PREREQUISITE,"Understanding system definition and core functions is prerequisite for understanding uploading information and document quality obligations"
MHRSPA_009,MHRSPA_014,PREREQUISITE,"Understanding practical security controls is prerequisite for understanding System Operator security assurance"
MHRSPA_003,MHRSPA_015,PREREQUISITE,"Understanding permitted access purposes is prerequisite for detecting and responding to unauthorised access"
MHRSPA_009,MHRSPA_015,PREREQUISITE,"Understanding practical security controls is prerequisite for detecting and responding to unauthorised access"
MHRSPA_006,MHRSPA_016,PREREQUISITE,"Understanding Australian Privacy Principles is prerequisite for understanding notifiable data breaches scheme"
MHRSPA_015,MHRSPA_017,PREREQUISITE,"Understanding detection and response to unauthorised access is prerequisite for understanding breach response procedures"
MHRSPA_016,MHRSPA_017,PREREQUISITE,"Understanding notifiable data breaches scheme is prerequisite for understanding breach response procedures"
MHRSPA_005,MHRSPA_018,PREREQUISITE,"Understanding the legislative framework is prerequisite for understanding enforcement bodies and consequences"
MHRSPA_017,MHRSPA_018,PREREQUISITE,"Understanding breach response procedures is prerequisite for understanding enforcement bodies and consequences"
MHRSPA_008,MHRSPA_019,PREREQUISITE,"Understanding organisational policy requirements is prerequisite for understanding clinical governance compliance monitoring"
MHRSPA_015,MHRSPA_019,PREREQUISITE,"Understanding detection and response to unauthorised access is prerequisite for understanding compliance monitoring and audit programs"
MHRSPA_001,MHRSPA_020,PREREQUISITE,"Understanding system definition is prerequisite for identifying resources and support for compliance"
MHRSPA_001,MHRSPA_004,ALLOWS_UNDERSTANDING_OF,"Understanding system definition allows understanding of consumer privacy controls and restricted access workflows"
MHRSPA_005,MHRSPA_003,ALLOWS_UNDERSTANDING_OF,"Understanding the legislative framework allows understanding of permitted access purposes and prohibited behaviours"
MHRSPA_006,MHRSPA_009,ALLOWS_UNDERSTANDING_OF,"Understanding Australian Privacy Principles allows understanding of practical information security controls"
MHRSPA_003,MHRSPA_013,ALLOWS_UNDERSTANDING_OF,"Understanding permitted access purposes allows understanding of uploading information and document quality obligations"
MHRSPA_010,MHRSPA_011,ALLOWS_UNDERSTANDING_OF,"Understanding Responsible Officer roles allows understanding of staff training and competency requirements"
MHRSPA_014,MHRSPA_015,ALLOWS_UNDERSTANDING_OF,"Understanding System Operator security assurance allows understanding of detecting and responding to unauthorised access"
MHRSPA_016,MHRSPA_018,ALLOWS_UNDERSTANDING_OF,"Understanding notifiable data breaches scheme allows understanding of enforcement bodies and consequences"
MHRSPA_001,MHRSPA_012,DIFFICULTY_PROGRESSION,"System definition progresses to operational workflows with increasing complexity"
MHRSPA_003,MHRSPA_015,DIFFICULTY_PROGRESSION,"Understanding permitted access progresses to detecting unauthorised access with increasing complexity"
MHRSPA_008,MHRSPA_019,DIFFICULTY_PROGRESSION,"Organisational policy requirements progress to clinical governance compliance monitoring with increasing complexity"
MHRSPA_015,MHRSPA_017,DIFFICULTY_PROGRESSION,"Detecting unauthorised access progresses to comprehensive breach response procedures with increasing complexity"
MHRSPA_006,MHRSPA_016,DIFFICULTY_PROGRESSION,"Australian Privacy Principles progress to notifiable data breaches scheme with increasing complexity"
MHRSPA_009,MHRSPA_019,DIFFICULTY_PROGRESSION,"Practical security controls progress to compliance monitoring and audit programs with increasing complexity"
MHRSPA_002,MHRSPA_003,CROSS_REFERENCES,"Healthcare identifiers and permitted access purposes cross-reference each other in patient matching and access control"
MHRSPA_003,MHRSPA_002,CROSS_REFERENCES,"Permitted access purposes and healthcare identifiers cross-reference each other in access control and patient matching"
MHRSPA_005,MHRSPA_006,CROSS_REFERENCES,"Legislative framework and Australian Privacy Principles cross-reference each other in compliance requirements"
MHRSPA_006,MHRSPA_005,CROSS_REFERENCES,"Australian Privacy Principles and legislative framework cross-reference each other in compliance requirements"
MHRSPA_009,MHRSPA_014,CROSS_REFERENCES,"Practical security controls and System Operator security assurance cross-reference each other in comprehensive security"
MHRSPA_014,MHRSPA_009,CROSS_REFERENCES,"System Operator security assurance and practical security controls cross-reference each other in comprehensive security"
MHRSPA_015,MHRSPA_016,CROSS_REFERENCES,"Detecting unauthorised access and notifiable data breaches cross-reference each other in breach management"
MHRSPA_016,MHRSPA_015,CROSS_REFERENCES,"Notifiable data breaches and detecting unauthorised access cross-reference each other in breach management"
MHRSPA_010,MHRSPA_019,CROSS_REFERENCES,"Responsible Officer roles and compliance monitoring cross-reference each other in governance oversight"
MHRSPA_019,MHRSPA_010,CROSS_REFERENCES,"Compliance monitoring and Responsible Officer roles cross-reference each other in governance oversight"
MHRSPA_017,MHRSPA_018,CROSS_REFERENCES,"Breach response procedures and enforcement bodies cross-reference each other in incident management"
MHRSPA_018,MHRSPA_017,CROSS_REFERENCES,"Enforcement bodies and breach response procedures cross-reference each other in incident management"
MHRSPA_001,MHRSPA_002,CONCEPTUAL_CLUSTER,"System definition and healthcare identifiers belong to foundational system concepts cluster"
MHRSPA_002,MHRSPA_001,CONCEPTUAL_CLUSTER,"Healthcare identifiers and system definition belong to foundational system concepts cluster"
MHRSPA_003,MHRSPA_004,CONCEPTUAL_CLUSTER,"Permitted access purposes and consumer privacy controls belong to access control cluster"
MHRSPA_004,MHRSPA_003,CONCEPTUAL_CLUSTER,"Consumer privacy controls and permitted access purposes belong to access control cluster"
MHRSPA_005,MHRSPA_006,CONCEPTUAL_CLUSTER,"Legislative framework and Australian Privacy Principles belong to legal compliance cluster"
MHRSPA_006,MHRSPA_005,CONCEPTUAL_CLUSTER,"Australian Privacy Principles and legislative framework belong to legal compliance cluster"
MHRSPA_006,MHRSPA_007,CONCEPTUAL_CLUSTER,"Australian Privacy Principles and state privacy legislation belong to legal compliance cluster"
MHRSPA_007,MHRSPA_006,CONCEPTUAL_CLUSTER,"State privacy legislation and Australian Privacy Principles belong to legal compliance cluster"
MHRSPA_008,MHRSPA_009,CONCEPTUAL_CLUSTER,"Organisational policy requirements and practical security controls belong to security implementation cluster"
MHRSPA_009,MHRSPA_008,CONCEPTUAL_CLUSTER,"Practical security controls and organisational policy requirements belong to security implementation cluster"
MHRSPA_010,MHRSPA_011,CONCEPTUAL_CLUSTER,"Responsible Officer roles and staff training belong to personnel management cluster"
MHRSPA_011,MHRSPA_010,CONCEPTUAL_CLUSTER,"Staff training and Responsible Officer roles belong to personnel management cluster"
MHRSPA_015,MHRSPA_016,CONCEPTUAL_CLUSTER,"Detecting unauthorised access and notifiable data breaches belong to incident response cluster"
MHRSPA_016,MHRSPA_015,CONCEPTUAL_CLUSTER,"Notifiable data breaches and detecting unauthorised access belong to incident response cluster"
MHRSPA_016,MHRSPA_017,CONCEPTUAL_CLUSTER,"Notifiable data breaches and breach response procedures belong to incident response cluster"
MHRSPA_017,MHRSPA_016,CONCEPTUAL_CLUSTER,"Breach response procedures and notifiable data breaches belong to incident response cluster"
MHRSPA_015,MHRSPA_017,CONCEPTUAL_CLUSTER,"Detecting unauthorised access and breach response procedures belong to incident response cluster"
MHRSPA_017,MHRSPA_015,CONCEPTUAL_CLUSTER,"Breach response procedures and detecting unauthorised access belong to incident response cluster"
MHRSPA_019,MHRSPA_001,SYNTHESIZES,"Clinical governance compliance monitoring synthesizes system definition and core functions"
MHRSPA_019,MHRSPA_003,SYNTHESIZES,"Clinical governance compliance monitoring synthesizes permitted access purposes and prohibited behaviours"
MHRSPA_019,MHRSPA_008,SYNTHESIZES,"Clinical governance compliance monitoring synthesizes organisational security and access policy requirements"
MHRSPA_019,MHRSPA_015,SYNTHESIZES,"Clinical governance compliance monitoring synthesizes detecting and responding to unauthorised access"
MHRSPA_017,MHRSPA_015,SYNTHESIZES,"Breach response procedures synthesize detecting and responding to unauthorised access"
MHRSPA_017,MHRSPA_016,SYNTHESIZES,"Breach response procedures synthesize notifiable data breaches scheme and mandatory reporting"
MHRSPA_017,MHRSPA_009,SYNTHESIZES,"Breach response procedures synthesize practical information security controls"
