:START_ID,:END_ID,:TYPE,description:string
ML_working_with_categorical_data_v1,MLWWCD_001,CONTAINS,"Machine Learning - Working with categorical data contains Categorical vs Numerical Data"
ML_working_with_categorical_data_v1,MLWWCD_002,CONTAINS,"Machine Learning - Working with categorical data contains Vocabulary and One-Hot Encoding"
ML_working_with_categorical_data_v1,MLWWCD_003,CONTAINS,"Machine Learning - Working with categorical data contains Sparse Representation"
ML_working_with_categorical_data_v1,MLWWCD_004,CONTAINS,"Machine Learning - Working with categorical data contains Out-of-Vocabulary (OOV) and Unknown Categories"
ML_working_with_categorical_data_v1,MLWWCD_005,CONTAINS,"Machine Learning - Working with categorical data contains Embeddings for High-Dimensional Categorical Features"
ML_working_with_categorical_data_v1,MLWWCD_006,CONTAINS,"Machine Learning - Working with categorical data contains Feature Hashing"
ML_working_with_categorical_data_v1,MLWWCD_007,CONTAINS,"Machine Learning - Working with categorical data contains High-Cardinality Features and Leakage Risks"
ML_working_with_categorical_data_v1,MLWWCD_008,CONTAINS,"Machine Learning - Working with categorical data contains Data Quality Issues in Categorical Features"
ML_working_with_categorical_data_v1,MLWWCD_009,CONTAINS,"Machine Learning - Working with categorical data contains Feature Crosses"
MLWWCD_001,MLWWCD_002,PREREQUISITE,"Understanding categorical vs numerical data is prerequisite for learning vocabulary and one-hot encoding"
MLWWCD_002,MLWWCD_003,PREREQUISITE,"Understanding one-hot encoding is prerequisite for learning sparse representation"
MLWWCD_002,MLWWCD_004,PREREQUISITE,"Understanding vocabulary encoding is prerequisite for handling out-of-vocabulary categories"
MLWWCD_001,MLWWCD_005,PREREQUISITE,"Understanding categorical data fundamentals is prerequisite for learning embeddings"
MLWWCD_002,MLWWCD_006,PREREQUISITE,"Understanding one-hot encoding is prerequisite for learning feature hashing"
MLWWCD_001,MLWWCD_007,PREREQUISITE,"Understanding categorical data types is prerequisite for recognizing high-cardinality risks"
MLWWCD_001,MLWWCD_008,PREREQUISITE,"Understanding categorical data fundamentals is prerequisite for identifying data quality issues"
MLWWCD_002,MLWWCD_009,PREREQUISITE,"Understanding one-hot encoding is prerequisite for learning feature crosses"
MLWWCD_001,MLWWCD_002,DIFFICULTY_PROGRESSION,"Foundational categorical concepts progress to encoding techniques"
MLWWCD_002,MLWWCD_003,DIFFICULTY_PROGRESSION,"Basic one-hot encoding progresses to efficient sparse representation"
MLWWCD_003,MLWWCD_005,DIFFICULTY_PROGRESSION,"Sparse representation for low-dimensional features progresses to embeddings for high-dimensional features"
MLWWCD_004,MLWWCD_006,DIFFICULTY_PROGRESSION,"Handling OOV categories progresses to feature hashing techniques"
MLWWCD_005,MLWWCD_007,DIFFICULTY_PROGRESSION,"Understanding embeddings progresses to managing high-cardinality risks"
MLWWCD_008,MLWWCD_009,DIFFICULTY_PROGRESSION,"Data quality fundamentals progress to advanced feature engineering with crosses"
MLWWCD_001,MLWWCD_009,ALLOWS_UNDERSTANDING_OF,"Understanding categorical data types allows understanding of feature crosses"
MLWWCD_003,MLWWCD_006,ALLOWS_UNDERSTANDING_OF,"Understanding sparse representation allows understanding of feature hashing efficiency"
MLWWCD_004,MLWWCD_007,ALLOWS_UNDERSTANDING_OF,"Understanding OOV handling allows understanding of high-cardinality challenges"
MLWWCD_002,MLWWCD_005,ALLOWS_UNDERSTANDING_OF,"Understanding one-hot encoding allows understanding of why embeddings are needed"
MLWWCD_003,MLWWCD_009,ALLOWS_UNDERSTANDING_OF,"Understanding sparse representation allows understanding of feature cross sparsity"
MLWWCD_002,MLWWCD_003,CROSS_REFERENCES,"One-hot encoding and sparse representation mutually reinforce understanding of categorical encoding"
MLWWCD_003,MLWWCD_002,CROSS_REFERENCES,"Sparse representation and one-hot encoding mutually reinforce understanding of categorical encoding"
MLWWCD_005,MLWWCD_006,CROSS_REFERENCES,"Embeddings and feature hashing are alternative approaches for high-dimensional features"
MLWWCD_006,MLWWCD_005,CROSS_REFERENCES,"Feature hashing and embeddings are alternative approaches for high-dimensional features"
MLWWCD_004,MLWWCD_008,CROSS_REFERENCES,"OOV handling and data quality issues both address unexpected categorical values"
MLWWCD_008,MLWWCD_004,CROSS_REFERENCES,"Data quality issues and OOV handling both address unexpected categorical values"
MLWWCD_002,MLWWCD_003,CONCEPTUAL_CLUSTER,"One-hot encoding and sparse representation belong to low-dimensional encoding cluster"
MLWWCD_002,MLWWCD_004,CONCEPTUAL_CLUSTER,"One-hot encoding and OOV handling belong to vocabulary management cluster"
MLWWCD_003,MLWWCD_004,CONCEPTUAL_CLUSTER,"Sparse representation and OOV handling belong to efficient encoding cluster"
MLWWCD_005,MLWWCD_006,CONCEPTUAL_CLUSTER,"Embeddings and feature hashing belong to high-dimensional encoding cluster"
MLWWCD_005,MLWWCD_007,CONCEPTUAL_CLUSTER,"Embeddings and high-cardinality features belong to high-dimensional challenges cluster"
MLWWCD_006,MLWWCD_007,CONCEPTUAL_CLUSTER,"Feature hashing and high-cardinality features belong to dimensionality reduction cluster"
MLWWCD_009,MLWWCD_001,SYNTHESIZES,"Feature crosses synthesize understanding of categorical data fundamentals"
MLWWCD_009,MLWWCD_002,SYNTHESIZES,"Feature crosses synthesize understanding of one-hot encoding"
MLWWCD_009,MLWWCD_003,SYNTHESIZES,"Feature crosses synthesize understanding of sparse representation"
MLWWCD_007,MLWWCD_001,SYNTHESIZES,"High-cardinality risks synthesize understanding of categorical data types"
MLWWCD_007,MLWWCD_005,SYNTHESIZES,"High-cardinality risks synthesize understanding of embeddings"
MLWWCD_003,MLWWCD_002,SPECIALIZES,"Sparse representation is a specialized efficient implementation of one-hot encoding"
MLWWCD_005,MLWWCD_002,SPECIALIZES,"Embeddings are a specialized encoding technique for high-dimensional categorical features"
MLWWCD_006,MLWWCD_002,SPECIALIZES,"Feature hashing is a specialized encoding technique using hash functions"
MLWWCD_004,MLWWCD_002,SPECIALIZES,"OOV handling is a specialized vocabulary management technique"
MLWWCD_009,MLWWCD_002,SPECIALIZES,"Feature crosses are specialized synthetic features combining categorical encodings"
