:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
mlcc_lr_v1,ML - Linear Regression,Curriculum,,1.0.0,Converge on the core concepts of linear regression for machine learning,,2026-01-06,2026-01-06,20,,
MLCCLR_001,Supervised Learning and Linear Regression Fundamentals,Concept,"Define supervised learning as learning from labeled examples where both input features and output labels are provided;Explain that linear regression is a supervised learning technique used to find relationships between features and continuous numerical labels;Identify the components of a dataset: examples, features, and labels;Recognize real-world applications where linear regression predicts continuous outputs, such as predicting car fuel efficiency from weight;Distinguish between training phase where the model learns from data and inference phase where the model makes predictions on new data;Explain that the goal of linear regression is to find a best fit line or hyperplane through data points",1.0.0,Understanding supervised learning and linear regression fundamentals: Define supervised learning as learning from labeled examples where both input features and output labels are provided,,2026-01-06,2026-01-06,,Foundational,
MLCCLR_002,Linear Regression Equation Components,Concept,"Write the linear regression equation in ML notation as y-prime equals b plus w times x;Define the predicted label y-prime as the continuous numerical output produced by the model;Explain that bias b represents the y-intercept and indicates the predicted value when all features equal zero;Explain that weight w represents the slope and indicates how much the prediction changes for each unit change in the feature;Identify the feature x as the input value used to make predictions;Recognize that bias and weight are parameters learned during training, while features are provided input values",1.0.0,Understanding linear regression equation components: Write the linear regression equation in ML notation as y-prime equals b plus w times x,,2026-01-06,2026-01-06,,Foundational,
MLCCLR_003,Multiple Feature Linear Models,Concept,"Extend the basic equation to multiple features with separate weights: y-prime equals b plus w1x1 plus w2x2 plus w3x3 and so on;Identify examples of multiple features for predicting car fuel efficiency: engine displacement, acceleration, number of cylinders, and horsepower;Recognize that each feature in a multi-feature model has its own weight parameter that is learned independently;Explain that adding more relevant features can improve model predictions by capturing additional relationships",1.0.0,Understanding multiple feature linear models: Extend the basic equation to multiple features with separate weights: y-prime equals b plus w1x1 plus w2x2 plus w3x3 and so on,,2026-01-06,2026-01-06,,Foundational,
MLCCLR_004,Making Predictions with Trained Models,Concept,"Apply a trained linear regression equation with known weight and bias values to calculate predictions for new feature values;Calculate a prediction by multiplying each feature value by its corresponding weight, summing all products, and adding the bias;Interpret the prediction as the estimated label value for given feature inputs;Use a specific trained model equation such as y-prime equals 34 minus 4.6 times x to predict outcomes for concrete feature values",1.0.0,Understanding making predictions with trained models: Apply a trained linear regression equation with known weight and bias values to calculate predictions for new feature values,,2026-01-06,2026-01-06,,Foundational,
MLCCLR_005,Interpreting Model Parameters,Concept,"Interpret a positive weight as indicating that the label increases as the feature increases;Interpret a negative weight as indicating that the label decreases as the feature increases;Explain that the magnitude of a weight indicates the strength of the relationship between that feature and the label;Interpret the bias as the predicted label value when all features equal zero, noting when this interpretation is or is not meaningful;Compare weights across features to identify which features have stronger influences on predictions",1.0.0,Understanding interpreting model parameters: Interpret a positive weight as indicating that the label increases as the feature increases,,2026-01-06,2026-01-06,,Foundational,
MLCCLR_006,Residuals and Prediction Errors,Concept,Define a residual as the difference between the actual label value and the predicted value for a single example;Calculate residuals using the formula: residual equals actual value minus predicted value;Recognize that residuals can be positive when predictions are too low or negative when predictions are too high;Explain that the sign of residuals indicates the direction of error while the magnitude indicates the size of error;Understand that analyzing residuals helps assess how well a model fits the training data,1.0.0,Understanding residuals and prediction errors: Define a residual as the difference between the actual label value and the predicted value for a single example,,2026-01-06,2026-01-06,,Intermediate,
MLCCLR_007,Loss Function Concept and Purpose,Concept,"Define loss as a numerical metric that quantifies how incorrect a model's predictions are on a single example;Explain that loss measures the distance between predictions and actual labels, removing the sign to focus on magnitude;State that the training objective is to find parameters that minimize the average loss across all training examples;Recognize that loss is calculated per example but the training objective uses average loss over the entire dataset;Explain why loss calculations remove the sign: to treat overestimates and underestimates equally in terms of magnitude",1.0.0,Understanding loss function concept and purpose: Define loss as a numerical metric that quantifies how incorrect a model's predictions are on a single example,,2026-01-06,2026-01-06,,Intermediate,
MLCCLR_008,Loss Calculation Methods,Concept,"Identify two main methods to remove sign from errors: taking absolute value or squaring the difference;Define L1 loss as the sum of absolute values of differences between predicted and actual values;Define Mean Absolute Error MAE as the average of L1 losses across N examples;Define L2 loss as the sum of squared differences between predicted and actual values;Define Mean Squared Error MSE as the average of L2 losses across N examples;Define Root Mean Squared Error RMSE as the square root of MSE, returning error to the original label units;Calculate L2 loss for a single example given a prediction and actual value using the squaring formula",1.0.0,Understanding loss calculation methods: Identify two main methods to remove sign from errors: taking absolute value or squaring the difference,,2026-01-06,2026-01-06,,Intermediate,
MLCCLR_009,Comparing and Choosing Loss Functions,Concept,Explain that squaring amplifies large differences and reduces small differences below 1;Define an outlier as a data point with feature values or prediction errors that fall outside the typical range;Recognize that MSE penalizes large errors much more heavily than MAE due to squaring;Explain that models trained with MSE are more influenced by outliers while MAE-trained models are less affected;Choose MSE when large errors should be heavily penalized or when outliers represent important data variance;Choose MAE when the dataset contains significant outliers that should not dominate model training;Recognize that MAE and RMSE are more interpretable because they measure error in the same units as the label,1.0.0,Understanding comparing and choosing loss functions: Explain that squaring amplifies large differences and reduces small differences below 1,,2026-01-06,2026-01-06,,Intermediate,
