:START_ID,:END_ID,:TYPE,description:string
mlcc_lr_v1,MLCCLR_001,CONTAINS,"ML - Linear Regression contains Supervised Learning and Linear Regression Fundamentals"
mlcc_lr_v1,MLCCLR_002,CONTAINS,"ML - Linear Regression contains Linear Regression Equation Components"
mlcc_lr_v1,MLCCLR_003,CONTAINS,"ML - Linear Regression contains Multiple Feature Linear Models"
mlcc_lr_v1,MLCCLR_004,CONTAINS,"ML - Linear Regression contains Making Predictions with Trained Models"
mlcc_lr_v1,MLCCLR_005,CONTAINS,"ML - Linear Regression contains Interpreting Model Parameters"
mlcc_lr_v1,MLCCLR_006,CONTAINS,"ML - Linear Regression contains Residuals and Prediction Errors"
mlcc_lr_v1,MLCCLR_007,CONTAINS,"ML - Linear Regression contains Loss Function Concept and Purpose"
mlcc_lr_v1,MLCCLR_008,CONTAINS,"ML - Linear Regression contains Loss Calculation Methods"
mlcc_lr_v1,MLCCLR_009,CONTAINS,"ML - Linear Regression contains Comparing and Choosing Loss Functions"
mlcc_lr_v1,MLCCLR_010,CONTAINS,"ML - Linear Regression contains Training Objective and Empirical Risk Minimization"
mlcc_lr_v1,MLCCLR_011,CONTAINS,"ML - Linear Regression contains Gradient Descent Algorithm Fundamentals"
mlcc_lr_v1,MLCCLR_012,CONTAINS,"ML - Linear Regression contains Gradient Calculation and Parameter Updates"
mlcc_lr_v1,MLCCLR_013,CONTAINS,"ML - Linear Regression contains Learning Rate Hyperparameter"
mlcc_lr_v1,MLCCLR_014,CONTAINS,"ML - Linear Regression contains Batch, Mini-Batch, and Stochastic Gradient Descent"
mlcc_lr_v1,MLCCLR_015,CONTAINS,"ML - Linear Regression contains Model Convergence and Stopping Criteria"
mlcc_lr_v1,MLCCLR_016,CONTAINS,"ML - Linear Regression contains Loss Curves and Training Diagnostics"
mlcc_lr_v1,MLCCLR_017,CONTAINS,"ML - Linear Regression contains Convex Loss Functions in Linear Regression"
mlcc_lr_v1,MLCCLR_018,CONTAINS,"ML - Linear Regression contains Feature Scaling and Normalization"
mlcc_lr_v1,MLCCLR_019,CONTAINS,"ML - Linear Regression contains Generalization and Overfitting"
mlcc_lr_v1,MLCCLR_020,CONTAINS,"ML - Linear Regression contains Regularization in Linear Regression"
MLCCLR_001,MLCCLR_002,PREREQUISITE,"Understanding supervised learning fundamentals is prerequisite for learning equation components"
MLCCLR_002,MLCCLR_003,PREREQUISITE,"Understanding basic linear equation components is prerequisite for extending to multiple features"
MLCCLR_002,MLCCLR_004,PREREQUISITE,"Understanding equation components is prerequisite for making predictions with trained models"
MLCCLR_002,MLCCLR_005,PREREQUISITE,"Understanding equation components is prerequisite for interpreting model parameters"
MLCCLR_004,MLCCLR_006,PREREQUISITE,"Understanding how to make predictions is prerequisite for calculating prediction errors"
MLCCLR_006,MLCCLR_007,PREREQUISITE,"Understanding residuals and prediction errors is prerequisite for understanding loss functions"
MLCCLR_007,MLCCLR_008,PREREQUISITE,"Understanding loss function concept is prerequisite for learning specific loss calculation methods"
MLCCLR_008,MLCCLR_009,PREREQUISITE,"Understanding loss calculation methods is prerequisite for comparing and choosing loss functions"
MLCCLR_008,MLCCLR_010,PREREQUISITE,"Understanding loss calculation methods is prerequisite for understanding training objectives"
MLCCLR_010,MLCCLR_011,PREREQUISITE,"Understanding training objectives is prerequisite for learning gradient descent algorithm"
MLCCLR_011,MLCCLR_012,PREREQUISITE,"Understanding gradient descent fundamentals is prerequisite for learning gradient calculation details"
MLCCLR_012,MLCCLR_013,PREREQUISITE,"Understanding gradient calculation and parameter updates is prerequisite for learning about learning rate"
MLCCLR_011,MLCCLR_014,PREREQUISITE,"Understanding gradient descent fundamentals is prerequisite for learning batch variants"
MLCCLR_013,MLCCLR_014,PREREQUISITE,"Understanding learning rate is prerequisite for understanding batch gradient descent variants"
MLCCLR_011,MLCCLR_015,PREREQUISITE,"Understanding gradient descent fundamentals is prerequisite for understanding model convergence"
MLCCLR_015,MLCCLR_016,PREREQUISITE,"Understanding convergence criteria is prerequisite for interpreting loss curves"
MLCCLR_008,MLCCLR_017,PREREQUISITE,"Understanding loss calculation methods is prerequisite for understanding convex loss functions"
MLCCLR_011,MLCCLR_018,PREREQUISITE,"Understanding gradient descent fundamentals is prerequisite for understanding feature scaling importance"
MLCCLR_010,MLCCLR_019,PREREQUISITE,"Understanding training objectives is prerequisite for understanding generalization and overfitting"
MLCCLR_019,MLCCLR_020,PREREQUISITE,"Understanding overfitting is prerequisite for learning regularization techniques"
MLCCLR_001,MLCCLR_003,ALLOWS_UNDERSTANDING_OF,"Supervised learning fundamentals allow understanding of multiple feature models"
MLCCLR_001,MLCCLR_007,ALLOWS_UNDERSTANDING_OF,"Understanding supervised learning fundamentals allows understanding of loss function purpose"
MLCCLR_003,MLCCLR_005,ALLOWS_UNDERSTANDING_OF,"Understanding multiple features allows deeper understanding of parameter interpretation"
MLCCLR_005,MLCCLR_018,ALLOWS_UNDERSTANDING_OF,"Understanding parameter interpretation allows understanding of why feature scaling matters"
MLCCLR_007,MLCCLR_010,ALLOWS_UNDERSTANDING_OF,"Understanding loss function concept allows understanding of training objectives"
MLCCLR_009,MLCCLR_019,ALLOWS_UNDERSTANDING_OF,"Understanding loss function choices allows understanding of generalization challenges"
MLCCLR_013,MLCCLR_016,ALLOWS_UNDERSTANDING_OF,"Understanding learning rate allows understanding of loss curve patterns"
MLCCLR_016,MLCCLR_015,ALLOWS_UNDERSTANDING_OF,"Understanding loss curves allows understanding of when convergence occurs"
MLCCLR_017,MLCCLR_015,ALLOWS_UNDERSTANDING_OF,"Understanding convex loss functions allows understanding of convergence guarantees"
MLCCLR_001,MLCCLR_002,DIFFICULTY_PROGRESSION,"Foundational supervised learning progresses to intermediate equation components"
