:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
ML_working_with_numerical_data_v1,Machine Learning - Working with numerical data,Curriculum,,1.0.0,Transform your understanding of numerical data through dialogue,,2025-12-31,2025-12-31,18,,
MLWWND_001,Feature Vectors and Their Role in ML Models,Concept,Recognize that models do not act directly on raw dataset rows but instead ingest feature vectors;Define a feature vector as an array of numeric values representing one example;Explain that feature vectors typically contain processed values rather than raw dataset values;Understand that features are represented numerically (commonly as float tensors) and non-float inputs are typically cast or encoded to floats;Identify that feature engineering is the process of determining how to represent raw dataset values as trainable values in feature vectors,1.0.0,Understanding feature vectors and their role in ml models: Recognize that models do not act directly on raw dataset rows but instead ingest feature vectors,,2025-12-31,2025-12-31,,Foundational,
MLWWND_002,Numerical vs Categorical Data,Concept,"Define numerical data as integers or floating-point values that are additive, countable, and ordered;Identify examples of numerical data such as temperature, weight, and population counts;Recognize that some numbers like postal codes represent categories rather than mathematical relationships;Distinguish between data that behaves like numbers versus data that represents categories despite being numeric;Understand that numerical features can be directly used in mathematical operations while categorical features cannot",1.0.0,"Understanding numerical vs categorical data: Define numerical data as integers or floating-point values that are additive, countable, and ordered",,2025-12-31,2025-12-31,,Foundational,
MLWWND_003,Feature Engineering for Numerical Data,Concept,"Define feature engineering as the process of transforming raw dataset values into representations that models can better learn from;Recognize that models often produce better predictions from engineered features than from raw dataset values;Identify normalization as a technique for converting numerical values into a standard range;Identify binning (bucketing) as a technique for converting numerical values into discrete buckets of ranges;Understand that feature engineering can improve convergence speed, training stability, or accuracy on validation data;Recognize that feature engineering is a vital part of machine learning workflows",1.0.0,Understanding feature engineering for numerical data: Define feature engineering as the process of transforming raw dataset values into representations that models can better learn from,,2025-12-31,2025-12-31,,Foundational,
MLWWND_004,Data Exploration Through Visualization,Concept,"Recognize the importance of visualizing data using plots and graphs before creating feature vectors;Understand that graphs help identify anomalies, outliers, or patterns hiding in the data;Identify scatter plots as useful for examining relationships between two numerical features;Identify histograms as useful for examining the distribution of a single numerical feature;Recognize that visualizations should be used throughout data transformations, not just at the beginning;Choose a visualization appropriate to feature type and dataset size",1.0.0,Understanding data exploration through visualization: Recognize the importance of visualizing data using plots and graphs before creating feature vectors,,2025-12-31,2025-12-31,,Foundational,
MLWWND_005,Statistical Evaluation of Numerical Data,Concept,"Identify mean and median as basic statistics for evaluating potential features;Recognize standard deviation as an important statistical measure for understanding data spread;Understand that quartile divisions (0th, 25th, 50th, 75th, 100th percentiles) help characterize data distribution;Recognize that the 0th percentile represents the minimum value and the 100th percentile represents the maximum value;Understand that the 50th percentile is equivalent to the median;Recognize that basic statistics alone may not reveal all anomalies and should be combined with visualization",1.0.0,Understanding statistical evaluation of numerical data: Identify mean and median as basic statistics for evaluating potential features,,2025-12-31,2025-12-31,,Foundational,
MLWWND_006,Outlier Detection and Management,Concept,"Define an outlier as a value distant from most other values in a feature or label;Identify outliers using the IQR method: values below Q1 - 1.5×IQR or above Q3 + 1.5×IQR;Identify outliers using z-score thresholds: values with |z-score| > 3 are typically considered outliers;Confirm suspected outliers through visual inspection using box plots or histograms;Recognize that outliers due to mistakes (data entry errors, instrument malfunction) should generally be deleted;Understand that legitimate outliers should be kept if the model needs to make predictions on similar data points;Identify that extreme outliers can be handled through deletion, clipping, or robust scaling techniques",1.0.0,Understanding outlier detection and management: Define an outlier as a value distant from most other values in a feature or label,,2025-12-31,2025-12-31,,Intermediate,
MLWWND_007,Goals and Benefits of Normalization,Concept,"Define normalization as transforming features to be on a similar scale;Explain that normalization helps models converge more quickly during training by preventing gradient descent from taking inefficient paths;Understand that normalization helps models learn appropriate weights for each feature by balancing their initial influence;Recognize that normalization helps avoid numerical overflow and the NaN trap when feature values are very high;Identify that features covering distinctly different ranges should be normalized;Understand that without normalization, models may pay too much attention to features with wide ranges and insufficient attention to features with narrow ranges;Recognize that some optimizers (like Adam and Adagrad) reduce sensitivity to scaling differences, but normalization is still recommended",1.0.0,Understanding goals and benefits of normalization: Define normalization as transforming features to be on a similar scale,,2025-12-31,2025-12-31,,Intermediate,
MLWWND_008,Linear Scaling (Min-Max) Normalization,Concept,"Define linear scaling as converting floating-point values from their natural range into a standard range (usually 0 to 1 or -1 to +1);Calculate a min-max scaled value given the original value, minimum, and maximum of the feature;Identify that linear scaling is appropriate when lower and upper bounds of data don't change much over time;Recognize that linear scaling works well when the feature contains few or no extreme outliers;Understand that linear scaling is suitable when the feature is approximately uniformly distributed across its range;Identify that a histogram with roughly even bars indicates uniform distribution suitable for linear scaling;Recognize human age as an example feature suitable for linear scaling due to stable bounds (0-100) and relatively few outliers",1.0.0,Understanding linear scaling (min-max) normalization: Define linear scaling as converting floating-point values from their natural range into a standard range (usually 0 to 1 or -1 to +1),,2025-12-31,2025-12-31,,Intermediate,
MLWWND_009,Z-score (Standardization) Normalization,Concept,"Define a Z-score as the number of standard deviations a value is from the mean;Calculate a z-score given the original value, mean, and standard deviation of the feature;Understand that Z-score scaling represents features by storing their Z-score in the feature vector;Recognize that Z-score scaling is appropriate when data follows a normal distribution or approximately normal distribution;Identify that a bell-shaped histogram with a peak close to the mean indicates data suitable for Z-score scaling;Understand that Z-score scaling can be combined with clipping to handle extreme outliers in otherwise normal distributions;Recognize that Z-score scaling is typically a better normalization choice than linear scaling for most real-world features",1.0.0,Understanding z-score (standardization) normalization: Define a Z-score as the number of standard deviations a value is from the mean,,2025-12-31,2025-12-31,,Intermediate,
