:START_ID,:END_ID,:TYPE,description:string
ML_working_with_numerical_data_v1,MLWWND_001,CONTAINS,"Machine Learning - Working with numerical data contains Feature Vectors and Their Role in ML Models"
ML_working_with_numerical_data_v1,MLWWND_002,CONTAINS,"Machine Learning - Working with numerical data contains Numerical vs Categorical Data"
ML_working_with_numerical_data_v1,MLWWND_003,CONTAINS,"Machine Learning - Working with numerical data contains Feature Engineering for Numerical Data"
ML_working_with_numerical_data_v1,MLWWND_004,CONTAINS,"Machine Learning - Working with numerical data contains Data Exploration Through Visualization"
ML_working_with_numerical_data_v1,MLWWND_005,CONTAINS,"Machine Learning - Working with numerical data contains Statistical Evaluation of Numerical Data"
ML_working_with_numerical_data_v1,MLWWND_006,CONTAINS,"Machine Learning - Working with numerical data contains Outlier Detection and Management"
ML_working_with_numerical_data_v1,MLWWND_007,CONTAINS,"Machine Learning - Working with numerical data contains Goals and Benefits of Normalization"
ML_working_with_numerical_data_v1,MLWWND_008,CONTAINS,"Machine Learning - Working with numerical data contains Linear Scaling (Min-Max) Normalization"
ML_working_with_numerical_data_v1,MLWWND_009,CONTAINS,"Machine Learning - Working with numerical data contains Z-score (Standardization) Normalization"
ML_working_with_numerical_data_v1,MLWWND_010,CONTAINS,"Machine Learning - Working with numerical data contains Log Scaling Normalization"
ML_working_with_numerical_data_v1,MLWWND_011,CONTAINS,"Machine Learning - Working with numerical data contains Clipping for Handling Extreme Values"
ML_working_with_numerical_data_v1,MLWWND_012,CONTAINS,"Machine Learning - Working with numerical data contains Robust Scaling Using Median and IQR"
ML_working_with_numerical_data_v1,MLWWND_013,CONTAINS,"Machine Learning - Working with numerical data contains Preventing Data Leakage in Normalization"
ML_working_with_numerical_data_v1,MLWWND_014,CONTAINS,"Machine Learning - Working with numerical data contains Handling Missing Numerical Values"
ML_working_with_numerical_data_v1,MLWWND_015,CONTAINS,"Machine Learning - Working with numerical data contains Bucketing (Binning) Numerical Features"
ML_working_with_numerical_data_v1,MLWWND_016,CONTAINS,"Machine Learning - Working with numerical data contains The NaN Trap and Numerical Stability"
ML_working_with_numerical_data_v1,MLWWND_017,CONTAINS,"Machine Learning - Working with numerical data contains Selecting Appropriate Normalization Techniques"
ML_working_with_numerical_data_v1,MLWWND_018,CONTAINS,"Machine Learning - Working with numerical data contains Data Preparation Workflow for ML Projects"
MLWWND_001,MLWWND_002,PREREQUISITE,"Understanding feature vectors is prerequisite for distinguishing numerical vs categorical data types"
MLWWND_001,MLWWND_003,PREREQUISITE,"Understanding feature vectors is prerequisite for learning feature engineering techniques"
MLWWND_002,MLWWND_003,PREREQUISITE,"Distinguishing numerical vs categorical data is prerequisite for engineering numerical features"
MLWWND_002,MLWWND_004,PREREQUISITE,"Understanding data types is prerequisite for effective data visualization"
MLWWND_004,MLWWND_005,PREREQUISITE,"Data visualization skills are prerequisite for statistical evaluation"
MLWWND_005,MLWWND_006,PREREQUISITE,"Statistical evaluation is prerequisite for detecting and managing outliers"
MLWWND_003,MLWWND_007,PREREQUISITE,"Understanding feature engineering is prerequisite for learning normalization goals"
MLWWND_006,MLWWND_007,PREREQUISITE,"Outlier detection is prerequisite for understanding why normalization is beneficial"
MLWWND_007,MLWWND_008,PREREQUISITE,"Understanding normalization goals is prerequisite for learning linear scaling technique"
MLWWND_007,MLWWND_009,PREREQUISITE,"Understanding normalization goals is prerequisite for learning z-score scaling technique"
MLWWND_007,MLWWND_010,PREREQUISITE,"Understanding normalization goals is prerequisite for learning log scaling technique"
MLWWND_005,MLWWND_009,PREREQUISITE,"Understanding mean and standard deviation is prerequisite for z-score normalization"
MLWWND_005,MLWWND_012,PREREQUISITE,"Understanding quartiles is prerequisite for robust scaling using median and IQR"
MLWWND_006,MLWWND_011,PREREQUISITE,"Outlier detection is prerequisite for learning clipping techniques"
MLWWND_009,MLWWND_011,PREREQUISITE,"Understanding z-score scaling is prerequisite for combining it with clipping"
MLWWND_006,MLWWND_012,PREREQUISITE,"Outlier detection is prerequisite for understanding robust scaling benefits"
MLWWND_008,MLWWND_013,PREREQUISITE,"Understanding normalization techniques is prerequisite for preventing data leakage"
MLWWND_009,MLWWND_013,PREREQUISITE,"Understanding normalization parameters is prerequisite for preventing data leakage"
MLWWND_005,MLWWND_014,PREREQUISITE,"Understanding mean and median statistics is prerequisite for imputation techniques"
MLWWND_002,MLWWND_015,PREREQUISITE,"Understanding numerical data is prerequisite for bucketing numerical features"
MLWWND_007,MLWWND_016,PREREQUISITE,"Understanding normalization benefits is prerequisite for understanding the NaN trap"
MLWWND_008,MLWWND_017,PREREQUISITE,"Understanding linear scaling is prerequisite for selecting appropriate normalization"
MLWWND_009,MLWWND_017,PREREQUISITE,"Understanding z-score scaling is prerequisite for selecting appropriate normalization"
MLWWND_010,MLWWND_017,PREREQUISITE,"Understanding log scaling is prerequisite for selecting appropriate normalization"
MLWWND_004,MLWWND_017,PREREQUISITE,"Data visualization skills are prerequisite for selecting normalization based on distribution"
MLWWND_003,MLWWND_018,PREREQUISITE,"Understanding feature engineering is prerequisite for complete data preparation workflow"
MLWWND_013,MLWWND_018,PREREQUISITE,"Understanding data leakage prevention is prerequisite for proper ML workflow"
MLWWND_017,MLWWND_018,PREREQUISITE,"Selecting appropriate normalization is prerequisite for complete data preparation workflow"
MLWWND_001,MLWWND_007,ALLOWS_UNDERSTANDING_OF,"Understanding feature vectors allows understanding why normalization helps model training"
MLWWND_004,MLWWND_006,ALLOWS_UNDERSTANDING_OF,"Visualization skills allow better understanding of outlier detection methods"
MLWWND_005,MLWWND_006,ALLOWS_UNDERSTANDING_OF,"Statistical evaluation allows understanding of IQR and z-score outlier detection"
MLWWND_008,MLWWND_011,ALLOWS_UNDERSTANDING_OF,"Understanding linear scaling allows understanding when clipping is needed"
MLWWND_011,MLWWND_017,ALLOWS_UNDERSTANDING_OF,"Understanding clipping allows understanding combined normalization strategies"
MLWWND_012,MLWWND_017,ALLOWS_UNDERSTANDING_OF,"Understanding robust scaling allows understanding outlier-resistant normalization selection"
MLWWND_014,MLWWND_018,ALLOWS_UNDERSTANDING_OF,"Understanding missing value handling allows understanding complete data preparation"
MLWWND_015,MLWWND_018,ALLOWS_UNDERSTANDING_OF,"Understanding bucketing allows understanding advanced feature engineering in workflow"
MLWWND_016,MLWWND_018,ALLOWS_UNDERSTANDING_OF,"Understanding NaN trap allows understanding importance of data quality in workflow"
MLWWND_001,MLWWND_003,DIFFICULTY_PROGRESSION,"Feature vectors foundation progresses to intermediate feature engineering"
MLWWND_002,MLWWND_015,DIFFICULTY_PROGRESSION,"Basic numerical data understanding progresses to advanced bucketing techniques"
MLWWND_004,MLWWND_018,DIFFICULTY_PROGRESSION,"Basic visualization progresses to comprehensive data preparation workflow"
MLWWND_005,MLWWND_017,DIFFICULTY_PROGRESSION,"Basic statistics progress to advanced normalization selection"
MLWWND_007,MLWWND_013,DIFFICULTY_PROGRESSION,"Basic normalization concepts progress to advanced data leakage prevention"
MLWWND_008,MLWWND_012,DIFFICULTY_PROGRESSION,"Simple linear scaling progresses to advanced robust scaling"
MLWWND_009,MLWWND_012,DIFFICULTY_PROGRESSION,"Standard z-score scaling progresses to outlier-resistant robust scaling"
MLWWND_011,MLWWND_012,DIFFICULTY_PROGRESSION,"Basic clipping progresses to sophisticated robust scaling"
MLWWND_004,MLWWND_005,CROSS_REFERENCES,"Visualization and statistical evaluation mutually reinforce data understanding"
MLWWND_005,MLWWND_004,CROSS_REFERENCES,"Statistical evaluation and visualization mutually reinforce data understanding"
MLWWND_008,MLWWND_009,CROSS_REFERENCES,"Linear scaling and z-score scaling are alternative normalization approaches"
MLWWND_009,MLWWND_008,CROSS_REFERENCES,"Z-score scaling and linear scaling are alternative normalization approaches"
MLWWND_009,MLWWND_012,CROSS_REFERENCES,"Z-score and robust scaling are related statistical normalization methods"
MLWWND_012,MLWWND_009,CROSS_REFERENCES,"Robust scaling and z-score are related statistical normalization methods"
MLWWND_011,MLWWND_006,CROSS_REFERENCES,"Clipping and outlier detection are complementary outlier management techniques"
MLWWND_006,MLWWND_011,CROSS_REFERENCES,"Outlier detection and clipping are complementary outlier management techniques"
MLWWND_013,MLWWND_014,CROSS_REFERENCES,"Data leakage prevention applies to both normalization and imputation"
MLWWND_014,MLWWND_013,CROSS_REFERENCES,"Imputation and normalization both require data leakage prevention"
MLWWND_004,MLWWND_005,CONCEPTUAL_CLUSTER,"Visualization and statistics belong to data exploration cluster"
MLWWND_005,MLWWND_004,CONCEPTUAL_CLUSTER,"Statistics and visualization belong to data exploration cluster"
MLWWND_004,MLWWND_006,CONCEPTUAL_CLUSTER,"Visualization and outlier detection belong to data exploration cluster"
MLWWND_006,MLWWND_004,CONCEPTUAL_CLUSTER,"Outlier detection and visualization belong to data exploration cluster"
MLWWND_005,MLWWND_006,CONCEPTUAL_CLUSTER,"Statistics and outlier detection belong to data exploration cluster"
MLWWND_006,MLWWND_005,CONCEPTUAL_CLUSTER,"Outlier detection and statistics belong to data exploration cluster"
MLWWND_008,MLWWND_009,CONCEPTUAL_CLUSTER,"Linear scaling and z-score belong to normalization techniques cluster"
MLWWND_009,MLWWND_008,CONCEPTUAL_CLUSTER,"Z-score and linear scaling belong to normalization techniques cluster"
MLWWND_008,MLWWND_010,CONCEPTUAL_CLUSTER,"Linear scaling and log scaling belong to normalization techniques cluster"
MLWWND_010,MLWWND_008,CONCEPTUAL_CLUSTER,"Log scaling and linear scaling belong to normalization techniques cluster"
MLWWND_009,MLWWND_010,CONCEPTUAL_CLUSTER,"Z-score and log scaling belong to normalization techniques cluster"
MLWWND_010,MLWWND_009,CONCEPTUAL_CLUSTER,"Log scaling and z-score belong to normalization techniques cluster"
MLWWND_008,MLWWND_012,CONCEPTUAL_CLUSTER,"Linear scaling and robust scaling belong to normalization techniques cluster"
MLWWND_012,MLWWND_008,CONCEPTUAL_CLUSTER,"Robust scaling and linear scaling belong to normalization techniques cluster"
MLWWND_009,MLWWND_012,CONCEPTUAL_CLUSTER,"Z-score and robust scaling belong to normalization techniques cluster"
MLWWND_012,MLWWND_009,CONCEPTUAL_CLUSTER,"Robust scaling and z-score belong to normalization techniques cluster"
MLWWND_010,MLWWND_012,CONCEPTUAL_CLUSTER,"Log scaling and robust scaling belong to normalization techniques cluster"
MLWWND_012,MLWWND_010,CONCEPTUAL_CLUSTER,"Robust scaling and log scaling belong to normalization techniques cluster"
MLWWND_006,MLWWND_011,CONCEPTUAL_CLUSTER,"Outlier detection and clipping belong to outlier management cluster"
MLWWND_011,MLWWND_006,CONCEPTUAL_CLUSTER,"Clipping and outlier detection belong to outlier management cluster"
MLWWND_006,MLWWND_012,CONCEPTUAL_CLUSTER,"Outlier detection and robust scaling belong to outlier management cluster"
MLWWND_012,MLWWND_006,CONCEPTUAL_CLUSTER,"Robust scaling and outlier detection belong to outlier management cluster"
MLWWND_011,MLWWND_012,CONCEPTUAL_CLUSTER,"Clipping and robust scaling belong to outlier management cluster"
MLWWND_012,MLWWND_011,CONCEPTUAL_CLUSTER,"Robust scaling and clipping belong to outlier management cluster"
MLWWND_018,MLWWND_001,SYNTHESIZES,"Complete data preparation workflow synthesizes feature vector understanding"
MLWWND_018,MLWWND_003,SYNTHESIZES,"Complete data preparation workflow synthesizes feature engineering concepts"
MLWWND_018,MLWWND_004,SYNTHESIZES,"Complete data preparation workflow synthesizes data visualization techniques"
MLWWND_018,MLWWND_006,SYNTHESIZES,"Complete data preparation workflow synthesizes outlier management"
MLWWND_018,MLWWND_013,SYNTHESIZES,"Complete data preparation workflow synthesizes data leakage prevention"
MLWWND_018,MLWWND_014,SYNTHESIZES,"Complete data preparation workflow synthesizes missing value handling"
MLWWND_018,MLWWND_017,SYNTHESIZES,"Complete data preparation workflow synthesizes normalization selection"
MLWWND_017,MLWWND_004,SYNTHESIZES,"Normalization selection synthesizes visualization for distribution analysis"
MLWWND_017,MLWWND_008,SYNTHESIZES,"Normalization selection synthesizes linear scaling technique"
MLWWND_017,MLWWND_009,SYNTHESIZES,"Normalization selection synthesizes z-score scaling technique"
MLWWND_017,MLWWND_010,SYNTHESIZES,"Normalization selection synthesizes log scaling technique"
MLWWND_017,MLWWND_011,SYNTHESIZES,"Normalization selection synthesizes clipping for combined strategies"
MLWWND_017,MLWWND_012,SYNTHESIZES,"Normalization selection synthesizes robust scaling technique"
MLWWND_008,MLWWND_007,SPECIALIZES,"Linear scaling specializes general normalization goals"
MLWWND_009,MLWWND_007,SPECIALIZES,"Z-score scaling specializes general normalization goals"
MLWWND_010,MLWWND_007,SPECIALIZES,"Log scaling specializes general normalization goals"
MLWWND_012,MLWWND_007,SPECIALIZES,"Robust scaling specializes general normalization goals"
MLWWND_011,MLWWND_006,SPECIALIZES,"Clipping specializes general outlier management approach"
MLWWND_012,MLWWND_006,SPECIALIZES,"Robust scaling specializes outlier-resistant management approach"
MLWWND_015,MLWWND_003,SPECIALIZES,"Bucketing specializes feature engineering for non-linear relationships"
MLWWND_014,MLWWND_003,SPECIALIZES,"Missing value handling specializes feature engineering for incomplete data"
