:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
UPP_001_v1,Ultra processed people,Curriculum,,1.0.0,Dive deep into how ultra-processed foods have affected our well being,,2025-12-29,2025-12-29,18,,
UPP_001,Defining and Identifying Ultra-Processed Food (UPF),Concept,"Can explain that UPF is defined by industrial formulations containing ingredients not typically used in home cooking (modified starches, hydrolyzed proteins, emulsifiers, stabilizers, flavor compounds);Can identify UPF by checking ingredient lists for industrial additives, cosmetic ingredients, and fractionated components;Can correctly classify at least 8 out of 10 food products as UPF or non-UPF based on ingredient lists and justify the classification;Can explain that UPF includes both 'junk food' and products marketed with health claims (organic, free-range, high-protein, low-fat);Can recognize that the NOVA classification is based on the extent and purpose of processing, not nutritional content alone",1.0.0,"Understanding defining and identifying ultra-processed food (upf): Can explain that UPF is defined by industrial formulations containing ingredients not typically used in home cooking (modified starches, hydrolyzed proteins, emulsifiers, stabilizers, flavor compounds)",,2025-12-29,2025-12-29,,Foundational,
UPP_002,The NOVA Classification System and Gray Areas,Concept,"Can describe the four NOVA categories: unprocessed/minimally processed foods, processed culinary ingredients, processed foods, and ultra-processed foods;Can explain that the Brazilian NOVA system (developed 2010) distinguishes foods by degree of industrial processing;Can identify common boundary cases and explain why classification can be ambiguous (fortified cereals, wholegrain bread with additives, plant-based milk, meat alternatives);Can explain that not all processing is harmful and can give examples of beneficial processing (pasteurization, freezing, canning vegetables);Can recognize limitations of the NOVA system and why some foods are difficult to classify",1.0.0,"Understanding the nova classification system and gray areas: Can describe the four NOVA categories: unprocessed/minimally processed foods, processed culinary ingredients, processed foods, and ultra-processed foods",,2025-12-29,2025-12-29,,Foundational,
UPP_003,Historical Evolution and Current Prevalence of UPF,Concept,"Can describe that novel food molecules and industrial processes entered diets gradually from the late 19th century;Can explain that UPF adoption accelerated dramatically from the 1950s onward;Can state that UPF now constitutes approximately 50-60% of calories in the UK and USA diets;Can recognize that UPF forms a significant and growing part of diets globally, including in low- and middle-income countries;Can explain that many children in high-income countries obtain the majority of their daily calories from UPF",1.0.0,Understanding historical evolution and current prevalence of upf: Can describe that novel food molecules and industrial processes entered diets gradually from the late 19th century,,2025-12-29,2025-12-29,,Foundational,
UPP_004,How UPF is Engineered to Drive Overconsumption,Concept,"Can explain that food scientists deliberately optimize texture, flavor, and sensory properties to maximize consumption;Can describe the 'bliss point' concept: optimizing combinations of sugar, salt, and fat to maximize palatability;Can identify that UPF is designed with specific characteristics: high energy density, soft texture enabling fast eating, intense flavors, and low satiety per calorie;Can explain how portion sizing, packaging design, and convenience features are engineered to increase consumption;Can recognize that these design features are the result of market competition selecting for products that are purchased and consumed in greatest quantities",1.0.0,"Understanding how upf is engineered to drive overconsumption: Can explain that food scientists deliberately optimize texture, flavor, and sensory properties to maximize consumption",,2025-12-29,2025-12-29,,Foundational,
UPP_005,Mechanisms Linking UPF to Overeating,Concept,"Can explain how soft texture and low fiber content enable faster eating rates, bypassing natural satiety signals;Can describe the protein leverage hypothesis: UPF often has low protein content, driving continued eating to meet protein needs;Can explain how destruction of food matrix and fiber structure affects digestion speed and blood sugar responses;Can identify that high energy density combined with low satiety per calorie leads to passive overconsumption;Can describe how liquid calories (sodas, juices, smoothies) bypass satiety mechanisms more easily than solid foods;Can explain hypotheses about additives and emulsifiers potentially affecting gut microbiome and metabolism (while noting these are still being researched)",1.0.0,"Understanding mechanisms linking upf to overeating: Can explain how soft texture and low fiber content enable faster eating rates, bypassing natural satiety signals",,2025-12-29,2025-12-29,,Foundational,
UPP_006,Understanding the Evidence: What Studies Show and Their Limitations,Concept,"Can distinguish between observational studies (cohort studies showing associations) and randomized controlled trials (testing causation);Can explain what confounding means and why it's difficult to prove UPF directly causes health problems;Can describe that large cohort studies consistently show associations between higher UPF consumption and increased rates of obesity, type 2 diabetes, cardiovascular disease, certain cancers, and depression;Can explain that controlled feeding studies show UPF leads to increased calorie intake compared to unprocessed diets;Can recognize limitations of current evidence and areas of ongoing research;Can explain the difference between 'associated with' and 'causes' when discussing health outcomes",1.0.0,Understanding understanding the evidence: what studies show and their limitations: Can distinguish between observational studies (cohort studies showing associations) and randomized controlled trials (testing causation),,2025-12-29,2025-12-29,,Intermediate,
UPP_007,Health Impacts Associated with UPF Consumption,Concept,"Can list major health outcomes associated with high UPF consumption in large studies: obesity, metabolic disease, cardiovascular disease, certain cancers, mental health conditions;Can explain that associations with cardiovascular disease and early mortality persist even after controlling for obesity and known nutritional factors;Can describe at least two plausible biological mechanisms linking UPF to each major health outcome;Can identify that effects appear dose-dependent (more UPF consumption associated with greater risk);Can recognize that individual responses vary and not everyone eating UPF will experience these outcomes",1.0.0,"Understanding health impacts associated with upf consumption: Can list major health outcomes associated with high UPF consumption in large studies: obesity, metabolic disease, cardiovascular disease, certain cancers, mental health conditions",,2025-12-29,2025-12-29,,Intermediate,
UPP_008,"The Food Environment: Access, Pricing, and Convenience",Concept,"Can explain how UPF is typically cheaper per calorie than fresh, minimally processed foods;Can describe the concept of food deserts (limited access to fresh food) and food swamps (oversaturation of UPF outlets);Can identify how convenience, shelf-life, and minimal preparation time make UPF rational choices for people with limited time or resources;Can explain how retail placement, marketing, and pricing strategies make UPF more accessible and appealing;Can recognize that work patterns, income constraints, and lack of cooking facilities make UPF consumption a structural issue, not just individual choice",1.0.0,"Understanding the food environment: access, pricing, and convenience: Can explain how UPF is typically cheaper per calorie than fresh, minimally processed foods",,2025-12-29,2025-12-29,,Intermediate,
UPP_009,"Industry Practices: Marketing, Lobbying, and the Information Environment",Concept,"Can describe how health halos (organic, natural, protein-enriched claims) can mask UPF status;Can explain how industry funding can influence research questions, study design, and interpretation of results;Can identify lobbying tactics used to influence food policy and regulation;Can recognize the role of front groups and industry-funded organizations in shaping public discourse about nutrition;Can explain how marketing specifically targets children and vulnerable populations",1.0.0,"Understanding industry practices: marketing, lobbying, and the information environment: Can describe how health halos (organic, natural, protein-enriched claims) can mask UPF status",,2025-12-29,2025-12-29,,Intermediate,
UPP_010,The Industrial Food System as a Market Ecosystem,Concept,"Can explain the metaphor of the food system as an ecosystem where money flows instead of energy;Can describe how competition for consumer spending drives product innovation and marketing strategies;Can identify that the system includes transnational corporations and thousands of smaller companies competing for market share;Can explain how market selection favors products that maximize consumption and repeat purchases;Can recognize both the benefits (convenience, affordability, food safety) and harms of this system",1.0.0,Understanding the industrial food system as a market ecosystem: Can explain the metaphor of the food system as an ecosystem where money flows instead of energy,,2025-12-29,2025-12-29,,Intermediate,
UPP_011,Why Human Bodies Are Vulnerable to UPF,Concept,"Can explain that human taste, smell, and appetite regulation evolved in environments where calorie-dense food was scarce;Can describe that the body's weight regulation systems assume food requires effort to obtain and process;Can identify that humans evolved to seek out sweet, fatty, and salty foods because these were rare and valuable;Can explain why the 'just eat less' approach fails: UPF bypasses biological systems that normally regulate intake;Can recognize that overconsumption of UPF is not primarily about lack of willpower but about biological responses to novel food properties",1.0.0,"Understanding why human bodies are vulnerable to upf: Can explain that human taste, smell, and appetite regulation evolved in environments where calorie-dense food was scarce",,2025-12-29,2025-12-29,,Intermediate,
UPP_012,Social and Cultural Impacts of UPF,Concept,"Can explain how UPF displaces traditional food cultures and cooking knowledge;Can describe how UPF consumption patterns reflect and reinforce social inequalities;Can identify that lower-income populations often have higher UPF consumption due to cost, access, and time constraints;Can recognize that loss of traditional diets affects cultural identity and intergenerational knowledge transfer;Can explain how UPF marketing and availability reshape social norms around eating",1.0.0,Understanding social and cultural impacts of upf: Can explain how UPF displaces traditional food cultures and cooking knowledge,,2025-12-29,2025-12-29,,Advanced,
UPP_013,Environmental and Climate Impacts of Industrial Food Systems,Concept,"Can describe major environmental pressures linked to industrial food production: monocultures, land use change, synthetic fertilizers, pesticides, packaging waste, and transportation;Can explain that industrial agriculture is a major contributor to greenhouse gas emissions (among the top sources globally);Can identify that industrial food systems are a leading driver of biodiversity loss through habitat destruction and monoculture farming;Can recognize the connection between UPF demand and these environmental impacts;Can explain the concept of a synergistic pandemic: climate change, malnutrition, and obesity driven by the same food system",1.0.0,"Understanding environmental and climate impacts of industrial food systems: Can describe major environmental pressures linked to industrial food production: monocultures, land use change, synthetic fertilizers, pesticides, packaging waste, and transportation",,2025-12-29,2025-12-29,,Advanced,
UPP_014,The Personal Experiment: Self-Study as Evidence,Concept,"Can describe that the author conducted a controlled self-experiment eating 80% UPF diet while monitoring physical and psychological effects;Can explain what self-experimentation can demonstrate (individual response, lived experience) and what it cannot prove (general causation, population effects);Can recognize how personal narrative combined with scientific research helps bridge abstract data and real-world experience;Can identify both physical effects (weight gain, changes in hunger) and psychological effects (mood, cravings, eating behavior) reported in the experiment",1.0.0,Understanding the personal experiment: self-study as evidence: Can describe that the author conducted a controlled self-experiment eating 80% UPF diet while monitoring physical and psychological effects,,2025-12-29,2025-12-29,,Advanced,
UPP_015,Practical Skills: Reading Labels and Identifying UPF,Concept,"Can systematically read an ingredient list to identify industrial additives and fractionated ingredients;Can recognize common UPF ingredients in plain language: modified starches, hydrolyzed proteins, emulsifiers (lecithin, mono- and diglycerides), stabilizers (xanthan gum, carrageenan), artificial sweeteners, flavor enhancers;Can explain the limitations of label reading (some additives are not listed, 'natural flavors' can be highly processed);Can identify misleading front-of-package claims and know to check the ingredient list;Can apply the practical rule: if it contains ingredients you wouldn't find in a standard kitchen, it's likely UPF",1.0.0,Understanding practical skills: reading labels and identifying upf: Can systematically read an ingredient list to identify industrial additives and fractionated ingredients,,2025-12-29,2025-12-29,,Advanced,
UPP_016,Practical Strategies: Reducing UPF Consumption,Concept,"Can plan a 3-day menu that reduces UPF while working within realistic time and budget constraints;Can identify at least 10 high-impact food swaps (e.g., steel-cut oats instead of flavored instant oatmeal, whole fruit instead of fruit juice, plain yogurt with fruit instead of flavored yogurt);Can describe strategies for different meals: breakfast options, portable snacks, quick dinners using minimally processed ingredients;Can explain how to navigate situations with limited options (convenience stores, workplace cafeterias, social events);Can identify which UPFs might be reasonable to keep for practical reasons and which are easiest to replace",1.0.0,Understanding practical strategies: reducing upf consumption: Can plan a 3-day menu that reduces UPF while working within realistic time and budget constraints,,2025-12-29,2025-12-29,,Advanced,
UPP_017,Policy Solutions: What Governments Could Do,Concept,"Can describe at least 5 policy interventions: clearer front-of-package labeling, restrictions on marketing to children, taxes on UPF, subsidies for fresh food, regulation of health claims;Can explain the intended effect of each policy and potential barriers to implementation;Can identify the role of food environment changes: improving access in food deserts, supporting local food systems, school meal standards;Can recognize that effective change requires both individual action and systemic policy reform;Can explain why industry opposition makes policy change difficult and what evidence-based advocacy looks like",1.0.0,"Understanding policy solutions: what governments could do: Can describe at least 5 policy interventions: clearer front-of-package labeling, restrictions on marketing to children, taxes on UPF, subsidies for fresh food, regulation of health claims",,2025-12-29,2025-12-29,,Advanced,
UPP_018,Barriers and Equity Considerations in Reducing UPF,Concept,"Can identify major barriers to reducing UPF: cost, time, cooking skills, kitchen access, food availability, cultural factors, and marketing pressure;Can explain why advice to 'just eat real food' is insufficient without addressing structural inequalities;Can recognize that some populations face greater barriers: low-income families, shift workers, people in food deserts, those with disabilities;Can describe how solutions must be equitable and not place additional burden on already-stressed populations;Can explain the difference between individual behavior change and creating environments that make healthier choices easier for everyone",1.0.0,"Understanding barriers and equity considerations in reducing upf: Can identify major barriers to reducing UPF: cost, time, cooking skills, kitchen access, food availability, cultural factors, and marketing pressure",,2025-12-29,2025-12-29,,Specialized,
