:START_ID,:END_ID,:TYPE,description:string
UPP_001_v1,UPP_001,CONTAINS,"Ultra processed people contains Defining and Identifying Ultra-Processed Food (UPF)"
UPP_001_v1,UPP_002,CONTAINS,"Ultra processed people contains The NOVA Classification System and Gray Areas"
UPP_001_v1,UPP_003,CONTAINS,"Ultra processed people contains Historical Evolution and Current Prevalence of UPF"
UPP_001_v1,UPP_004,CONTAINS,"Ultra processed people contains How UPF is Engineered to Drive Overconsumption"
UPP_001_v1,UPP_005,CONTAINS,"Ultra processed people contains Mechanisms Linking UPF to Overeating"
UPP_001_v1,UPP_006,CONTAINS,"Ultra processed people contains Understanding the Evidence: What Studies Show and Their Limitations"
UPP_001_v1,UPP_007,CONTAINS,"Ultra processed people contains Health Impacts Associated with UPF Consumption"
UPP_001_v1,UPP_008,CONTAINS,"Ultra processed people contains The Food Environment: Access, Pricing, and Convenience"
UPP_001_v1,UPP_009,CONTAINS,"Ultra processed people contains Industry Practices: Marketing, Lobbying, and the Information Environment"
UPP_001_v1,UPP_010,CONTAINS,"Ultra processed people contains The Industrial Food System as a Market Ecosystem"
UPP_001_v1,UPP_011,CONTAINS,"Ultra processed people contains Why Human Bodies Are Vulnerable to UPF"
UPP_001_v1,UPP_012,CONTAINS,"Ultra processed people contains Social and Cultural Impacts of UPF"
UPP_001_v1,UPP_013,CONTAINS,"Ultra processed people contains Environmental and Climate Impacts of Industrial Food Systems"
UPP_001_v1,UPP_014,CONTAINS,"Ultra processed people contains The Personal Experiment: Self-Study as Evidence"
UPP_001_v1,UPP_015,CONTAINS,"Ultra processed people contains Practical Skills: Reading Labels and Identifying UPF"
UPP_001_v1,UPP_016,CONTAINS,"Ultra processed people contains Practical Strategies: Reducing UPF Consumption"
UPP_001_v1,UPP_017,CONTAINS,"Ultra processed people contains Policy Solutions: What Governments Could Do"
UPP_001_v1,UPP_018,CONTAINS,"Ultra processed people contains Barriers and Equity Considerations in Reducing UPF"
UPP_001,UPP_002,PREREQUISITE,"Understanding what UPF is must come before learning the classification system that categorizes it"
UPP_001,UPP_003,PREREQUISITE,"Defining UPF is necessary before understanding its historical evolution and prevalence"
UPP_001,UPP_015,PREREQUISITE,"Knowing what defines UPF is essential before learning to identify it through label reading"
UPP_002,UPP_003,PREREQUISITE,"Understanding the NOVA classification system provides context for tracking UPF prevalence historically"
UPP_001,UPP_004,PREREQUISITE,"Identifying what UPF is must precede understanding how it is engineered"
UPP_004,UPP_005,PREREQUISITE,"Understanding how UPF is engineered to drive overconsumption is necessary before learning the biological mechanisms of overeating"
UPP_005,UPP_011,PREREQUISITE,"Understanding mechanisms of overeating provides foundation for why human bodies are vulnerable to UPF"
UPP_003,UPP_006,PREREQUISITE,"Knowing the prevalence of UPF provides context for understanding the scope and importance of research evidence"
UPP_006,UPP_007,PREREQUISITE,"Understanding research methods and limitations is essential before interpreting health impact findings"
UPP_005,UPP_007,PREREQUISITE,"Understanding mechanisms linking UPF to overeating helps explain the health impacts observed"
UPP_003,UPP_008,PREREQUISITE,"Understanding UPF prevalence provides context for examining the food environment that enables it"
UPP_004,UPP_009,PREREQUISITE,"Understanding how UPF is engineered provides foundation for recognizing industry marketing practices"
UPP_008,UPP_010,PREREQUISITE,"Understanding the food environment is necessary before grasping the broader industrial food system"
UPP_009,UPP_010,PREREQUISITE,"Understanding industry practices is essential for comprehending the market ecosystem dynamics"
UPP_003,UPP_012,PREREQUISITE,"Understanding UPF prevalence provides context for examining its social and cultural impacts"
UPP_010,UPP_013,PREREQUISITE,"Understanding the industrial food system as a market ecosystem is necessary before examining its environmental impacts"
UPP_006,UPP_014,PREREQUISITE,"Understanding research methods and evidence types is essential before evaluating a personal experiment"
UPP_001,UPP_014,PREREQUISITE,"Defining UPF is necessary to understand what was being tested in the personal experiment"
UPP_002,UPP_015,PREREQUISITE,"Understanding the NOVA classification system helps inform practical label reading skills"
UPP_015,UPP_016,PREREQUISITE,"Being able to identify UPF through labels is essential before implementing reduction strategies"
UPP_008,UPP_016,PREREQUISITE,"Understanding the food environment helps inform realistic practical strategies for reducing UPF"
UPP_007,UPP_017,PREREQUISITE,"Understanding health impacts provides the rationale for policy interventions"
UPP_010,UPP_017,PREREQUISITE,"Understanding the industrial food system is necessary for designing effective policy solutions"
UPP_008,UPP_018,PREREQUISITE,"Understanding the food environment is essential for recognizing barriers to reducing UPF"
UPP_016,UPP_018,PREREQUISITE,"Understanding practical strategies reveals the barriers people face in implementation"
UPP_001,UPP_002,DIFFICULTY_PROGRESSION,"Defining UPF progresses to understanding the nuanced classification system"
UPP_002,UPP_004,DIFFICULTY_PROGRESSION,"Understanding classification progresses to analyzing engineering principles"
UPP_004,UPP_005,DIFFICULTY_PROGRESSION,"Understanding engineering progresses to complex biological mechanisms"
UPP_006,UPP_007,DIFFICULTY_PROGRESSION,"Understanding research methods progresses to interpreting complex health outcomes"
UPP_008,UPP_010,DIFFICULTY_PROGRESSION,"Understanding food environment progresses to analyzing the entire market ecosystem"
UPP_015,UPP_016,DIFFICULTY_PROGRESSION,"Identifying UPF progresses to implementing comprehensive reduction strategies"
UPP_016,UPP_017,DIFFICULTY_PROGRESSION,"Personal strategies progress to understanding systemic policy solutions"
