:START_ID,:END_ID,:TYPE,description:string
wgv_001,WGV_001,CONTAINS,"Wegovy curriculum contains Mechanism of Action and Clinical Evidence Foundation"
wgv_001,WGV_002,CONTAINS,"Wegovy curriculum contains Approved Indications and Patient Selection Criteria"
wgv_001,WGV_003,CONTAINS,"Wegovy curriculum contains Dosing Protocol, Administration Technique, and Device Handling"
wgv_001,WGV_004,CONTAINS,"Wegovy curriculum contains Contraindications, Boxed Warnings, and Critical Safety Precautions"
wgv_001,WGV_005,CONTAINS,"Wegovy curriculum contains Special Populations, Drug Interactions, and Gastrointestinal Safety Management"
WGV_001,WGV_002,PREREQUISITE,"Understanding mechanism of action and clinical evidence is prerequisite for identifying appropriate patient indications"
WGV_001,WGV_003,PREREQUISITE,"Understanding mechanism of action is prerequisite for proper dosing and administration technique"
WGV_002,WGV_003,PREREQUISITE,"Understanding patient selection criteria is prerequisite for implementing appropriate dosing protocols"
WGV_001,WGV_004,PREREQUISITE,"Understanding mechanism of action and clinical evidence is prerequisite for recognizing contraindications and safety precautions"
WGV_004,WGV_005,PREREQUISITE,"Understanding critical safety precautions is prerequisite for managing special populations and drug interactions"
WGV_001,WGV_005,ALLOWS_UNDERSTANDING_OF,"Understanding GLP-1 mechanism allows understanding of drug interactions and gastrointestinal safety management"
WGV_002,WGV_005,ALLOWS_UNDERSTANDING_OF,"Understanding patient selection criteria allows understanding of special population considerations"
WGV_003,WGV_005,ALLOWS_UNDERSTANDING_OF,"Understanding dosing and gastric emptying effects allows understanding of gastrointestinal adverse reaction management"
WGV_001,WGV_002,DIFFICULTY_PROGRESSION,"Foundational mechanism knowledge progresses to intermediate patient selection application"
WGV_002,WGV_003,DIFFICULTY_PROGRESSION,"Intermediate patient selection progresses to advanced dosing protocol implementation"
WGV_003,WGV_004,DIFFICULTY_PROGRESSION,"Advanced dosing protocols progress to specialized safety precautions knowledge"
WGV_004,WGV_005,DIFFICULTY_PROGRESSION,"Specialized safety precautions progress to complex special populations management"
WGV_002,WGV_004,CROSS_REFERENCES,"Patient selection criteria cross-references contraindications for appropriate prescribing decisions"
WGV_004,WGV_002,CROSS_REFERENCES,"Contraindications cross-reference patient selection criteria for safe prescribing practices"
WGV_003,WGV_004,CROSS_REFERENCES,"Dosing protocols cross-reference safety precautions for administration guidance"
WGV_004,WGV_003,CROSS_REFERENCES,"Safety precautions cross-reference dosing protocols for risk mitigation during administration"
WGV_001,WGV_004,CONCEPTUAL_CLUSTER,"Mechanism of action and safety precautions belong to pharmacological safety cluster"
WGV_004,WGV_001,CONCEPTUAL_CLUSTER,"Safety precautions and mechanism of action belong to pharmacological safety cluster"
WGV_002,WGV_003,CONCEPTUAL_CLUSTER,"Patient selection and dosing protocols belong to clinical implementation cluster"
WGV_003,WGV_002,CONCEPTUAL_CLUSTER,"Dosing protocols and patient selection belong to clinical implementation cluster"
WGV_004,WGV_005,CONCEPTUAL_CLUSTER,"Critical safety precautions and special populations management belong to risk management cluster"
WGV_005,WGV_004,CONCEPTUAL_CLUSTER,"Special populations management and critical safety precautions belong to risk management cluster"
WGV_005,WGV_001,SYNTHESIZES,"Special populations management synthesizes mechanism of action knowledge for comprehensive patient care"
WGV_005,WGV_002,SYNTHESIZES,"Special populations management synthesizes patient selection criteria for individualized treatment decisions"
WGV_005,WGV_003,SYNTHESIZES,"Special populations management synthesizes dosing protocols for tailored administration approaches"
WGV_005,WGV_004,SYNTHESIZES,"Special populations management synthesizes safety precautions for comprehensive risk assessment"
WGV_002,WGV_001,SPECIALIZES,"Patient selection criteria for obesity and cardiovascular disease specializes general GLP-1 receptor agonist mechanism"
WGV_003,WGV_001,SPECIALIZES,"Specific dose escalation protocol specializes general principle of reducing gastrointestinal symptoms"
WGV_004,WGV_001,SPECIALIZES,"Specific thyroid C-cell tumor warnings specialize general GLP-1 receptor agonist safety profile"
WGV_005,WGV_001,SPECIALIZES,"Specific gastric emptying drug interactions specialize general GLP-1 mechanism of delayed gastric emptying"
