~id,~start_node_id,~end_node_id,~relationship_type
rel_0,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:1,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:0,ALLOWS_UNDERSTANDING_OF
rel_1,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:2,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:1,ALLOWS_UNDERSTANDING_OF
rel_2,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:3,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:2,ALLOWS_UNDERSTANDING_OF
rel_3,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:4,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:2,ALLOWS_UNDERSTANDING_OF
rel_4,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:5,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:2,ALLOWS_UNDERSTANDING_OF
rel_5,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:6,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:2,ALLOWS_UNDERSTANDING_OF
rel_6,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:7,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:2,ALLOWS_UNDERSTANDING_OF
rel_7,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:8,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:1,ALLOWS_UNDERSTANDING_OF
rel_8,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:9,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:8,ALLOWS_UNDERSTANDING_OF
rel_9,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:10,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:8,ALLOWS_UNDERSTANDING_OF
rel_10,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:11,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:8,ALLOWS_UNDERSTANDING_OF
rel_11,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:12,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:8,ALLOWS_UNDERSTANDING_OF
rel_12,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:13,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:8,ALLOWS_UNDERSTANDING_OF
rel_13,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:14,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:1,ALLOWS_UNDERSTANDING_OF
rel_14,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:15,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:14,ALLOWS_UNDERSTANDING_OF
rel_15,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:16,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:14,ALLOWS_UNDERSTANDING_OF
rel_16,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:17,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:14,ALLOWS_UNDERSTANDING_OF
rel_17,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:18,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:14,ALLOWS_UNDERSTANDING_OF
rel_18,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:19,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:14,ALLOWS_UNDERSTANDING_OF
rel_19,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:20,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:1,ALLOWS_UNDERSTANDING_OF
rel_20,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:21,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:20,ALLOWS_UNDERSTANDING_OF
rel_21,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:22,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:20,ALLOWS_UNDERSTANDING_OF
rel_22,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:23,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:20,ALLOWS_UNDERSTANDING_OF
rel_23,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:24,4:90748360-fab7-43c8-9fc3-ee8c4a62bb2a:20,ALLOWS_UNDERSTANDING_OF
