:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
CSCI_CC_001,Code Complete,Curriculum,,1.0.0,A dialogue about best practiecs for computer programming,,2025-12-27,2025-12-27,20,,
CSCI_CC_001,Upstream Prerequisites and Their Impact on Construction,Concept,"Explain why problem definition must be clearly established before construction begins to avoid building the wrong solution;Describe how inadequate requirements specification leads to increased defects, rework, and project delays during construction;Articulate the role of software architecture as a prerequisite that defines major structural decisions before detailed construction;Identify the consequences of skipping or inadequately completing prerequisites, including increased defect rates and construction inefficiency;Given a scenario with unstable requirements, recommend specific workflow adaptations (iterative design, feature flags, modular architecture) to mitigate risk",1.0.0,Understanding upstream prerequisites and their impact on construction: Explain why problem definition must be clearly established before construction begins to avoid building the wrong solution,,2025-12-27,2025-12-27,,Foundational,
CSCI_CC_002,Design Challenges and Complexity Management,Concept,"Identify design as a 'wicked problem' that cannot be fully understood until it is solved, requiring iterative approaches;Explain why design involves managing complexity as the primary technical imperative in software development;Describe how design is a heuristic process with no single correct solution, requiring judgment and trade-offs;Given a design problem, produce two alternative solutions and compare their tradeoffs in terms of complexity, maintainability, and performance;Articulate why design is an emergent process that evolves through iteration and refinement rather than being fully specified upfront",1.0.0,"Understanding design challenges and complexity management: Identify design as a 'wicked problem' that cannot be fully understood until it is solved, requiring iterative approaches",,2025-12-27,2025-12-27,,Foundational,
CSCI_CC_003,Key Design Concepts: Abstraction and Encapsulation,Concept,"Define abstraction as the ability to view a programming entity from various levels of detail, focusing on essential characteristics while suppressing implementation details;Explain encapsulation as the technique of hiding implementation details behind a public interface to manage complexity;Demonstrate how abstraction allows programmers to work at the highest level of detail appropriate for a given task;Apply encapsulation principles to minimize the impact of changes by isolating implementation details from client code;Given a class or module, evaluate its interface for abstraction quality by identifying any leaked implementation details and proposing improvements",1.0.0,"Understanding key design concepts: abstraction and encapsulation: Define abstraction as the ability to view a programming entity from various levels of detail, focusing on essential characteristics while suppressing implementation details",,2025-12-27,2025-12-27,,Foundational,
CSCI_CC_004,Information Hiding as a Design Principle,Concept,"Define information hiding as concealing design decisions that are likely to change, protecting other parts of the program from those changes;Identify common secrets to hide including data structures, file formats, business rules, algorithms, and hardware dependencies;Explain how information hiding reduces the impact of changes by localizing them to single modules or classes;Apply information hiding to create barriers between areas of likely change and the rest of the system;Given a class or module design, assess what implementation details are exposed versus hidden and refactor to improve information hiding",1.0.0,"Understanding information hiding as a design principle: Define information hiding as concealing design decisions that are likely to change, protecting other parts of the program from those changes",,2025-12-27,2025-12-27,,Foundational,
CSCI_CC_005,Working with Classes: Cohesion and Coupling,Concept,"Define class cohesion as the degree to which a class's methods and data are related to a single purpose;Explain coupling as the degree of interdependence between classes, with loose coupling being desirable for maintainability;Design classes with high cohesion by ensuring all methods and data serve the class's central purpose;Minimize coupling by limiting class interfaces, avoiding deep inheritance hierarchies, and preferring composition over inheritance;Given a class design, evaluate whether the class represents a single, coherent abstraction and refactor to improve cohesion or reduce coupling",1.0.0,Understanding working with classes: cohesion and coupling: Define class cohesion as the degree to which a class's methods and data are related to a single purpose,,2025-12-27,2025-12-27,,Foundational,
CSCI_CC_006,High-Quality Routine Design,Concept,"Define a routine as having a single, well-defined purpose that can be described without using conjunctions like 'and' or 'or';Explain functional cohesion as the strongest type of cohesion where a routine performs one and only one operation;Apply naming conventions that clearly describe what a routine does, making the code self-documenting;Identify and avoid routines with weak cohesion such as coincidental, temporal, or logical cohesion;Given a routine with poor cohesion, refactor it to improve single-responsibility and justify the changes made",1.0.0,"Understanding high-quality routine design: Define a routine as having a single, well-defined purpose that can be described without using conjunctions like 'and' or 'or'",,2025-12-27,2025-12-27,,Intermediate,
CSCI_CC_007,Pseudocode Programming Process,Concept,"Describe the pseudocode programming process as designing routines in natural language before coding in a programming language;Apply the process of writing pseudocode that describes the routine's logic at a high level of abstraction;Refine pseudocode iteratively, adding detail until it can be translated directly into code;Compare pseudocode programming with alternative approaches including test-driven development, spike solutions, and direct coding;Evaluate when pseudocode programming is most beneficial versus when alternative approaches may be more appropriate",1.0.0,Understanding pseudocode programming process: Describe the pseudocode programming process as designing routines in natural language before coding in a programming language,,2025-12-27,2025-12-27,,Intermediate,
CSCI_CC_008,Variable Naming Conventions and Code Clarity,Concept,"Create variable names that fully and accurately describe the entity the variable represents;Optimize name length for clarity, avoiding both cryptic abbreviations and unnecessarily verbose names;Use problem-oriented names that refer to the problem domain rather than implementation details;Avoid misleading names, names with similar meanings, and names that differ only in capitalization;Follow naming conventions consistently across a codebase for variables, constants, classes, and routines using consistent domain language",1.0.0,Understanding variable naming conventions and code clarity: Create variable names that fully and accurately describe the entity the variable represents,,2025-12-27,2025-12-27,,Intermediate,
CSCI_CC_009,Code Layout and Self-Documenting Code,Concept,"Apply consistent indentation to show logical structure and nesting levels in code;Use white space strategically to group related statements and separate unrelated ones;Write code that is clear enough to be understood without extensive comments through good naming and structure;Use comments to explain why code does something rather than what it does when the code itself is clear;Document complex algorithms, non-obvious design decisions, and workarounds with explanatory comments while avoiding redundant comments",1.0.0,Understanding code layout and self-documenting code: Apply consistent indentation to show logical structure and nesting levels in code,,2025-12-27,2025-12-27,,Intermediate,
CSCI_CC_010,Defensive Programming Practices,Concept,"Define defensive programming as protecting code from invalid inputs and unexpected conditions through validation and error handling;Implement assertions to document assumptions and catch programming errors during development;Distinguish between assertions (for catching programming errors), exceptions (for recoverable errors), and error return codes (for expected conditions);Apply input validation techniques to check preconditions, postconditions, and data invariants;Given specific error scenarios, choose between assertion, exception, or error return approaches and explain the consequences of each choice",1.0.0,Understanding defensive programming practices: Define defensive programming as protecting code from invalid inputs and unexpected conditions through validation and error handling,,2025-12-27,2025-12-27,,Intermediate,
