:START_ID,:END_ID,:TYPE,description:string
TEST_CFC_001,TESTCFC_001,CONTAINS,"Colours for children contains Color Matching and Sorting"
TEST_CFC_001,TESTCFC_002,CONTAINS,"Colours for children contains Red in Multiple Contexts"
TEST_CFC_001,TESTCFC_003,CONTAINS,"Colours for children contains Blue in Multiple Contexts"
TEST_CFC_001,TESTCFC_004,CONTAINS,"Colours for children contains Yellow in Multiple Contexts"
TEST_CFC_001,TESTCFC_005,CONTAINS,"Colours for children contains Green in Nature and Food"
TEST_CFC_001,TESTCFC_006,CONTAINS,"Colours for children contains Orange in Food and Objects"
TEST_CFC_001,TESTCFC_007,CONTAINS,"Colours for children contains Purple in Food and Objects"
TEST_CFC_001,TESTCFC_008,CONTAINS,"Colours for children contains Black, White, and Brown"
TEST_CFC_001,TESTCFC_009,CONTAINS,"Colours for children contains Pink and Gray"
TEST_CFC_001,TESTCFC_010,CONTAINS,"Colours for children contains Two-Color Animals and Color Mixing"
TESTCFC_001,TESTCFC_002,PREREQUISITE,"Color matching and sorting ability is prerequisite for identifying red in multiple contexts"
TESTCFC_001,TESTCFC_003,PREREQUISITE,"Color matching and sorting ability is prerequisite for identifying blue in multiple contexts"
TESTCFC_001,TESTCFC_004,PREREQUISITE,"Color matching and sorting ability is prerequisite for identifying yellow in multiple contexts"
TESTCFC_001,TESTCFC_005,PREREQUISITE,"Color matching and sorting ability is prerequisite for identifying green in nature and food"
TESTCFC_001,TESTCFC_006,PREREQUISITE,"Color matching and sorting ability is prerequisite for identifying orange in food and objects"
TESTCFC_001,TESTCFC_007,PREREQUISITE,"Color matching and sorting ability is prerequisite for identifying purple in food and objects"
TESTCFC_001,TESTCFC_008,PREREQUISITE,"Color matching and sorting ability is prerequisite for identifying black, white, and brown"
TESTCFC_001,TESTCFC_009,PREREQUISITE,"Color matching and sorting ability is prerequisite for identifying pink and gray"
TESTCFC_002,TESTCFC_010,PREREQUISITE,"Understanding red in multiple contexts is prerequisite for identifying colors in two-color animals and color mixing"
TESTCFC_004,TESTCFC_010,PREREQUISITE,"Understanding yellow in multiple contexts is prerequisite for color mixing concepts"
TESTCFC_003,TESTCFC_010,PREREQUISITE,"Understanding blue in multiple contexts is prerequisite for color mixing concepts"
TESTCFC_001,TESTCFC_002,DIFFICULTY_PROGRESSION,"Basic color matching progresses to identifying specific color red in varied contexts"
TESTCFC_001,TESTCFC_003,DIFFICULTY_PROGRESSION,"Basic color matching progresses to identifying specific color blue in varied contexts"
TESTCFC_001,TESTCFC_004,DIFFICULTY_PROGRESSION,"Basic color matching progresses to identifying specific color yellow in varied contexts"
TESTCFC_002,TESTCFC_005,DIFFICULTY_PROGRESSION,"Understanding red progresses to understanding green in nature contexts"
TESTCFC_003,TESTCFC_006,DIFFICULTY_PROGRESSION,"Understanding blue progresses to understanding orange in food contexts"
TESTCFC_004,TESTCFC_007,DIFFICULTY_PROGRESSION,"Understanding yellow progresses to understanding purple in varied contexts"
TESTCFC_005,TESTCFC_008,DIFFICULTY_PROGRESSION,"Understanding green progresses to understanding neutral colors black, white, and brown"
TESTCFC_006,TESTCFC_009,DIFFICULTY_PROGRESSION,"Understanding orange progresses to understanding pink and gray"
TESTCFC_008,TESTCFC_010,DIFFICULTY_PROGRESSION,"Understanding neutral colors progresses to identifying multiple colors and mixing"
TESTCFC_001,TESTCFC_010,ALLOWS_UNDERSTANDING_OF,"Mastering color sorting allows understanding of identifying multiple colors on animals"
TESTCFC_002,TESTCFC_006,ALLOWS_UNDERSTANDING_OF,"Understanding red allows understanding of orange as a related warm color"
TESTCFC_004,TESTCFC_006,ALLOWS_UNDERSTANDING_OF,"Understanding yellow allows understanding of orange as a related warm color"
TESTCFC_003,TESTCFC_007,ALLOWS_UNDERSTANDING_OF,"Understanding blue allows understanding of purple as a related cool color"
TESTCFC_002,TESTCFC_007,ALLOWS_UNDERSTANDING_OF,"Understanding red allows understanding of purple as a related color"
TESTCFC_002,TESTCFC_003,CROSS_REFERENCES,"Red and blue cross-reference as primary colors"
TESTCFC_003,TESTCFC_002,CROSS_REFERENCES,"Blue and red cross-reference as primary colors"
TESTCFC_002,TESTCFC_004,CROSS_REFERENCES,"Red and yellow cross-reference as primary colors"
TESTCFC_004,TESTCFC_002,CROSS_REFERENCES,"Yellow and red cross-reference as primary colors"
TESTCFC_003,TESTCFC_004,CROSS_REFERENCES,"Blue and yellow cross-reference as primary colors"
TESTCFC_004,TESTCFC_003,CROSS_REFERENCES,"Yellow and blue cross-reference as primary colors"
TESTCFC_006,TESTCFC_007,CROSS_REFERENCES,"Orange and purple cross-reference as secondary colors"
TESTCFC_007,TESTCFC_006,CROSS_REFERENCES,"Purple and orange cross-reference as secondary colors"
TESTCFC_005,TESTCFC_006,CROSS_REFERENCES,"Green and orange cross-reference as secondary colors"
TESTCFC_006,TESTCFC_005,CROSS_REFERENCES,"Orange and green cross-reference as secondary colors"
TESTCFC_005,TESTCFC_007,CROSS_REFERENCES,"Green and purple cross-reference as secondary colors"
TESTCFC_007,TESTCFC_005,CROSS_REFERENCES,"Purple and green cross-reference as secondary colors"
TESTCFC_002,TESTCFC_003,CONCEPTUAL_CLUSTER,"Red and blue belong to primary colors cluster"
TESTCFC_002,TESTCFC_004,CONCEPTUAL_CLUSTER,"Red and yellow belong to primary colors cluster"
TESTCFC_003,TESTCFC_004,CONCEPTUAL_CLUSTER,"Blue and yellow belong to primary colors cluster"
TESTCFC_005,TESTCFC_006,CONCEPTUAL_CLUSTER,"Green and orange belong to secondary colors cluster"
TESTCFC_005,TESTCFC_007,CONCEPTUAL_CLUSTER,"Green and purple belong to secondary colors cluster"
TESTCFC_006,TESTCFC_007,CONCEPTUAL_CLUSTER,"Orange and purple belong to secondary colors cluster"
TESTCFC_008,TESTCFC_009,CONCEPTUAL_CLUSTER,"Black, white, brown and pink, gray belong to neutral colors cluster"
TESTCFC_010,TESTCFC_002,SYNTHESIZES,"Two-color animals and color mixing synthesizes understanding of red"
TESTCFC_010,TESTCFC_003,SYNTHESIZES,"Two-color animals and color mixing synthesizes understanding of blue"
TESTCFC_010,TESTCFC_004,SYNTHESIZES,"Two-color animals and color mixing synthesizes understanding of yellow"
TESTCFC_010,TESTCFC_005,SYNTHESIZES,"Two-color animals and color mixing synthesizes understanding of green"
TESTCFC_010,TESTCFC_006,SYNTHESIZES,"Two-color animals and color mixing synthesizes understanding of orange"
TESTCFC_010,TESTCFC_007,SYNTHESIZES,"Two-color animals and color mixing synthesizes understanding of purple"
TESTCFC_010,TESTCFC_008,SYNTHESIZES,"Two-color animals and color mixing synthesizes understanding of black and white"
TESTCFC_010,TESTCFC_001,SYNTHESIZES,"Two-color animals and color mixing synthesizes color matching and sorting skills"
TESTCFC_002,TESTCFC_001,SPECIALIZES,"Red in multiple contexts specializes general color matching ability"
TESTCFC_003,TESTCFC_001,SPECIALIZES,"Blue in multiple contexts specializes general color matching ability"
TESTCFC_004,TESTCFC_001,SPECIALIZES,"Yellow in multiple contexts specializes general color matching ability"
TESTCFC_005,TESTCFC_001,SPECIALIZES,"Green in nature and food specializes general color identification"
TESTCFC_006,TESTCFC_001,SPECIALIZES,"Orange in food and objects specializes general color identification"
TESTCFC_007,TESTCFC_001,SPECIALIZES,"Purple in food and objects specializes general color identification"
