:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
ddia_v1,Designing Data-Intensive Applications,Curriculum,,1.0.0,Navigate the fundamental principles of storing and processing data,,2026-01-06,2026-01-06,30,,
DDIA_001,Reliability in Data Systems,Concept,"Define reliability as the system continuing to work correctly even when faults occur, including hardware faults, software errors, and human errors;Distinguish between faults (component deviations from spec) and failures (system stops providing required service to users);Identify three main categories of faults: hardware faults, software errors, and human errors with examples of each;Explain how hardware faults can be addressed through redundancy and how cloud platforms use software fault-tolerance techniques;Describe systematic software errors as bugs that are harder to anticipate than random hardware faults and require different mitigation strategies;List approaches for minimizing human errors including good design, decoupling, thorough testing, quick recovery, detailed monitoring, and training;Given a fault scenario, propose appropriate mitigation strategies and explain how you would detect the fault in production;Explain fault injection and chaos testing as techniques for validating system reliability under adverse conditions;Describe graceful degradation as maintaining partial functionality when components fail rather than complete system failure",1.0.0,"Understanding reliability in data systems: Define reliability as the system continuing to work correctly even when faults occur, including hardware faults, software errors, and human errors",,2026-01-06,2026-01-06,,Foundational,
DDIA_002,Scalability and Performance,Concept,"Define scalability as a system ability to cope with increased load while maintaining acceptable performance;Identify load parameters as numbers describing system load such as requests per second, read-to-write ratio, cache hit rate, or concurrent users;Given a workload description, select 2-3 relevant load parameters and justify why they matter for that specific system;Distinguish between response time (what client sees) and latency (duration request waits to be handled);Explain why percentiles (p50, p95, p99) are better than averages for measuring response time and setting SLOs;Describe how queueing effects and head-of-line blocking contribute to tail latency in distributed systems;Compare scaling up (vertical scaling) and scaling out (horizontal scaling) with trade-offs for each approach;Explain elastic systems as automatically adding resources when load increases versus manual scaling with more predictable behavior;Given percentile targets for response time, propose architectural changes such as caching, batching, async processing, or partitioning and predict their impact;Describe capacity planning as estimating future resource needs based on growth projections and load parameters",1.0.0,Understanding scalability and performance: Define scalability as a system ability to cope with increased load while maintaining acceptable performance,,2026-01-06,2026-01-06,,Foundational,
DDIA_003,Maintainability and Operational Excellence,Concept,"Define maintainability as designing systems to minimize pain during maintenance by different people over time;Identify three key design principles for maintainability: operability, simplicity, and evolvability;Explain operability as making life easy for operations teams through good monitoring, automation, documentation, runbooks, and predictable behavior;Describe observability as the ability to understand system internal state from external outputs using logs, metrics, and traces;Define simplicity as managing complexity by removing accidental complexity while keeping essential complexity;Distinguish between accidental complexity (arising from implementation choices) and essential complexity (inherent in the problem domain);Explain that abstraction is a key tool for removing accidental complexity by hiding implementation details behind clean interfaces;Define evolvability as making it easy to adapt the system to changing requirements through modular design and loose coupling;Describe operational practices including incident response, on-call rotations, deployment strategies, and feature flags;Given a complex system design, identify sources of accidental complexity and propose simplifications through better abstractions",1.0.0,Understanding maintainability and operational excellence: Define maintainability as designing systems to minimize pain during maintenance by different people over time,,2026-01-06,2026-01-06,,Foundational,
DDIA_004,Data Model Selection and Trade-offs,Concept,"Describe the relational model as organizing data into relations (tables) where each relation is a collection of tuples (rows);Explain the object-relational mismatch as the impedance mismatch between object-oriented code and relational tables requiring translation layers;Identify that document databases like MongoDB and CouchDB store data in self-contained documents using JSON, XML, or binary variants;Explain that document models can reduce impedance mismatch by storing nested records within parent record without joins;Describe many-to-one relationships as multiple records referring to a single record, typically better handled by relational databases with joins;Explain that document databases make joins difficult or impossible, pushing join logic to application code;Compare schema-on-write (relational) where schema is explicit and enforced on write versus schema-on-read (document) where schema is implicit and interpreted on read;Given an example domain such as e-commerce or social network, choose between relational, document, or graph model and justify based on access patterns and data relationships;Identify that document databases work well for data with document-like structure, one-to-many relationships, and few relationships between documents;Recognize that relational databases work better for many-to-many relationships, complex interconnected data, and strong consistency requirements",1.0.0,Understanding data model selection and trade-offs: Describe the relational model as organizing data into relations (tables) where each relation is a collection of tuples (rows),,2026-01-06,2026-01-06,,Foundational,
DDIA_005,Query Language Paradigms,Concept,"Define declarative query languages as specifying the pattern of desired results without specifying how to achieve the goal;Define imperative query languages as specifying operations in a particular order to achieve results;Identify SQL as a declarative query language where you specify conditions for results and the database engine determines execution plan;Explain that declarative languages hide implementation details, allowing database engine to optimize without changing queries;Describe how declarative languages are more amenable to parallel execution than imperative code because they do not specify order;Recognize CSS and XSL as declarative languages for styling web pages that specify what the result should look like;Explain MapReduce as a programming model for batch processing across many machines using map and reduce functions;Identify that MapReduce is neither fully declarative nor fully imperative but somewhere in between with restricted operations",1.0.0,Understanding query language paradigms: Define declarative query languages as specifying the pattern of desired results without specifying how to achieve the goal,,2026-01-06,2026-01-06,,Foundational,
DDIA_006,Graph Data Models,Concept,"Identify graph models as appropriate when many-to-many relationships are very common and connections between data are as important as the data itself;Describe a property graph model as consisting of vertices (nodes) and edges (relationships) where both can have properties;Explain that in property graphs, any vertex can have an edge connecting it to any other vertex with no schema restrictions;Describe Cypher as a declarative query language for property graphs, created for Neo4j database;Explain triple-stores as storing data in three-part statements: subject, predicate, object forming a graph structure;Identify SPARQL as a query language for triple-stores using RDF data model for semantic web applications;Describe Datalog as a foundation for query languages using predicates and rules for recursive queries;Recognize that graph databases are useful for evolvability when application requirements change and new relationships need to be added",1.0.0,Understanding graph data models: Identify graph models as appropriate when many-to-many relationships are very common and connections between data are as important as the data itself,,2026-01-06,2026-01-06,,Foundational,
DDIA_007,Log-Structured Storage Engines,Concept,"Define a log as an append-only sequence of records that forms the basis for many storage systems;Explain hash indexes as in-memory hash maps where keys map to byte offsets in data file for fast lookups;Describe compaction as throwing away duplicate keys in log segments and keeping only the most recent update for each key;Identify SSTables (Sorted String Tables) as log segments where key-value pairs are sorted by key enabling efficient operations;Explain that SSTables enable efficient merging using mergesort algorithm to combine multiple sorted segments;Describe LSM-Trees (Log-Structured Merge-Trees) as storage engines using SSTables and memtables for write-optimized storage;Explain that writes go to an in-memory memtable which is written to disk as SSTable when it gets too big;Identify that LSM-Trees optimize for write throughput by turning random writes into sequential writes on disk;Describe bloom filters as space-efficient data structures for testing whether an element is in a set, used to avoid unnecessary disk reads;Explain read amplification, write amplification, and space amplification as trade-offs in storage engine design",1.0.0,Understanding log-structured storage engines: Define a log as an append-only sequence of records that forms the basis for many storage systems,,2026-01-06,2026-01-06,,Foundational,
DDIA_008,B-Tree Storage Engines,Concept,"Describe B-Trees as breaking database into fixed-size blocks or pages, traditionally 4KB in size, organized in a tree structure;Explain that B-Trees organize pages in a tree structure where each page contains keys and references to child pages;Identify that B-Trees have a branching factor, typically several hundred, determining number of references per page;Explain that B-Trees update pages in place, overwriting pages on disk rather than appending like log-structured storage;Describe write-ahead log (WAL) as an append-only file for crash recovery in B-Trees, ensuring durability before page updates;Explain fsync semantics and durability guarantees including the trade-off between performance and data safety;Identify that B-Trees are optimized for read performance and are the most widely used indexing structure in relational databases;Compare LSM-Trees as typically faster for writes while B-Trees are faster for reads due to not needing to check multiple segments;Explain that LSM-Trees can be compressed better and often have lower write amplification than B-Trees;Describe page-level compression techniques in B-Trees including prefix compression and dictionary encoding",1.0.0,"Understanding b-tree storage engines: Describe B-Trees as breaking database into fixed-size blocks or pages, traditionally 4KB in size, organized in a tree structure",,2026-01-06,2026-01-06,,Foundational,
DDIA_009,Secondary Indexes and Multi-Column Access,Concept,"Define secondary indexes as additional data structures that allow efficient lookups by columns other than the primary key;Explain that secondary indexes do not uniquely identify a record and may point to multiple matching records;Describe B-Tree secondary indexes as maintaining a separate B-Tree for each indexed column with pointers to primary data;Explain inverted indexes as mapping from terms to documents containing those terms, commonly used for full-text search;Describe multi-column indexes including concatenated indexes and multi-dimensional indexes for geospatial data;Identify trade-offs of secondary indexes including storage overhead and write performance impact;Explain covering indexes as including additional columns in the index to avoid accessing the main table;Describe how secondary indexes interact with different storage engines including B-Trees and LSM-Trees",1.0.0,Understanding secondary indexes and multi-column access: Define secondary indexes as additional data structures that allow efficient lookups by columns other than the primary key,,2026-01-06,2026-01-06,,Intermediate,
