:START_ID,:END_ID,:TYPE
MLF_001,machine_learning_insights,ALLOWS_UNDERSTANDING_OF
MLF_001_SC01,MLF_001,ALLOWS_UNDERSTANDING_OF
MLF_001_SC01_D01,MLF_001_SC01,ALLOWS_UNDERSTANDING_OF
MLF_001_SC01_D02,MLF_001_SC01,ALLOWS_UNDERSTANDING_OF
MLF_001_SC01_D03,MLF_001_SC01,ALLOWS_UNDERSTANDING_OF
MLF_001_SC01_D04,MLF_001_SC01,ALLOWS_UNDERSTANDING_OF
MLF_001_SC01_D05,MLF_001_SC01,ALLOWS_UNDERSTANDING_OF
MLF_001_SC02,MLF_001,ALLOWS_UNDERSTANDING_OF
MLF_001_SC02_D01,MLF_001_SC02,ALLOWS_UNDERSTANDING_OF
MLF_001_SC02_D02,MLF_001_SC02,ALLOWS_UNDERSTANDING_OF
MLF_001_SC02_D03,MLF_001_SC02,ALLOWS_UNDERSTANDING_OF
MLF_001_SC02_D04,MLF_001_SC02,ALLOWS_UNDERSTANDING_OF
MLF_001_SC02_D05,MLF_001_SC02,ALLOWS_UNDERSTANDING_OF
MLF_001_SC03,MLF_001,ALLOWS_UNDERSTANDING_OF
MLF_001_SC03_D01,MLF_001_SC03,ALLOWS_UNDERSTANDING_OF
MLF_001_SC03_D02,MLF_001_SC03,ALLOWS_UNDERSTANDING_OF
MLF_001_SC03_D03,MLF_001_SC03,ALLOWS_UNDERSTANDING_OF
MLF_001_SC03_D04,MLF_001_SC03,ALLOWS_UNDERSTANDING_OF
MLF_001_SC03_D05,MLF_001_SC03,ALLOWS_UNDERSTANDING_OF
MLF_001_SC04,MLF_001,ALLOWS_UNDERSTANDING_OF
MLF_001_SC04_D01,MLF_001_SC04,ALLOWS_UNDERSTANDING_OF
MLF_001_SC04_D02,MLF_001_SC04,ALLOWS_UNDERSTANDING_OF
MLF_001_SC04_D03,MLF_001_SC04,ALLOWS_UNDERSTANDING_OF
MLF_001_SC04_D04,MLF_001_SC04,ALLOWS_UNDERSTANDING_OF
MLF_001_SC04_D05,MLF_001_SC04,ALLOWS_UNDERSTANDING_OF
MLF_001_SC05,MLF_001,ALLOWS_UNDERSTANDING_OF
MLF_001_SC05_D01,MLF_001_SC05,ALLOWS_UNDERSTANDING_OF
MLF_001_SC05_D02,MLF_001_SC05,ALLOWS_UNDERSTANDING_OF
MLF_001_SC05_D03,MLF_001_SC05,ALLOWS_UNDERSTANDING_OF
MLF_001_SC05_D04,MLF_001_SC05,ALLOWS_UNDERSTANDING_OF
MLF_001_SC05_D05,MLF_001_SC05,ALLOWS_UNDERSTANDING_OF
MLC_002,machine_learning_insights,ALLOWS_UNDERSTANDING_OF
MLC_002_SC01,MLC_002,ALLOWS_UNDERSTANDING_OF
MLC_002_SC01_D01,MLC_002_SC01,ALLOWS_UNDERSTANDING_OF
MLC_002_SC01_D02,MLC_002_SC01,ALLOWS_UNDERSTANDING_OF
MLC_002_SC01_D03,MLC_002_SC01,ALLOWS_UNDERSTANDING_OF
MLC_002_SC01_D04,MLC_002_SC01,ALLOWS_UNDERSTANDING_OF
MLC_002_SC02,MLC_002,ALLOWS_UNDERSTANDING_OF
MLC_002_SC02_D01,MLC_002_SC02,ALLOWS_UNDERSTANDING_OF
MLC_002_SC02_D02,MLC_002_SC02,ALLOWS_UNDERSTANDING_OF
MLC_002_SC02_D03,MLC_002_SC02,ALLOWS_UNDERSTANDING_OF
MLC_002_SC02_D04,MLC_002_SC02,ALLOWS_UNDERSTANDING_OF
MLC_002_SC03,MLC_002,ALLOWS_UNDERSTANDING_OF
MLC_002_SC03_D01,MLC_002_SC03,ALLOWS_UNDERSTANDING_OF
MLC_002_SC03_D02,MLC_002_SC03,ALLOWS_UNDERSTANDING_OF
MLC_002_SC03_D03,MLC_002_SC03,ALLOWS_UNDERSTANDING_OF
MLC_002_SC04,MLC_002,ALLOWS_UNDERSTANDING_OF
MLC_002_SC04_D01,MLC_002_SC04,ALLOWS_UNDERSTANDING_OF
MLC_002_SC04_D02,MLC_002_SC04,ALLOWS_UNDERSTANDING_OF
MLC_002_SC04_D03,MLC_002_SC04,ALLOWS_UNDERSTANDING_OF
MLC_002_SC04_D04,MLC_002_SC04,ALLOWS_UNDERSTANDING_OF
MLC_002_SC05,MLC_002,ALLOWS_UNDERSTANDING_OF
MLC_002_SC05_D01,MLC_002_SC05,ALLOWS_UNDERSTANDING_OF
MLC_002_SC05_D02,MLC_002_SC05,ALLOWS_UNDERSTANDING_OF
MLC_002_SC05_D03,MLC_002_SC05,ALLOWS_UNDERSTANDING_OF
MLC_002_SC05_D04,MLC_002_SC05,ALLOWS_UNDERSTANDING_OF
MLD_003,machine_learning_insights,ALLOWS_UNDERSTANDING_OF
MLD_003_SC01,MLD_003,ALLOWS_UNDERSTANDING_OF
MLD_003_SC01_D01,MLD_003_SC01,ALLOWS_UNDERSTANDING_OF
MLD_003_SC01_D02,MLD_003_SC01,ALLOWS_UNDERSTANDING_OF
MLD_003_SC01_D03,MLD_003_SC01,ALLOWS_UNDERSTANDING_OF
MLD_003_SC01_D04,MLD_003_SC01,ALLOWS_UNDERSTANDING_OF
MLD_003_SC02,MLD_003,ALLOWS_UNDERSTANDING_OF
MLD_003_SC02_D01,MLD_003_SC02,ALLOWS_UNDERSTANDING_OF
MLD_003_SC02_D02,MLD_003_SC02,ALLOWS_UNDERSTANDING_OF
MLD_003_SC02_D03,MLD_003_SC02,ALLOWS_UNDERSTANDING_OF
MLD_003_SC03,MLD_003,ALLOWS_UNDERSTANDING_OF
MLD_003_SC03_D01,MLD_003_SC03,ALLOWS_UNDERSTANDING_OF
MLD_003_SC03_D02,MLD_003_SC03,ALLOWS_UNDERSTANDING_OF
MLD_003_SC03_D03,MLD_003_SC03,ALLOWS_UNDERSTANDING_OF
MLD_003_SC03_D04,MLD_003_SC03,ALLOWS_UNDERSTANDING_OF
MLD_003_SC04,MLD_003,ALLOWS_UNDERSTANDING_OF
MLD_003_SC04_D01,MLD_003_SC04,ALLOWS_UNDERSTANDING_OF
MLD_003_SC04_D02,MLD_003_SC04,ALLOWS_UNDERSTANDING_OF
MLD_003_SC04_D03,MLD_003_SC04,ALLOWS_UNDERSTANDING_OF
MLD_003_SC05,MLD_003,ALLOWS_UNDERSTANDING_OF
MLD_003_SC05_D01,MLD_003_SC05,ALLOWS_UNDERSTANDING_OF
MLD_003_SC05_D02,MLD_003_SC05,ALLOWS_UNDERSTANDING_OF
MLD_003_SC05_D03,MLD_003_SC05,ALLOWS_UNDERSTANDING_OF
MLD_003_SC05_D04,MLD_003_SC05,ALLOWS_UNDERSTANDING_OF
MLM_004,machine_learning_insights,ALLOWS_UNDERSTANDING_OF
MLM_004_SC01,MLM_004,ALLOWS_UNDERSTANDING_OF
MLM_004_SC01_D01,MLM_004_SC01,ALLOWS_UNDERSTANDING_OF
MLM_004_SC01_D02,MLM_004_SC01,ALLOWS_UNDERSTANDING_OF
MLM_004_SC01_D03,MLM_004_SC01,ALLOWS_UNDERSTANDING_OF
MLM_004_SC02,MLM_004,ALLOWS_UNDERSTANDING_OF
MLM_004_SC02_D01,MLM_004_SC02,ALLOWS_UNDERSTANDING_OF
MLM_004_SC02_D02,MLM_004_SC02,ALLOWS_UNDERSTANDING_OF
MLM_004_SC02_D03,MLM_004_SC02,ALLOWS_UNDERSTANDING_OF
MLM_004_SC03,MLM_004,ALLOWS_UNDERSTANDING_OF
MLM_004_SC03_D01,MLM_004_SC03,ALLOWS_UNDERSTANDING_OF
MLM_004_SC03_D02,MLM_004_SC03,ALLOWS_UNDERSTANDING_OF
MLM_004_SC03_D03,MLM_004_SC03,ALLOWS_UNDERSTANDING_OF
MLM_004_SC03_D04,MLM_004_SC03,ALLOWS_UNDERSTANDING_OF
MLB_005,machine_learning_insights,ALLOWS_UNDERSTANDING_OF
MLB_005_SC01,MLB_005,ALLOWS_UNDERSTANDING_OF
MLB_005_SC01_D01,MLB_005_SC01,ALLOWS_UNDERSTANDING_OF
MLB_005_SC01_D02,MLB_005_SC01,ALLOWS_UNDERSTANDING_OF
MLB_005_SC01_D03,MLB_005_SC01,ALLOWS_UNDERSTANDING_OF
MLB_005_SC02,MLB_005,ALLOWS_UNDERSTANDING_OF
MLB_005_SC02_D01,MLB_005_SC02,ALLOWS_UNDERSTANDING_OF
MLB_005_SC02_D02,MLB_005_SC02,ALLOWS_UNDERSTANDING_OF
MLB_005_SC02_D03,MLB_005_SC02,ALLOWS_UNDERSTANDING_OF
MLB_005_SC03,MLB_005,ALLOWS_UNDERSTANDING_OF
MLB_005_SC03_D01,MLB_005_SC03,ALLOWS_UNDERSTANDING_OF
MLB_005_SC03_D02,MLB_005_SC03,ALLOWS_UNDERSTANDING_OF
MLB_005_SC03_D03,MLB_005_SC03,ALLOWS_UNDERSTANDING_OF
MLN_006,machine_learning_insights,ALLOWS_UNDERSTANDING_OF
MLN_006_SC01,MLN_006,ALLOWS_UNDERSTANDING_OF
MLN_006_SC01_D01,MLN_006_SC01,ALLOWS_UNDERSTANDING_OF
MLN_006_SC01_D02,MLN_006_SC01,ALLOWS_UNDERSTANDING_OF
MLN_006_SC01_D03,MLN_006_SC01,ALLOWS_UNDERSTANDING_OF
MLN_006_SC01_D04,MLN_006_SC01,ALLOWS_UNDERSTANDING_OF
MLN_006_SC02,MLN_006,ALLOWS_UNDERSTANDING_OF
MLN_006_SC02_D01,MLN_006_SC02,ALLOWS_UNDERSTANDING_OF
MLN_006_SC02_D02,MLN_006_SC02,ALLOWS_UNDERSTANDING_OF
MLN_006_SC02_D03,MLN_006_SC02,ALLOWS_UNDERSTANDING_OF
MLN_006_SC03,MLN_006,ALLOWS_UNDERSTANDING_OF
MLN_006_SC03_D01,MLN_006_SC03,ALLOWS_UNDERSTANDING_OF
MLN_006_SC03_D02,MLN_006_SC03,ALLOWS_UNDERSTANDING_OF
MLN_006_SC03_D03,MLN_006_SC03,ALLOWS_UNDERSTANDING_OF
MLP_007,machine_learning_insights,ALLOWS_UNDERSTANDING_OF
MLP_007_SC01,MLP_007,ALLOWS_UNDERSTANDING_OF
MLP_007_SC01_D01,MLP_007_SC01,ALLOWS_UNDERSTANDING_OF
MLP_007_SC01_D02,MLP_007_SC01,ALLOWS_UNDERSTANDING_OF
MLP_007_SC01_D03,MLP_007_SC01,ALLOWS_UNDERSTANDING_OF
MLP_007_SC01_D04,MLP_007_SC01,ALLOWS_UNDERSTANDING_OF
MLP_007_SC02,MLP_007,ALLOWS_UNDERSTANDING_OF
MLP_007_SC02_D01,MLP_007_SC02,ALLOWS_UNDERSTANDING_OF
MLP_007_SC02_D02,MLP_007_SC02,ALLOWS_UNDERSTANDING_OF
MLP_007_SC02_D03,MLP_007_SC02,ALLOWS_UNDERSTANDING_OF
MLH_008,machine_learning_insights,ALLOWS_UNDERSTANDING_OF
MLH_008_SC01,MLH_008,ALLOWS_UNDERSTANDING_OF
MLH_008_SC01_D01,MLH_008_SC01,ALLOWS_UNDERSTANDING_OF
MLH_008_SC01_D02,MLH_008_SC01,ALLOWS_UNDERSTANDING_OF
MLH_008_SC01_D03,MLH_008_SC01,ALLOWS_UNDERSTANDING_OF
MLH_008_SC02,MLH_008,ALLOWS_UNDERSTANDING_OF
MLH_008_SC02_D01,MLH_008_SC02,ALLOWS_UNDERSTANDING_OF
MLH_008_SC02_D02,MLH_008_SC02,ALLOWS_UNDERSTANDING_OF
MLH_008_SC02_D03,MLH_008_SC02,ALLOWS_UNDERSTANDING_OF
MLH_008_SC03,MLH_008,ALLOWS_UNDERSTANDING_OF
MLH_008_SC03_D01,MLH_008_SC03,ALLOWS_UNDERSTANDING_OF
MLH_008_SC03_D02,MLH_008_SC03,ALLOWS_UNDERSTANDING_OF
MLH_008_SC03_D03,MLH_008_SC03,ALLOWS_UNDERSTANDING_OF
MLO_009,machine_learning_insights,ALLOWS_UNDERSTANDING_OF
MLO_009_SC01,MLO_009,ALLOWS_UNDERSTANDING_OF
MLO_009_SC01_D01,MLO_009_SC01,ALLOWS_UNDERSTANDING_OF
MLO_009_SC01_D02,MLO_009_SC01,ALLOWS_UNDERSTANDING_OF
MLO_009_SC01_D03,MLO_009_SC01,ALLOWS_UNDERSTANDING_OF
MLO_009_SC02,MLO_009,ALLOWS_UNDERSTANDING_OF
MLO_009_SC02_D01,MLO_009_SC02,ALLOWS_UNDERSTANDING_OF
MLO_009_SC02_D02,MLO_009_SC02,ALLOWS_UNDERSTANDING_OF
MLO_009_SC02_D03,MLO_009_SC02,ALLOWS_UNDERSTANDING_OF
MLO_009_SC03,MLO_009,ALLOWS_UNDERSTANDING_OF
MLO_009_SC03_D01,MLO_009_SC03,ALLOWS_UNDERSTANDING_OF
MLO_009_SC03_D02,MLO_009_SC03,ALLOWS_UNDERSTANDING_OF
MLO_009_SC03_D03,MLO_009_SC03,ALLOWS_UNDERSTANDING_OF
MLW_010,machine_learning_insights,ALLOWS_UNDERSTANDING_OF
MLW_010_SC01,MLW_010,ALLOWS_UNDERSTANDING_OF
MLW_010_SC01_D01,MLW_010_SC01,ALLOWS_UNDERSTANDING_OF
MLW_010_SC01_D02,MLW_010_SC01,ALLOWS_UNDERSTANDING_OF
MLW_010_SC01_D03,MLW_010_SC01,ALLOWS_UNDERSTANDING_OF
MLW_010_SC01_D04,MLW_010_SC01,ALLOWS_UNDERSTANDING_OF
MLW_010_SC02,MLW_010,ALLOWS_UNDERSTANDING_OF
MLW_010_SC02_D01,MLW_010_SC02,ALLOWS_UNDERSTANDING_OF
MLW_010_SC02_D02,MLW_010_SC02,ALLOWS_UNDERSTANDING_OF
MLW_010_SC02_D03,MLW_010_SC02,ALLOWS_UNDERSTANDING_OF
MLW_010_SC02_D04,MLW_010_SC02,ALLOWS_UNDERSTANDING_OF
MLW_010_SC03,MLW_010,ALLOWS_UNDERSTANDING_OF
MLW_010_SC03_D01,MLW_010_SC03,ALLOWS_UNDERSTANDING_OF
MLW_010_SC03_D02,MLW_010_SC03,ALLOWS_UNDERSTANDING_OF
MLW_010_SC03_D03,MLW_010_SC03,ALLOWS_UNDERSTANDING_OF
MLW_010_SC03_D04,MLW_010_SC03,ALLOWS_UNDERSTANDING_OF
MLF_001,MLC_002,PREREQUISITE
MLF_001,MLD_003,PREREQUISITE
MLF_001,MLM_004,PREREQUISITE
MLF_001,MLB_005,PREREQUISITE
MLF_001,MLN_006,PREREQUISITE
MLF_001,MLP_007,PREREQUISITE
MLF_001,MLH_008,PREREQUISITE
MLF_001,MLO_009,PREREQUISITE
MLF_001,MLW_010,PREREQUISITE
MLC_002,MLN_006,PREREQUISITE
MLC_002,MLO_009,PREREQUISITE
MLD_003,MLM_004,PREREQUISITE
MLD_003,MLP_007,PREREQUISITE
MLM_004,MLB_005,PREREQUISITE
MLM_004,MLP_007,PREREQUISITE
MLB_005,MLH_008,PREREQUISITE
MLP_007,MLH_008,PREREQUISITE
MLC_002,MLW_010,PREREQUISITE
MLD_003,MLW_010,PREREQUISITE
MLM_004,MLW_010,PREREQUISITE
MLB_005,MLW_010,PREREQUISITE
MLN_006,MLW_010,PREREQUISITE
MLP_007,MLW_010,PREREQUISITE
MLH_008,MLW_010,PREREQUISITE
MLO_009,MLW_010,PREREQUISITE
MLF_001,MLN_006,CROSS_REFERENCES
MLC_002,MLN_006,CROSS_REFERENCES
MLO_009,MLB_005,CROSS_REFERENCES
MLM_004,MLP_007,CROSS_REFERENCES
MLH_008,MLM_004,CROSS_REFERENCES
MLH_008,MLP_007,CROSS_REFERENCES
MLH_008,MLB_005,CROSS_REFERENCES
MLM_004,MLH_008,APPLIES_TO
MLP_007,MLH_008,APPLIES_TO
MLB_005,MLH_008,APPLIES_TO
MLD_003,MLH_008,APPLIES_TO
MLF_001,MLW_010,APPLIES_TO
MLC_002,MLW_010,APPLIES_TO
MLD_003,MLW_010,APPLIES_TO
MLM_004,MLW_010,APPLIES_TO
MLB_005,MLW_010,APPLIES_TO
MLN_006,MLW_010,APPLIES_TO
MLP_007,MLW_010,APPLIES_TO
MLH_008,MLW_010,APPLIES_TO
MLO_009,MLW_010,APPLIES_TO
MLF_001,MLC_002,CONCEPTUAL_CLUSTER
MLF_001,MLN_006,CONCEPTUAL_CLUSTER
MLC_002,MLN_006,CONCEPTUAL_CLUSTER
MLD_003,MLM_004,CONCEPTUAL_CLUSTER
MLD_003,MLP_007,CONCEPTUAL_CLUSTER
MLM_004,MLP_007,CONCEPTUAL_CLUSTER
MLB_005,MLP_007,CONCEPTUAL_CLUSTER
MLO_009,MLH_008,CONCEPTUAL_CLUSTER
MLO_009,MLW_010,CONCEPTUAL_CLUSTER
MLH_008,MLW_010,CONCEPTUAL_CLUSTER
MLF_001,MLC_002,DIFFICULTY_PROGRESSION
MLF_001,MLD_003,DIFFICULTY_PROGRESSION
MLC_002,MLM_004,DIFFICULTY_PROGRESSION
MLD_003,MLM_004,DIFFICULTY_PROGRESSION
MLC_002,MLB_005,DIFFICULTY_PROGRESSION
MLD_003,MLB_005,DIFFICULTY_PROGRESSION
MLC_002,MLN_006,DIFFICULTY_PROGRESSION
MLD_003,MLN_006,DIFFICULTY_PROGRESSION
MLC_002,MLP_007,DIFFICULTY_PROGRESSION
MLD_003,MLP_007,DIFFICULTY_PROGRESSION
MLM_004,MLH_008,DIFFICULTY_PROGRESSION
MLB_005,MLH_008,DIFFICULTY_PROGRESSION
MLN_006,MLH_008,DIFFICULTY_PROGRESSION
MLP_007,MLH_008,DIFFICULTY_PROGRESSION
MLM_004,MLO_009,DIFFICULTY_PROGRESSION
MLB_005,MLO_009,DIFFICULTY_PROGRESSION
MLN_006,MLO_009,DIFFICULTY_PROGRESSION
MLP_007,MLO_009,DIFFICULTY_PROGRESSION
MLM_004,MLW_010,DIFFICULTY_PROGRESSION
MLB_005,MLW_010,DIFFICULTY_PROGRESSION
MLN_006,MLW_010,DIFFICULTY_PROGRESSION
MLP_007,MLW_010,DIFFICULTY_PROGRESSION
MLH_008,MLW_010,DIFFICULTY_PROGRESSION
MLO_009,MLW_010,DIFFICULTY_PROGRESSION
MLW_010,MLF_001,SYNTHESIZES
MLW_010,MLC_002,SYNTHESIZES
MLW_010,MLD_003,SYNTHESIZES
MLW_010,MLM_004,SYNTHESIZES
MLW_010,MLB_005,SYNTHESIZES
MLW_010,MLN_006,SYNTHESIZES
MLW_010,MLP_007,SYNTHESIZES
MLW_010,MLH_008,SYNTHESIZS
MLW_010,MLO_009,SYNTHESIZES
MLH_008,MLM_004,SYNTHESIZES
MLH_008,MLP_007,SYNTHESIZES
MLH_008,MLB_005,SYNTHESIZES
MLH_008,MLD_003,SYNTHESIZES
MLN_006,MLC_002,SPECIALIZES
MLH_008,MLF_001,SPECIALIZES
