:START_ID,:END_ID,:TYPE,description:string
kg_002,KG02_001,CONTAINS,"Knowledge Graphs curriculum contains Fundamentals of Knowledge Graphs"
kg_002,KG02_002,CONTAINS,"Knowledge Graphs curriculum contains Data Graph Models"
kg_002,KG02_003,CONTAINS,"Knowledge Graphs curriculum contains RDF and Triple Stores"
kg_002,KG02_004,CONTAINS,"Knowledge Graphs curriculum contains SPARQL Query Language"
kg_002,KG02_005,CONTAINS,"Knowledge Graphs curriculum contains Knowledge Graph Construction from Structured Sources"
kg_002,KG02_006,CONTAINS,"Knowledge Graphs curriculum contains Identity and Entity Management"
kg_002,KG02_007,CONTAINS,"Knowledge Graphs curriculum contains Schema and Validation"
kg_002,KG02_008,CONTAINS,"Knowledge Graphs curriculum contains Context and Provenance Representation"
kg_002,KG02_009,CONTAINS,"Knowledge Graphs curriculum contains Ontology Modeling with RDFS and OWL"
kg_002,KG02_010,CONTAINS,"Knowledge Graphs curriculum contains Reasoning and Entailment"
kg_002,KG02_011,CONTAINS,"Knowledge Graphs curriculum contains Knowledge Graph Construction from Text"
kg_002,KG02_012,CONTAINS,"Knowledge Graphs curriculum contains Knowledge Graph Quality Assessment"
kg_002,KG02_013,CONTAINS,"Knowledge Graphs curriculum contains Knowledge Graph Refinement and Completion"
kg_002,KG02_014,CONTAINS,"Knowledge Graphs curriculum contains Knowledge Graph Embeddings"
kg_002,KG02_015,CONTAINS,"Knowledge Graphs curriculum contains Graph Neural Networks for Knowledge Graphs"
kg_002,KG02_016,CONTAINS,"Knowledge Graphs curriculum contains Knowledge Graph Publication and Access"
kg_002,KG02_017,CONTAINS,"Knowledge Graphs curriculum contains Knowledge Graph Lifecycle and Architecture"
kg_002,KG02_018,CONTAINS,"Knowledge Graphs curriculum contains Ontology Alignment and Schema Mapping"
kg_002,KG02_019,CONTAINS,"Knowledge Graphs curriculum contains Performance, Scalability, and Operations"
kg_002,KG02_020,CONTAINS,"Knowledge Graphs curriculum contains Governance, Security, and Interoperability"
KG02_001,KG02_002,PREREQUISITE,"Understanding knowledge graph fundamentals is prerequisite for learning data graph models"
KG02_001,KG02_003,PREREQUISITE,"Understanding knowledge graph fundamentals is prerequisite for learning RDF and triple stores"
KG02_002,KG02_005,PREREQUISITE,"Understanding data graph models is prerequisite for constructing knowledge graphs from structured sources"
KG02_003,KG02_004,PREREQUISITE,"Understanding RDF and triple stores is prerequisite for learning SPARQL query language"
KG02_003,KG02_006,PREREQUISITE,"Understanding RDF and triple stores is prerequisite for identity and entity management"
KG02_003,KG02_007,PREREQUISITE,"Understanding RDF and triple stores is prerequisite for schema and validation"
KG02_003,KG02_008,PREREQUISITE,"Understanding RDF and triple stores is prerequisite for context and provenance representation"
KG02_004,KG02_010,PREREQUISITE,"Understanding SPARQL query language is prerequisite for reasoning and entailment"
KG02_006,KG02_005,PREREQUISITE,"Understanding identity and entity management is prerequisite for knowledge graph construction from structured sources"
KG02_007,KG02_009,PREREQUISITE,"Understanding schema and validation is prerequisite for ontology modeling with RDFS and OWL"
KG02_009,KG02_010,PREREQUISITE,"Understanding ontology modeling is prerequisite for reasoning and entailment"
KG02_001,KG02_011,PREREQUISITE,"Understanding knowledge graph fundamentals is prerequisite for knowledge graph construction from text"
KG02_006,KG02_011,PREREQUISITE,"Understanding identity and entity management is prerequisite for knowledge graph construction from text"
KG02_005,KG02_012,PREREQUISITE,"Understanding knowledge graph construction is prerequisite for quality assessment"
KG02_012,KG02_013,PREREQUISITE,"Understanding quality assessment is prerequisite for knowledge graph refinement and completion"
KG02_002,KG02_014,PREREQUISITE,"Understanding data graph models is prerequisite for knowledge graph embeddings"
KG02_014,KG02_015,PREREQUISITE,"Understanding knowledge graph embeddings is prerequisite for graph neural networks"
KG02_003,KG02_016,PREREQUISITE,"Understanding RDF and triple stores is prerequisite for knowledge graph publication and access"
KG02_005,KG02_017,PREREQUISITE,"Understanding knowledge graph construction is prerequisite for lifecycle and architecture"
KG02_009,KG02_018,PREREQUISITE,"Understanding ontology modeling is prerequisite for ontology alignment and schema mapping"
KG02_004,KG02_019,PREREQUISITE,"Understanding SPARQL query language is prerequisite for performance and scalability"
KG02_016,KG02_020,PREREQUISITE,"Understanding publication and access is prerequisite for governance, security, and interoperability"
KG02_001,KG02_017,PREREQUISITE,"Understanding knowledge graph fundamentals is prerequisite for lifecycle and architecture"
KG02_001,KG02_002,DIFFICULTY_PROGRESSION,"Fundamentals progresses to data graph models in difficulty"
KG02_002,KG02_003,DIFFICULTY_PROGRESSION,"Data graph models progresses to RDF and triple stores in difficulty"
KG02_003,KG02_004,DIFFICULTY_PROGRESSION,"RDF and triple stores progresses to SPARQL query language in difficulty"
KG02_004,KG02_010,DIFFICULTY_PROGRESSION,"SPARQL query language progresses to reasoning and entailment in difficulty"
KG02_005,KG02_011,DIFFICULTY_PROGRESSION,"Construction from structured sources progresses to construction from text in difficulty"
KG02_011,KG02_012,DIFFICULTY_PROGRESSION,"Construction from text progresses to quality assessment in difficulty"
KG02_012,KG02_013,DIFFICULTY_PROGRESSION,"Quality assessment progresses to refinement and completion in difficulty"
KG02_013,KG02_014,DIFFICULTY_PROGRESSION,"Refinement and completion progresses to knowledge graph embeddings in difficulty"
KG02_014,KG02_015,DIFFICULTY_PROGRESSION,"Knowledge graph embeddings progresses to graph neural networks in difficulty"
KG02_007,KG02_009,DIFFICULTY_PROGRESSION,"Schema and validation progresses to ontology modeling in difficulty"
KG02_009,KG02_018,DIFFICULTY_PROGRESSION,"Ontology modeling progresses to ontology alignment in difficulty"
KG02_016,KG02_020,DIFFICULTY_PROGRESSION,"Publication and access progresses to governance and security in difficulty"
KG02_001,KG02_005,ALLOWS_UNDERSTANDING_OF,"Understanding fundamentals allows understanding of knowledge graph construction"
KG02_001,KG02_006,ALLOWS_UNDERSTANDING_OF,"Understanding fundamentals allows understanding of identity and entity management"
KG02_002,KG02_008,ALLOWS_UNDERSTANDING_OF,"Understanding data graph models allows understanding of context and provenance representation"
KG02_007,KG02_012,ALLOWS_UNDERSTANDING_OF,"Understanding schema and validation allows understanding of quality assessment"
KG02_010,KG02_013,ALLOWS_UNDERSTANDING_OF,"Understanding reasoning and entailment allows understanding of refinement and completion"
KG02_002,KG02_015,ALLOWS_UNDERSTANDING_OF,"Understanding data graph models allows understanding of graph neural networks"
KG02_007,KG02_018,ALLOWS_UNDERSTANDING_OF,"Understanding schema and validation allows understanding of ontology alignment"
KG02_004,KG02_017,ALLOWS_UNDERSTANDING_OF,"Understanding SPARQL allows understanding of lifecycle and architecture"
KG02_010,KG02_019,ALLOWS_UNDERSTANDING_OF,"Understanding reasoning and entailment allows understanding of performance and scalability"
KG02_012,KG02_017,ALLOWS_UNDERSTANDING_OF,"Understanding quality assessment allows understanding of lifecycle and architecture"
KG02_002,KG02_003,CROSS_REFERENCES,"Data graph models cross-references RDF and triple stores"
KG02_003,KG02_002,CROSS_REFERENCES,"RDF and triple stores cross-references data graph models"
KG02_005,KG02_011,CROSS_REFERENCES,"Construction from structured sources cross-references construction from text"
KG02_011,KG02_005,CROSS_REFERENCES,"Construction from text cross-references construction from structured sources"
KG02_007,KG02_009,CROSS_REFERENCES,"Schema and validation cross-references ontology modeling"
KG02_009,KG02_007,CROSS_REFERENCES,"Ontology modeling cross-references schema and validation"
KG02_014,KG02_015,CROSS_REFERENCES,"Knowledge graph embeddings cross-references graph neural networks"
KG02_015,KG02_014,CROSS_REFERENCES,"Graph neural networks cross-references knowledge graph embeddings"
KG02_012,KG02_013,CROSS_REFERENCES,"Quality assessment cross-references refinement and completion"
KG02_013,KG02_012,CROSS_REFERENCES,"Refinement and completion cross-references quality assessment"
KG02_016,KG02_020,CROSS_REFERENCES,"Publication and access cross-references governance and security"
KG02_020,KG02_016,CROSS_REFERENCES,"Governance and security cross-references publication and access"
KG02_017,KG02_019,CROSS_REFERENCES,"Lifecycle and architecture cross-references performance and scalability"
KG02_019,KG02_017,CROSS_REFERENCES,"Performance and scalability cross-references lifecycle and architecture"
KG02_002,KG02_006,CONCEPTUAL_CLUSTER,"Data graph models and identity management belong to data modeling cluster"
KG02_006,KG02_002,CONCEPTUAL_CLUSTER,"Identity management and data graph models belong to data modeling cluster"
KG02_003,KG02_004,CONCEPTUAL_CLUSTER,"RDF and SPARQL belong to RDF technology cluster"
KG02_004,KG02_003,CONCEPTUAL_CLUSTER,"SPARQL and RDF belong to RDF technology cluster"
KG02_005,KG02_011,CONCEPTUAL_CLUSTER,"Construction from structured and text sources belong to knowledge graph construction cluster"
KG02_011,KG02_005,CONCEPTUAL_CLUSTER,"Construction from text and structured sources belong to knowledge graph construction cluster"
KG02_007,KG02_009,CONCEPTUAL_CLUSTER,"Schema validation and ontology modeling belong to schema design cluster"
KG02_009,KG02_007,CONCEPTUAL_CLUSTER,"Ontology modeling and schema validation belong to schema design cluster"
KG02_009,KG02_010,CONCEPTUAL_CLUSTER,"Ontology modeling and reasoning belong to semantic reasoning cluster"
KG02_010,KG02_009,CONCEPTUAL_CLUSTER,"Reasoning and ontology modeling belong to semantic reasoning cluster"
KG02_012,KG02_013,CONCEPTUAL_CLUSTER,"Quality assessment and refinement belong to knowledge graph quality cluster"
KG02_013,KG02_012,CONCEPTUAL_CLUSTER,"Refinement and quality assessment belong to knowledge graph quality cluster"
KG02_014,KG02_015,CONCEPTUAL_CLUSTER,"Embeddings and graph neural networks belong to machine learning cluster"
KG02_015,KG02_014,CONCEPTUAL_CLUSTER,"Graph neural networks and embeddings belong to machine learning cluster"
KG02_016,KG02_020,CONCEPTUAL_CLUSTER,"Publication and governance belong to knowledge graph deployment cluster"
KG02_020,KG02_016,CONCEPTUAL_CLUSTER,"Governance and publication belong to knowledge graph deployment cluster"
KG02_017,KG02_019,CONCEPTUAL_CLUSTER,"Lifecycle and performance belong to operational management cluster"
KG02_019,KG02_017,CONCEPTUAL_CLUSTER,"Performance and lifecycle belong to operational management cluster"
KG02_017,KG02_001,SYNTHESIZES,"Lifecycle and architecture synthesizes knowledge graph fundamentals"
KG02_017,KG02_005,SYNTHESIZES,"Lifecycle and architecture synthesizes knowledge graph construction"
KG02_017,KG02_007,SYNTHESIZES,"Lifecycle and architecture synthesizes schema and validation"
KG02_017,KG02_012,SYNTHESIZES,"Lifecycle and architecture synthesizes quality assessment"
