:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
nextjs_api_v1,Next js API documentation,Curriculum,,1.0.0,Master the next.js API reference documentation through conversation,,2026-01-05,2026-01-05,45,,
NJSAPIDOC_001,Next.js CLI Tools Ecosystem,Concept,Identify the two main CLI tools provided by Next.js: create-next-app for project initialization and next for development and build operations;Execute basic CLI commands using the npx command prefix to run tools without global installation;Recognize that running next without a command defaults to next dev for starting the development server;Explain when to use create-next-app versus next CLI commands based on project lifecycle stage,1.0.0,Understanding next.js cli tools ecosystem: Identify the two main CLI tools provided by Next.js: create-next-app for project initialization and next for development and build operations,,2026-01-05,2026-01-05,,Foundational,
NJSAPIDOC_002,Project Initialization with create-next-app,Concept,"Execute create-next-app with the latest version tag to initialize new Next.js projects;Navigate through interactive prompts to configure TypeScript, linting, styling, and routing preferences;Choose between recommended defaults, previous settings, or custom configuration based on project requirements;Use the --example flag with official example names or GitHub repository URLs to bootstrap projects from templates;Configure project structure options including src directory usage and custom import aliases during setup;Select appropriate linter during initialization: ESLint for traditional linting with Next.js rules, Biome for combined linting and formatting, or None to configure later",1.0.0,Understanding project initialization with create-next-app: Execute create-next-app with the latest version tag to initialize new Next.js projects,,2026-01-05,2026-01-05,,Foundational,
NJSAPIDOC_003,Development Server Operations,Concept,Start the development server using next dev to enable Hot Module Reloading and error reporting;Configure the development server port using the -p flag or PORT environment variable when the default port 3000 is unavailable;Explain why PORT cannot be set in .env files due to HTTP server initialization occurring before environment file loading;Enable HTTPS for local development using --experimental-https flag when testing webhooks or authentication flows that require secure contexts;Provide custom SSL certificates using --experimental-https-key and --experimental-https-cert flags for specific development scenarios;Recognize that experimental HTTPS with self-signed certificates is only suitable for local development and production requires certificates from trusted authorities,1.0.0,Understanding development server operations: Start the development server using next dev to enable Hot Module Reloading and error reporting,,2026-01-05,2026-01-05,,Foundational,
NJSAPIDOC_004,Production Build Process and Output,Concept,Execute next build to create an optimized production build with route information displayed in the terminal;Interpret build output symbols where circle indicates static prerendered routes and function symbol indicates dynamic server-rendered routes;Explain the performance implications of static versus dynamic rendering based on content update frequency and personalization needs;Use --debug-prerender flag to generate detailed output with stack traces and code frames when diagnosing prerendering errors;Build specific routes using --debug-build-paths with file paths or glob patterns to reduce build time during debugging in large applications;Recognize that debug flags disable server code minification and enable source maps for better error readability but should not be used in production deployments,1.0.0,Understanding production build process and output: Execute next build to create an optimized production build with route information displayed in the terminal,,2026-01-05,2026-01-05,,Foundational,
NJSAPIDOC_005,Production Server Configuration,Concept,Start the application in production mode using next start after completing the build process with next build;Configure keep-alive timeouts using --keepAliveTimeout flag with values in milliseconds when deploying behind load balancers or reverse proxies;Set Next.js server timeout values higher than downstream proxy timeouts to prevent premature connection termination and reuse errors;Diagnose connection reuse issues that manifest as proxy errors when timeout configurations are misaligned between Next.js and infrastructure,1.0.0,Understanding production server configuration: Start the application in production mode using next start after completing the build process with next build,,2026-01-05,2026-01-05,,Foundational,
NJSAPIDOC_006,System Diagnostics and Bug Reporting,Concept,"Execute next info to collect system information including operating system details, binary versions, and package versions;Interpret the output to identify platform, architecture, available memory, CPU cores, and Node.js version;Include next info output when reporting Next.js bugs in GitHub issues to provide maintainers with environment context;Review package versions displayed for next, react, react-dom, and TypeScript to verify compatibility",1.0.0,"Understanding system diagnostics and bug reporting: Execute next info to collect system information including operating system details, binary versions, and package versions",,2026-01-05,2026-01-05,,Foundational,
NJSAPIDOC_007,TypeScript Type Generation,Concept,"Generate TypeScript definitions for application routes using next typegen without performing a full build;Combine next typegen with tsc --noEmit in CI workflows to validate route types without building the entire application;Identify that type generation outputs to distDir/types directory, typically .next/dev/types or .next/types;Recognize that next-env.d.ts is generated and included in tsconfig.json to provide Next.js types to the project;Ensure required environment variables are available when running next typegen since it loads Next.js config using the production build phase;Add generated type files to .gitignore to avoid committing build artifacts while keeping next-env.d.ts committed for type availability",1.0.0,Understanding typescript type generation: Generate TypeScript definitions for application routes using next typegen without performing a full build,,2026-01-05,2026-01-05,,Foundational,
NJSAPIDOC_008,Bundle Analysis and Optimization,Concept,Analyze application bundle composition using next experimental-analyze with Turbopack to understand size and content;Explore bundle composition interactively through the local server that starts after analysis completes;Filter bundles by specific routes and switch between client and server views to identify optimization opportunities;Trace the full import chain for modules to understand why specific code is included in bundles;Identify imports across server-to-client component boundaries and dynamic imports that affect code splitting;Write analysis output to disk using --output flag for comparison with future analyses or sharing with team members,1.0.0,Understanding bundle analysis and optimization: Analyze application bundle composition using next experimental-analyze with Turbopack to understand size and content,,2026-01-05,2026-01-05,,Foundational,
NJSAPIDOC_009,Telemetry and Privacy Controls,Concept,Explain that Next.js collects completely anonymous telemetry data about general usage with no personally identifiable information;Use next telemetry commands to check current participation status and opt-out if preferred;Recognize that telemetry participation is optional and helps the Next.js team understand usage patterns for framework improvements,1.0.0,Understanding telemetry and privacy controls: Explain that Next.js collects completely anonymous telemetry data about general usage with no personally identifiable information,,2026-01-05,2026-01-05,,Foundational,
