":ID","name",":LABEL","understanding_criteria","schema_version","description","author","creation_date","last_updated","total_concepts:int","total_subconcepts:int"
"machine_learning_insights","Machine Learning Insights Curriculum","Curriculum","","1.1.0","A structured learning curriculum for machine learning concepts, designed for educational purposes. It includes core concepts, subconcepts, and fundamental definitions with understanding criteria.","AI Curriculum Design Team","2025-01-28","2025-07-28",10,34
"MLF_001","Machine Learning Fundamentals and Definitions","Concept","Can explain that AI and machine learning are computer systems that copy how human brains learn, using math to represent brain connections and learning processes;Understands that machines learn by practicing with examples and getting better through repeated training cycles, rather than being programmed with specific instructions;Recognizes that deep learning uses many layers of artificial brain cells to handle complex data, requiring large amounts of information to work effectively;Can describe how machine learning abilities emerge naturally from training without explicit programming, and how performance stabilizes over time;Shows understanding of the historical progression from 1940s mechanical calculators to modern powerful computers with graphics processing units",,,,,,,
"MLF_001_SC01","Artificial Intelligence refers to systems modeled on mathematical representations of human neuronal synapses that aim to imitate human learning","SubConcept","Can explain that AI uses mathematical formulas and numbers to copy how brain cells connect and communicate;Understands that computers try to imitate how humans learn by creating simplified models of brain processes;Recognizes that AI systems are not actual brains but mathematical approximations of brain functions;Can describe how chemical signals between brain cells are represented using computer calculations;Shows awareness that AI aims to recreate human learning patterns through computational methods",,,,,,,
"MLF_001_SC01_D01","Mathematical representation: Using numbers, formulas, and calculations to describe how things work in the real world","Definition","Mentions 'numbers', 'formulas', 'calculations', or 'math';References 'describe', 'represent', or 'model';Includes 'real world', 'nature', or 'phenomena';Shows understanding that math is a tool for description;Indicates math captures patterns or relationships",,,,,,,
"MLF_001_SC01_D02","Neuronal synapses: Connection points between brain cells where chemical signals jump from one cell to another to send messages","Definition","Mentions 'brain cells', 'neurons', or 'nerve cells';References 'connection', 'gap', or 'junction';Includes 'chemical signals', 'messages', or 'communication';Shows understanding of signal transmission between cells;Indicates synapses enable brain communication",,,,,,,
"MLF_001_SC01_D03","System modeling: Creating simplified versions of complex processes using math or computer programs to study how they work","Definition","Mentions 'simplified', 'model', or 'representation';References 'complex processes' or 'systems';Includes 'study', 'understand', or 'analyze';Shows understanding that models are not exact copies;Indicates purpose is to learn how things work",,,,,,,
"MLF_001_SC01_D04","Human learning patterns: How our brains naturally learn through making connections, remembering experiences, and changing behavior based on results","Definition","Mentions 'brain', 'learning', or 'memory';References 'connections', 'experience', or 'practice';Includes 'behavior change' or 'adaptation';Shows understanding that learning involves neural changes;Indicates learning is based on experience and feedback",,,,,,,
"MLF_001_SC01_D05","Computational imitation: Using computer programs and mathematical steps to copy how biological processes or thinking works","Definition","Mentions 'computer', 'programs', or 'algorithms';References 'copy', 'imitate', or 'mimic';Includes 'biological', 'brain', or 'thinking';Shows understanding of copying natural processes;Indicates computers can simulate biological functions",,,,,,,
"MLF_001_SC02","Machine Learning is a branch of AI where machines learn and make decisions from data through iterative cycles of training","SubConcept","Can explain that ML involves computers getting better at tasks by practicing with examples;Understands that machines follow step-by-step instructions to find patterns in information;Recognizes that training involves showing computers many examples with correct answers;Can describe how machines improve through repeated practice and learning from mistakes;Shows understanding that ML systems make decisions based on rules learned from data",,,,,,,
"MLF_001_SC02_D01","Algorithm: A set of step-by-step instructions that tells a computer how to transform input information into useful output","Definition","Mentions 'steps', 'instructions', or 'procedure';References 'computer' or 'machine';Includes 'input' and 'output';Shows understanding of sequential process;Indicates transformation of information",,,,,,,
"MLF_001_SC02_D02","Training data: Collections of examples that show both questions and correct answers, used to teach computers to recognize patterns","Definition","Mentions 'examples', 'data', or 'information';References 'questions and answers' or 'input-output pairs';Includes 'teach', 'learn', or 'training';Shows understanding of learning from examples;Indicates purpose is pattern recognition",,,,,,,
"MLF_001_SC02_D03","Iterative process: Repeating the same learning steps over and over, where each round improves performance based on mistakes from previous rounds","Definition","Mentions 'repeat', 'cycle', or 'iteration';References 'improve' or 'get better';Includes 'mistakes', 'errors', or 'feedback';Shows understanding of gradual improvement;Indicates learning from previous attempts",,,,,,,
"MLF_001_SC02_D04","Pattern recognition: The ability to spot similarities, trends, and repeating structures in data that help make predictions about new examples","Definition","Mentions 'patterns', 'similarities', or 'trends';References 'spot', 'find', or 'identify';Includes 'data' or 'information';Shows understanding of finding regularities;Indicates patterns help make predictions",,,,,,,
"MLF_001_SC02_D05","Decision-making framework: A logical system that takes in information and uses learned rules to choose what action to take","Definition","Mentions 'decision', 'choice', or 'action';References 'rules', 'logic', or 'system';Includes 'information' or 'input';Shows understanding of systematic choice process;Indicates rules guide decisions",,,,,,,
"MLF_001_SC03","Deep Learning is a subset of ML that uses neural networks to enhance learning capacity from large datasets","SubConcept","Can explain that deep learning uses computer systems inspired by how brain cells connect;Understands that neural networks have many layers of simple processing units working together;Recognizes that deep learning needs large amounts of data to work effectively;Can describe how these systems automatically find important characteristics in data;Shows understanding that learning happens in stages from simple to complex concepts",,,,,,,
"MLF_001_SC03_D01","Neural network: A computer system inspired by how brain cells connect, made of many simple processing units linked together","Definition","Mentions 'brain', 'neurons', 'brain cells';References 'network', 'connections', or 'linked';Includes 'simple units' or 'processing units';Shows understanding of brain inspiration;Indicates many units working together",,,,,,,
"MLF_001_SC03_D02","Layers and nodes: Organization where individual processing units (like artificial brain cells) are arranged in stacked levels that pass information forward","Definition","Mentions 'layers', 'levels', or 'stacked';References 'nodes', 'units', or 'neurons';Includes 'information flow' or 'pass forward';Shows understanding of hierarchical organization;Indicates structured arrangement of processing units",,,,,,,
"MLF_001_SC03_D03","Large datasets: Collections containing thousands to millions of examples needed to teach complex computer models without memorizing specific cases","Definition","Mentions 'large', 'thousands', 'millions', or 'big';References 'examples', 'data', or 'cases';Includes 'teach', 'train', or 'learn';Shows understanding of scale requirements;Indicates purpose is learning, not memorizing",,,,,,,
"MLF_001_SC03_D04","Feature extraction: The automatic process of finding and highlighting the most important characteristics or patterns hidden in raw data","Definition","Mentions 'features', 'characteristics', or 'properties';References 'find', 'extract', or 'identify';Includes 'important', 'relevant', or 'key';Shows understanding of automatic discovery;Indicates finding hidden information in data",,,,,,,
