:START_ID,:END_ID,:TYPE,description:string
GP_NEPH_RTA,GPNEPHRTA_001,CONTAINS,"Renal tubular acidosis in children and relevant fundamental renal physiology contains Fundamental Distinction Between Uraemic Acidosis and Renal Tubular Acidosis"
GP_NEPH_RTA,GPNEPHRTA_002,CONTAINS,"Renal tubular acidosis in children and relevant fundamental renal physiology contains GP Approach to Child with Normal Anion Gap Metabolic Acidosis (NAGMA)"
GP_NEPH_RTA,GPNEPHRTA_003,CONTAINS,"Renal tubular acidosis in children and relevant fundamental renal physiology contains Clinical Presentation and Recognition of RTA in Children"
GP_NEPH_RTA,GPNEPHRTA_004,CONTAINS,"Renal tubular acidosis in children and relevant fundamental renal physiology contains Type 1 (Distal) RTA: Pathophysiology, Clinical Features, and Aetiology"
GP_NEPH_RTA,GPNEPHRTA_005,CONTAINS,"Renal tubular acidosis in children and relevant fundamental renal physiology contains Type 2 (Proximal) RTA: Pathophysiology, Clinical Features, and Aetiology"
GP_NEPH_RTA,GPNEPHRTA_006,CONTAINS,"Renal tubular acidosis in children and relevant fundamental renal physiology contains Type 4 RTA and Type 3 RTA: Pathophysiology and Clinical Features"
GP_NEPH_RTA,GPNEPHRTA_007,CONTAINS,"Renal tubular acidosis in children and relevant fundamental renal physiology contains Diagnostic Differentiation of RTA Types Using Practical Laboratory Parameters"
GP_NEPH_RTA,GPNEPHRTA_008,CONTAINS,"Renal tubular acidosis in children and relevant fundamental renal physiology contains Treatment Principles, Monitoring, and Shared Care for RTA in Children"
GPNEPHRTA_001,GPNEPHRTA_002,PREREQUISITE,"Understanding the fundamental distinction between uraemic acidosis and RTA is prerequisite for approaching a child with NAGMA"
GPNEPHRTA_001,GPNEPHRTA_003,PREREQUISITE,"Understanding the fundamental distinction between uraemic acidosis and RTA is prerequisite for recognizing clinical presentations of RTA"
GPNEPHRTA_002,GPNEPHRTA_007,PREREQUISITE,"GP approach to NAGMA including initial investigations is prerequisite for diagnostic differentiation of RTA types"
GPNEPHRTA_003,GPNEPHRTA_004,PREREQUISITE,"Recognition of clinical presentations is prerequisite for understanding Type 1 RTA pathophysiology and features"
GPNEPHRTA_003,GPNEPHRTA_005,PREREQUISITE,"Recognition of clinical presentations is prerequisite for understanding Type 2 RTA pathophysiology and features"
GPNEPHRTA_003,GPNEPHRTA_006,PREREQUISITE,"Recognition of clinical presentations is prerequisite for understanding Type 4 and Type 3 RTA pathophysiology and features"
GPNEPHRTA_004,GPNEPHRTA_007,PREREQUISITE,"Understanding Type 1 RTA pathophysiology is prerequisite for diagnostic differentiation using laboratory parameters"
GPNEPHRTA_005,GPNEPHRTA_007,PREREQUISITE,"Understanding Type 2 RTA pathophysiology is prerequisite for diagnostic differentiation using laboratory parameters"
