:ID,name,:LABEL,understanding_criteria,schema_version,description,author,creation_date,last_updated,total_concepts:int,level,prerequisites
hcr_001,Healthcare Organization Risk Fundamentals,Curriculum,,1.0.0,Understand the fundamentals of healthcare organization risk management,,2026-03-01,2026-03-01,20,,
HCR01_001,Australian Healthcare Risk Management Regulatory Framework,Concept,"Identify the Australian Commission on Safety and Quality in Health Care as the national body responsible for leading and coordinating improvements in safety and quality in health services;Describe how the National Safety and Quality Health Service Standards Second Edition provides the framework for healthcare organizations to assess and improve safety and quality;Explain the role of state and territory health departments in regulating healthcare services and enforcing compliance with incident reporting and investigation requirements;Map the eight NSQHS Standards to risk management activities including Clinical Governance, Partnering with Consumers, Preventing and Controlling Healthcare-Associated Infection, Medication Safety, Comprehensive Care, Communicating for Safety, Blood Management, and Recognising and Responding to Acute Deterioration;Describe how AS/NZS ISO 31000:2018 provides the principles, framework, and process for risk management in Australian healthcare organizations",1.0.0,Understanding australian healthcare risk management regulatory framework: Identify the Australian Commission on Safety and Quality in Health Care as the national body responsible for leading and coordinating improvements in safety and quality in health services,,2026-03-01,2026-03-01,,Foundational,
HCR01_002,Clinical Governance and Risk Management Integration,Concept,"Define clinical governance as the framework through which healthcare organizations are accountable for continuously improving quality and safeguarding standards of care;Explain how risk management functions as a key component within the broader clinical governance structure rather than as a separate activity;Describe the relationship between clinical governance committees and risk management activities including escalation pathways and reporting requirements;Identify the role of clinical governance advisors in coordinating risk management activities across clinical and administrative domains;Explain how the three lines model applies to healthcare governance including operational management, oversight functions, and independent assurance",1.0.0,Understanding clinical governance and risk management integration: Define clinical governance as the framework through which healthcare organizations are accountable for continuously improving quality and safeguarding standards of care,,2026-03-01,2026-03-01,,Foundational,
HCR01_003,ISO 31000 Risk Management Process and Principles,Concept,"Describe the ISO 31000 risk management process components including establishing context, risk identification, risk analysis, risk evaluation, risk treatment, and monitoring and review;Explain the principles of effective risk management including integration with organizational processes, structured and comprehensive approach, customization to context, inclusiveness, dynamic and responsive nature, and use of best available information;Apply the risk management framework components including leadership and commitment, integration into organizational processes, design, implementation, evaluation, and improvement;Distinguish between inherent risk and residual risk in the context of control effectiveness assessment;Create risk statements using the cause-event-consequence format to clearly articulate identified risks",1.0.0,"Understanding iso 31000 risk management process and principles: Describe the ISO 31000 risk management process components including establishing context, risk identification, risk analysis, risk evaluation, risk treatment, and monitoring and review",,2026-03-01,2026-03-01,,Foundational,
HCR01_004,Enterprise Risk Management Domains in Healthcare,Concept,"List and describe the operational risk domain including workforce management, supply chain, access and patient flow, and service delivery processes;Explain clinical and patient safety risks including adverse events, clinical deterioration, medication errors, healthcare-associated infections, and blood management;Identify strategic risks including reputation, market position, accreditation status, and organizational sustainability;Describe financial risks including activity-based funding variations, private health insurer contracting, budget management, and insurance coverage;Explain human capital risks including workforce shortages, credentialing and scope of practice, mandatory reporting obligations, and workplace health and safety;Identify legal and regulatory risks including compliance with health services acts, privacy legislation, coronial reporting, and professional registration requirements;Describe technological risks including cybersecurity, information governance, electronic health record integrity, and digital health vendor management;Explain environmental and infrastructure risks including emergency preparedness, business continuity, and facility safety",1.0.0,"Understanding enterprise risk management domains in healthcare: List and describe the operational risk domain including workforce management, supply chain, access and patient flow, and service delivery processes",,2026-03-01,2026-03-01,,Foundational,
HCR01_005,Risk Identification and Assessment Techniques,Concept,"Apply ISO 31010 risk assessment techniques appropriate to healthcare contexts including brainstorming, structured interviews, checklists, and scenario analysis;Engage diverse stakeholders in risk identification including patients, consumers, clinical staff, administrators, and external partners;Use organizational data sources to identify risks including incident reports, complaints, audit findings, clinical indicators, and workforce data;Identify emerging risks through environmental scanning of regulatory changes, technology developments, and healthcare system trends;Describe how consumer partnership in risk identification aligns with NSQHS Standard 2 Partnering with Consumers",1.0.0,"Understanding risk identification and assessment techniques: Apply ISO 31010 risk assessment techniques appropriate to healthcare contexts including brainstorming, structured interviews, checklists, and scenario analysis",,2026-03-01,2026-03-01,,Foundational,
HCR01_006,Risk Analysis and Prioritization Methods,Concept,"Apply the organizational risk matrix to rate risks based on consequence and likelihood using defined criteria;Distinguish between inherent risk rating before controls and residual risk rating after considering existing controls;Assess control effectiveness by evaluating design adequacy and operating effectiveness of existing risk treatments;Create risk heat maps to visualize risk profiles and communicate priorities to governance committees and executive leadership;Determine risk acceptance, treatment, or escalation decisions based on organizational risk appetite and tolerance levels;Populate risk register entries including risk description, risk owner, inherent rating, controls, residual rating, and treatment plan",1.0.0,Understanding risk analysis and prioritization methods: Apply the organizational risk matrix to rate risks based on consequence and likelihood using defined criteria,,2026-03-01,2026-03-01,,Intermediate,
HCR01_007,Australian Incident Management and Severity Assessment,Concept,"Apply the Severity Assessment Code framework to classify incidents from SAC1 extreme risk to SAC4 low risk based on actual and potential consequences;Identify state and territory incident management systems including NSW Health Incident Information Management System, Victorian Health Incident Management System, and equivalent jurisdictional frameworks;Describe mandatory reporting requirements to state health departments for serious adverse events and SAC1 incidents;Explain reportable incidents requirements specific to aged care services under the Serious Incident Response Scheme;Identify NDIS incident reporting obligations for healthcare organizations providing disability services;Describe triggers for coronial reporting including deaths in healthcare settings, deaths during or following procedures, and unexpected deaths",1.0.0,Understanding australian incident management and severity assessment: Apply the Severity Assessment Code framework to classify incidents from SAC1 extreme risk to SAC4 low risk based on actual and potential consequences,,2026-03-01,2026-03-01,,Intermediate,
HCR01_008,Root Cause Analysis and Systems-Based Investigation,Concept,"Describe the RCA2 methodology as a contemporary systems-based approach to investigating serious incidents in Australian healthcare;Apply Human Factors and Systems Engineering principles to understand how system design contributes to incidents;Distinguish between active failures as immediate errors and latent conditions as underlying system weaknesses;Use investigation frameworks to identify contributing factors across domains including organizational factors, work environment, team factors, individual staff factors, task factors, and patient characteristics;Develop actionable recommendations that address system-level causes rather than focusing solely on individual performance;Explain when to use Root Cause Analysis for serious incidents versus After Action Review for rapid learning or clinical review for clinical care concerns",1.0.0,Understanding root cause analysis and systems-based investigation: Describe the RCA2 methodology as a contemporary systems-based approach to investigating serious incidents in Australian healthcare,,2026-03-01,2026-03-01,,Intermediate,
HCR01_009,Prospective Risk Assessment Using FMEA,Concept,"Describe Failure Mode and Effects Analysis as a prospective tool to identify potential failures before they occur;Apply FMEA methodology to new processes, technologies, or service changes by identifying failure modes, causes, and effects;Calculate risk priority numbers based on severity, occurrence, and detection ratings;Develop preventive actions and process improvements based on FMEA findings;Distinguish between prospective risk assessment using FMEA and retrospective investigation using RCA",1.0.0,Understanding prospective risk assessment using fmea: Describe Failure Mode and Effects Analysis as a prospective tool to identify potential failures before they occur,,2026-03-01,2026-03-01,,Intermediate,
