:START_ID,:END_ID,:TYPE,description:string
WON_001,WON_002,ALLOWS_UNDERSTANDING_OF,"Understanding division of labour allows understanding of how market size enables specialization"
WON_001,WON_004,ALLOWS_UNDERSTANDING_OF,"Understanding division of labour allows understanding of self-interest and invisible hand"
WON_001,WON_009,ALLOWS_UNDERSTANDING_OF,"Understanding division of labour allows understanding of innovation and economic progress"
WON_002,WON_007,ALLOWS_UNDERSTANDING_OF,"Understanding market size allows understanding of free trade benefits"
WON_003,WON_006,ALLOWS_UNDERSTANDING_OF,"Understanding capital accumulation allows understanding of productive work and economic growth"
WON_003,WON_009,ALLOWS_UNDERSTANDING_OF,"Understanding capital accumulation allows understanding of innovation through investment"
WON_003,WON_010,ALLOWS_UNDERSTANDING_OF,"Understanding capital accumulation allows understanding of sources of national wealth growth"
WON_004,WON_005,ALLOWS_UNDERSTANDING_OF,"Understanding self-interest and invisible hand allows understanding of price regulation"
WON_004,WON_007,ALLOWS_UNDERSTANDING_OF,"Understanding self-interest allows understanding of free trade benefits"
WON_005,WON_007,ALLOWS_UNDERSTANDING_OF,"Understanding price regulation allows understanding of free trade impacts"
WON_006,WON_010,ALLOWS_UNDERSTANDING_OF,"Understanding productive work allows understanding of sources of national wealth growth"
WON_007,WON_008,ALLOWS_UNDERSTANDING_OF,"Understanding free trade allows understanding of government's limited role"
WON_007,WON_010,ALLOWS_UNDERSTANDING_OF,"Understanding free trade allows understanding of sources of national wealth growth"
WON_009,WON_010,ALLOWS_UNDERSTANDING_OF,"Understanding innovation allows understanding of sources of national wealth growth"
WON_001,WON_002,PREREQUISITE,"Division of labour is prerequisite for market size and specialization"
WON_001,WON_004,PREREQUISITE,"Division of labour is prerequisite for self-interest and invisible hand"
WON_001,WON_009,PREREQUISITE,"Division of labour is prerequisite for innovation and economic progress"
WON_001,WON_010,PREREQUISITE,"Division of labour is prerequisite for sources of national wealth growth"
WON_003,WON_006,PREREQUISITE,"Capital accumulation is prerequisite for productive work concept"
WON_003,WON_009,PREREQUISITE,"Capital accumulation is prerequisite for innovation and economic progress"
WON_003,WON_010,PREREQUISITE,"Capital accumulation is prerequisite for sources of national wealth growth"
WON_004,WON_005,PREREQUISITE,"Self-interest and invisible hand is prerequisite for price regulation"
WON_004,WON_007,PREREQUISITE,"Self-interest and invisible hand is prerequisite for free trade"
WON_005,WON_007,PREREQUISITE,"Price regulation is prerequisite for free trade"
